FacilityID,TankIDAssociatedwithRelease,LUSTID,FederallyReportableRelease,SiteName,SiteAddress,SiteAddress2,SiteCity,Zipcode,County,State,EPARegion,FacilityType,TribalSite,Tribe,Latitude,Longitude,CoordinateSource,LUSTStatus,ReportedDate,NFADate,MediaImpactedSoil,MediaImpactedGroundwater,MediaImpactedSurfaceWater,SubstanceReleased1,QuantityReleased1,Unit1,SubstanceReleased2,QuantityReleased2,Unit2,SubstanceReleased3,AmountReleased3,Unit3,SubstanceReleased4,AmountReleased4,Unit4,SubstanceReleased5,AmountReleased5,Unit5,SourceOfRelease1,CauseOfRelease1,SourceOfRelease2,CauseOfRelease2,SourceOfRelease3,CauseOfRelease3,HowReleaseDetected,CorrectiveActionStrategy1,CorrectiveActionStrategy1StartDate,CorrectiveActionStrategy2,CorrectiveActionStrategy2StartDate,CorrectiveActionStrategy3,CorrectiveActionStrategy3StartDate,ClosedWithContamination,NoFurtherActionLetterURL,MilitaryDoDSite
3319,,7LTE13,No,FORMER KERR MCGEE #9532,1507 PARK AVE,,Muscatine,527610000,Muscatine,IA,7,,,,41.44307,-91.03074,GPS,No further action,1989-06-30,2006-10-04,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,Groundwater Treatment: Injection Oxygen,,,,,,Yes,,Unknown
618,,7LTF89,No,FRISKIE'S PET CARE,2400 5TH AVENUE SOUTH,,Fort Dodge,50501,Webster,IA,7,,,,42.50139,-94.16639,Map interpolation,,1989-09-25,,No,No,No,Diesel,0.0,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,Over-excavation:Thru Over-excavation,,,,,,Yes,,Unknown
16619,,7LTK92,No,STANDARD CHEMICAL MFG CO,206 2ND AVENUE,,Malvern,515510000,Mills,IA,7,,,,41.00002,-95.58655,GPS,,1990-03-20,,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,At tank removal,,,,,,,Yes,,Unknown
12512,,8LTG70,No,LUCAS COUNTY HEALTH CENTER,1200 N 7th St,,Chariton,500490000,Lucas,IA,7,,,,41.02782,-93.30094,GPS,No further action,1990-11-01,2002-01-08,Yes,No,No,Gasoline,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
1863,,9LTA35,No,"OELWEIN MOTORS, INC.",126 S. FREDERICK,,Oelwein,506620000,Fayette,IA,7,,,,42.67576,-91.91366,GPS,No further action,1994-11-03,2013-07-09,No,No,No,Waste Oil,,Gallons,Gasoline,,Gallons,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
9883,,9LTQ32,No,DES MOINES SCHOOLS TRANSPORTATION FACILITY,1915 Prospect Road,,Des Moines,50310,Polk,IA,7,,,,41.62048,-93.64736,Geocoded address,No further action,2013-07-02,2014-01-24,No,No,No,Fuel Oil,0.0,Gallons,Diesel,0.0,Gallons,,,,,,,,,,Tank,Tank corrosion,Piping,Piping failure,,,Other,,,,,,,Yes,,Unknown
694,,7LTM41,No,REIS AUTO PARTS & SERVICE,300 DES MOINES ST,,Odebolt,514580000,Sac,IA,7,,,,42.31057,-95.24563,Other,No further action,1990-05-14,2001-11-08,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
8376,,9LTH71,No,FORMER IRELAN OIL CO,115 N Haynes Ave,,Centerville,525440000,Appanoose,IA,7,,,,40.73272,-92.87214,GPS,No further action,1999-02-17,2001-06-05,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
8960,,7LTA89,No,LINN COUNTY ROAD DEPT,833 N 1st Ave,,Mount Vernon,523140000,Linn,IA,7,,,,41.92894,-91.41073,GPS,No further action,1988-09-28,2003-07-09,Yes,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
5719,,8LTD89,No,INGLES CONOCO,3rd St,,Ollie,525760000,Keokuk,IA,7,,,,41.19846,-92.09454,GPS,No further action,1990-10-24,2013-08-01,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,Over-excavation:Land Application,2004-05-03,,,,,Yes,,Unknown
10067,,7LTC98,No,YESWAY 1034,112 RIVER AVE S,,Belmond,50421,Wright,IA,7,,,,42.84536,-93.61703,GPS,,1989-04-04,,No,No,No,Diesel,0.0,Gallons,Gasoline,0.0,Gallons,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,Over-excavation:Thru Over-excavation,,,,,,Yes,,Unknown
274,,9LTC37,No,FORMER MOBILE STATION AKA WHITING AUTO,704 WELLS STREET,,Whiting,510630000,Monona,IA,7,,,,42.12761,-96.1519,GPS,No further action,1995-09-19,2001-06-01,No,No,No,Diesel,,Gallons,Gasoline,,Gallons,,,,,,,,,,,,Unknown,Unknown,,,Other,,,,,,,Yes,,Unknown
6017,,8LTS16,No,CITY OF IOWA CITY EQUIPMENT DIVISION,200 PARK RD,,Iowa City,522400000,Johnson,IA,7,,,,41.67463,-91.54022,GPS,No further action,1992-02-18,2002-05-23,No,No,No,Gasoline,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,,,,,,,Yes,,Unknown
11540,,8LTT46,No,WEST HARRISON COMM SCHOOL,410 SECOND ST,,Pisgah,515640000,Harrison,IA,7,,,,41.83363,-95.92419,GPS,No further action,1992-06-04,1997-08-07,No,No,No,Gasoline,,Gallons,,,,,,,,,,,,,,,,,,,At tank removal,,,,,,,Yes,,Unknown
7794,,8LTK40,No,TEEPLE SERVICE STATION,116 NORTH 1ST STREET,,Greene,506360000,Butler,IA,7,,,,42.89629,-92.80254,GPS,No further action,1990-10-08,2006-11-27,No,No,No,Other Petroleum,,Gallons,Gasoline,,Gallons,Diesel,,Gallons,,,,,,,,,Unknown,Unknown,,,At tank removal,,,,,,,Yes,,Unknown
4555,,8LTP01,No,LINCOLN FARM & HOME,601 MORTON AVE,,Emerson,515330000,Mills,IA,7,,,,41.01703,-95.40351,GPS,No further action,1991-07-17,2002-11-01,No,No,No,Gasoline,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,,,,,,,Yes,,Unknown
8373,,9LTG04,No,PAGE OIL CO,Gilmore St,,Gilmore City,505410000,Humboldt,IA,7,,,,42.73256,-94.44301,GPS,No further action,1998-02-23,1999-04-30,No,No,No,Gasoline,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,,,,,,,Yes,,Unknown
6838,,8LTS11,No,CASEY'S GENERAL STORE 50,4 S 1ST ST,,Moville,51039,Woodbury,IA,7,,,,42.48836,-96.07475,Other,No further action,1992-02-11,1999-03-22,No,No,No,Gasoline,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
263,,9LTC00,No,WATERWORKS CAR WASH,525 W KIMBERLY RD,,Davenport,528060000,Scott,IA,7,,,,41.55936,-90.58116,Other,,1995-06-21,,No,No,No,Gasoline,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,,,,,,,Yes,,Unknown
9825,,7LTS22,No,TJS GAS AND GRUB,2000 HIGHWAY 130,,Bennett,52721,Cedar,IA,7,,,,41.74391,-90.97566,GPS,,1990-08-14,,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
616,,9LTH04,No,CASEY'S GENERAL STORE 2784,4151 MERLE HAY RD,,Des Moines,50310-1316,Polk,IA,7,,,,41.63649,-93.697,Map interpolation,No further action,1998-11-10,2002-02-27,Yes,No,No,Diesel,0.0,Gallons,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,At tank removal,,,,,,,Yes,,Unknown
8285,,7LTH75,No,ROBERT BEAMER,205 SOUTH MADISON,,Ottumwa,525010000,Wapello,IA,7,,,,41.00138,-92.41237,Other,No further action,,1999-02-05,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,At tank removal,,,,,,,Yes,,Unknown
5167,,9LTR39,No,SARA'S MINI MART,2020 7TH AVE,,Marion,52302,Linn,IA,7,,,,42.03364,-91.59003,GPS,No further action,2016-07-11,2018-04-12,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,Piping,Piping failure,,,,,Other,,,,,,,Yes,,Unknown
8441,,7LTJ59,No,YESWAY 1030,1317 E MARY ST,,Ottumwa,52501,Wapello,IA,7,,,,40.99507,-92.40572,Other,No further action,1990-02-02,2001-01-19,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
13407,,8LTL27,No,O HARA'S PHILLIPS 66 SERVICE,1122 DODGE ST,,Dubuque,520010000,Dubuque,IA,7,,,,42.48957,-90.67581,GPS,No further action,1990-12-19,2016-08-16,No,No,No,Diesel,,Gallons,Gasoline,,Gallons,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
11308,,8LTM70,No,GOWRIE 66 SERVICE,1208 MARKET ST,,Gowrie,50543,Webster,IA,7,,,,42.28075,-94.2917,GPS,,1990-10-16,,No,No,No,Waste Oil,,Gallons,Gasoline,,Gallons,Diesel,,Gallons,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
4984,,7LTX46,No,CASEY'S GENERAL STORE 2785,1602 W  1ST ST,,Ankeny,50021,Polk,IA,7,,,,41.73215,-93.62212,Geocoded address,No further action,1988-03-01,2001-11-27,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
8685,,7LTQ99,No,QUIKTRIP #531,510 10TH ST SE,,Cedar Rapids,524010000,Linn,IA,7,,,,41.98032,-91.65592,GPS,No further action,1990-08-14,2014-05-15,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
361,,9LTE48,No,FORMER MIDWEST  REPAIR,377 Railway St,,Bayard,500290000,Guthrie,IA,7,,,,41.85241,-94.55763,GPS,,1997-01-13,,No,No,No,Diesel,,Gallons,Gasoline,,Gallons,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,,,,,,,Yes,,Unknown
3194,,7LTC48,No,DALLAS COUNTY ADEL SHOP,415 RIVER ST,,Adel,500030000,Dallas,IA,7,,,,41.61577,-94.01339,GPS,No further action,1988-07-01,2010-10-13,No,No,No,,,,,,,,,,,,,,,,,,,,,,Other,Groundwater Treatment: Other,,,,,,Yes,,Unknown
17168,,8LTX89,No,TAX ACQUIRED PROPERTY,1221 FOREST AVE,,Des Moines,503140000,Polk,IA,7,,,,41.60424,-93.63408,GPS,No further action,1994-01-05,2010-12-14,No,No,No,Gasoline,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
3350,,7LTA67,No,CONVENIENCE & SAVE,2459 E EUCLID,,Des Moines,503170000,Polk,IA,7,,,,41.62731,-93.57115,GPS,No further action,1988-08-01,2010-08-23,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
7109,,8LTI83,No,SPARKY'S ONE STOP #21,1004 IOWA AVE,,Onawa,51040,Monona,IA,7,,,,42.027,-96.09769,GPS,,1990-11-28,,No,No,No,Other Petroleum,,Gallons,Gasoline,,Gallons,,,,,,,,,,,,Unknown,Unknown,,,Other,,,,,,,Yes,,Unknown
2976,,8LTP87,No,KEN KRAUSE MOTORS INC,4613 370th St,,Emmetsburg,505360000,Palo Alto,IA,7,,,,43.11292,-94.6633,GPS,,1991-08-13,,No,No,No,Waste Oil,,Gallons,Gasoline,,Gallons,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,,,,,,,Yes,,Unknown
1587,,8LTS73,No,STEWART MEMORIAL COMMUNITY HOSPITAL,1301 W MAIN ST,,Lake City,51449,Calhoun,IA,7,,,,42.26743,-94.74653,Geocoded address,,1992-03-27,,No,No,No,Diesel,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,,,,,,,Yes,,Unknown
5078,,8LTA88,No,HELLER TIRE CENTER,202 MAIN,,Portsmouth,515650000,Shelby,IA,7,,,,41.64987,-95.51897,GPS,No further action,1990-09-24,2009-02-19,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,At tank removal,,,,,,,Yes,,Unknown
6714,,7LTJ60,No,XO FOOD & LIQUOR,428 FRANKLIN ST,,Waterloo,50703-3520,Black Hawk,IA,7,,,,42.50137,-92.33482,GPS,No further action,1990-02-01,1996-02-08,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
38,,7LTI56,No,ROCK RAPIDS (UNKNOWN SOURCE),5th Ave,,Rock Rapids,512460000,Lyon,IA,7,,,,43.42753,-96.16906,Other,,,,No,No,No,Unknown,0.0,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
9891,,9LTK44,No,PHILLIPS ELEMENTARY SCHOOLS,1701 LAY STREET,,Des Moines,503170000,Polk,IA,7,,,,41.60849,-93.57228,GPS,No further action,,2003-11-24,No,No,No,Diesel,,Gallons,,,,,,,,,,,,,Tank,Tank corrosion,,,,,Other,,,,,,,Yes,,Unknown
1738,,8LTA97,No,FARMERS COOP ELEVATOR,101 ISABELLA ST,,Radcliffe,50230,Hardin,IA,7,,,,42.3106,-93.43444,GPS,,1990-09-28,,No,No,No,Diesel,0.0,Gallons,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
13034,,8LTK36,No,LOUISA COUNTY SHERIFFS DEPT,503 FRANKLIN ST,,Wapello,526510000,Louisa,IA,7,,,,41.17868,-91.18757,GPS,,1991-01-04,,No,No,No,Diesel,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,Over-excavation:Thru Over-excavation,,,,,,Yes,,Unknown
187,,8LTX88,No,CRESCENT ELECTRIC SUPPLY,313 SW 5TH,,Des Moines,503070000,Polk,IA,7,,,,41.58126,-93.6212,GPS,No further action,1993-11-17,1997-09-30,No,No,No,Unknown,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,,,,,,,Yes,,Unknown
4235,,7LTU71,No,WESSELS OIL CO INC,SE Corner Intersection of Hansen Ave and Minnie St,,Palmer,505710000,Pocahontas,IA,7,,,,42.6314,-94.60045,Map interpolation,No further action,1990-09-18,1998-10-06,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
9519,,8LTJ48,No,CALHOUN CO SECONDARY ROADS,106 E 4TH,,Lake City,514490000,Calhoun,IA,7,,,,42.26241,-94.73305,GPS,No further action,1990-09-21,1998-09-15,No,No,No,Waste Oil,,Gallons,,,,,,,,,,,,,,,,,,,At tank removal,,,,,,,Yes,,Unknown
8420,,8LTK20,No,KUM & GO #442,2900 FALLS AVENUE,,Waterloo,507010000,Black Hawk,IA,7,,,,42.50011,-92.38331,GPS,No further action,1990-12-31,2002-03-26,No,No,No,Diesel,,Gallons,Gasoline,,Gallons,,,,,,,,,,,,Unknown,Unknown,,,Other,,,,,,,Yes,,Unknown
2744,,8LTA45,No,LOGLI'S STORE,508 N 4TH ST,,Fairfield,52556,Jefferson,IA,7,,,,41.0126,-91.96828,GPS,No further action,1990-10-03,1999-06-02,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
8346,,8LTA20,No,SIOUX FEED INC,4192 US 75 Ave,,Sioux Center,512500000,Sioux,IA,7,,,,43.0414,-96.17569,GPS,No further action,1990-10-04,2001-10-08,No,No,No,Diesel,0.0,Gallons,Gasoline,0.0,Gallons,,,,,,,,,,,,Unknown,Unknown,,,Other,,,,,,,Yes,,Unknown
531,,9LTK58,No,"ADULTS, INC.",319 W BREMER AVE,,Waverly,50677,Bremer,IA,7,,,,42.72545,-92.47549,GPS,No further action,2002-10-08,2004-08-03,No,No,No,Diesel,,Gallons,Gasoline,,Gallons,,,,,,,,,,,,Tank,Tank corrosion,,,Other,,,,,,,Yes,,Unknown
16256,,7LTQ08,No,DRUMMOND'S TIRE & RENTAL CO.,318 BARDELL,,Ottumwa,525010000,Wapello,IA,7,,,,41.00981,-92.41607,Other,No further action,1990-08-02,2002-10-02,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
10918,,9LTK76,No,FORMER WIOTA FOOD & FUEL,404 PIONEER AVE,,Wiota,502740000,Cass,IA,7,,,,41.40383,-94.88949,Geocoded address,,2003-02-05,,No,No,No,Gasoline,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
8095,,7LTM12,No,FORT DODGE REGIONAL AIRPORT,1639 Nelson Ave # 2,,Fort Dodge,505010000,Webster,IA,7,,,,42.55035,-94.18211,GPS,No further action,1990-04-18,2001-12-21,No,No,No,Other Petroleum,0.0,Gallons,Gasoline,0.0,Gallons,Diesel,0.0,Gallons,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
1323,,8LTR38,No,GREENE COUNTY MEDICAL CENTER,1000 W LINCOLNWAY,,Jefferson,501290000,Greene,IA,7,,,,42.01618,-94.3884,Map interpolation,No further action,1991-12-18,1992-08-26,No,No,No,Diesel,,Gallons,Gasoline,,Gallons,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,Over-excavation:Thru Over-excavation,,,,,,Yes,,Unknown
11045,,9LTG23,No,NEW CENTURY FS BAYARD,110 3RD AVE ,,Bayard,50029,Guthrie,IA,7,,,,41.84888,-94.55703,GPS,No further action,1998-05-13,1998-11-16,No,No,No,Diesel,,Gallons,Gasoline,,Gallons,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
8741,,9LTA68,No,SLEPER OIL COMPANY,15 FIRST AVENUE W,,Buffalo Center,504240000,Winnebago,IA,7,,,,43.38604,-93.94736,GPS,No further action,1994-12-06,2005-08-10,No,No,No,Diesel,,Gallons,Gasoline,,Gallons,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,,,,,,,Yes,,Unknown
18160,,9LTP10,No,FORMER FILLING STATION,5408 MILITARY RD,,Sioux City,51109,Woodbury,IA,7,,,,42.52242,-96.47788,Geocoded address,No further action,2011-04-13,2012-08-02,No,No,No,Diesel,0.0,Gallons,Gasoline,0.0,Gallons,,,,,,,,,,,,Tank,Tank corrosion,,,Other,,,,,,,Yes,,Unknown
11226,,8LTW85,No,FORMER LEHIGH CLAY PRODUCTS SITE,3044 RACINE AVE,,Lehigh,50577,Webster,IA,7,,,,42.3475,-94.06725,GPS,,1993-08-16,,No,No,No,Diesel,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
7819,,9LTA72,No,STALKERS WESTSIDE 66,1217 4TH ST SW,,Mason City,50401,Cerro Gordo,IA,7,,,,43.14812,-93.2205,Map interpolation,,1994-09-19,,No,No,No,Gasoline,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
3005,,9LTL83,No,FORMER TODD'S AUTO,204 NORTH CARPENTER,,Sumner,506740000,Bremer,IA,7,,,,42.84851,-92.09758,Other,No further action,2004-11-30,2013-05-28,No,No,No,Diesel,,Gallons,Gasoline,,Gallons,,,,,,,,,,,,Unknown,Unknown,,,Other,,,,,,,Yes,,Unknown
8059,,8LTZ46,No,U S WEST,900 LOCUST,,Dubuque,52001,Dubuque,IA,7,,,,42.5019,-90.66875,GPS,No further action,1994-07-11,1997-07-18,No,No,No,Fuel Oil,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,,,,,,,Yes,,Unknown
9340,,9LTA87,No,GOODYEAR TIRE CENTER 5670,101 EAST MAIN ST,,Marengo,523010000,Iowa,IA,7,,,,41.80045,-92.0702,Other,No further action,1994-12-05,1995-11-02,No,No,No,Waste Oil,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,At tank removal,Over-excavation:Thru Over-excavation,1995-06-15,,,,,Yes,,Unknown
1478,,9LTK07,No,RIVER HILLS SWITCHING STATION,105 WATSON POWELL JR. WAY,,Des Moines,503090000,Polk,IA,7,,,,41.58973,-93.61949,GPS,No further action,2001-12-10,2002-04-18,No,No,No,Diesel,,Gallons,,,,,,,,,,,,,Tank,Tank corrosion,,,,,Other,,,,,,,Yes,,Unknown
217,,8LTZ88,No,POST OFFICE,117 W MARION ST,,Monroe,501700000,Jasper,IA,7,,,,41.52181,-93.10377,GPS,No further action,1994-08-04,1999-05-05,No,No,No,Fuel Oil,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
4440,,8LTG12,No,MODERN WELDING CO INC,2818 MT PLEASANT,,Burlington,526010000,Des Moines,IA,7,,,,40.82613,-91.14281,Other,,1990-10-24,,No,No,No,Diesel,,Gallons,Gasoline,,Gallons,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
16431,,9LTD17,No,RMI WELLSBURG,W 4TH STREET,,Wellsburg,506800000,Grundy,IA,7,,,,42.43396,-92.9255,GPS,No further action,1996-02-02,2015-02-03,No,No,No,Gasoline,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
10672,,8LTF17,No,DES MOINES GOLF & COUNTRY CLUB (see 199217575),1600 74TH ST,,West Des Moines,50266,Dallas,IA,7,,,,41.56985,-93.7962,Other,,1990-10-08,,No,No,No,Gasoline,,Gallons,,,,,,,,,,,,,,,,,,,At tank removal,,,,,,,Yes,,Unknown
2860,,7LTS10,No,VAN BUREN COUNTY SHERIFFS DEPT,950 4TH ST,,Keosauqua,525650000,Van Buren,IA,7,,,,40.73415,-91.96311,Other,No further action,1990-08-14,1992-02-13,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,At tank removal,Over-excavation:Thru Over-excavation,1990-07-15,,,,,Yes,,Unknown
4757,,7LTY34,No,SORENSON TIRE & AUTO,1101 W SHERIDAN,,Shenandoah,51601,Page,IA,7,,,,40.76623,-95.37993,GPS,,1987-11-23,,No,No,No,Gasoline,0.0,Gallons,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
2932,,8LTD57,No,OBRIEN COUNTY MAINT BUILDING,602 S MAPLE,,Paullina,510460000,O'Brien,IA,7,,,,42.97289,-95.68417,GPS,,1990-10-24,,No,No,No,Diesel,0.0,Gallons,Gasoline,0.0,Gallons,,,,,,,,,,,,Unknown,Unknown,,,Other,,,,,,,Yes,,Unknown
15992,,9LTJ63,No,VIDEO STORE,1408 W FIRST STREET,,Cedar Falls,506130000,Black Hawk,IA,7,,,,42.5377,-92.46224,Map interpolation,No further action,2001-05-10,2002-03-08,Yes,No,No,Gasoline,,Gallons,,,,,,,,,,,,,Unknown,Unknown,,,,,Other,,,,,,,Yes,,Unknown
3147,,9LTL38,No,AGVANTAGE FS,614 MAIN ST,,Dumont,506250000,Butler,IA,7,,,,42.75067,-92.97248,GPS,No further action,2004-03-24,2007-10-19,No,No,No,Diesel,,Gallons,,,,,,,,,,,,,,,,,,,Other,,,,,,,Yes,,Unknown
