Facilityid,Sitenumber,Facilityname,Facilityaddress1,Facilityaddress2,Facilitycity,Facilityzip,Facilitycounty,Casemanager,Section,Casedescription,Cause,Discoverydate,Currentstatus,Productreleased,Company,Ownercontact,Caccontact,Contacttitle,Caccompany,Howdiscovered
70132,1,EAST TN REGIONAL MAINT OFFICE,ROUTE 2 BOX A 53,,Lake City,37769,Campbell,Wayne Clifford,FO,,,,1a Completed Tank Closure,,CONSERVATION  DEPART, ,,,,
80008,1,Tenn DOT,.1 MI NORTH OF L.M. 7.55,,Woodbury,37190,Cannon,Rocky Hannah,FO,,8 Other,JUN-04-1999,8 Case Closed,,"TENN DOT., ATTN: ALAN PINSON", , ,,Quantum Environmental & Engineering Serv,4 Off-site Impact
80051,1,SHORT MOUNTAIN,SHORT MT RD 8 MI NE OF WOODBURY,,Woodbury,37190,Cannon,Rocky Hannah,FO,tower,4 Corrosion,AUG-31-1998,8 Case Closed,,TENN DEPT OF SAFETY, , ,,Quantum Environemntal & Engineering,1 At Closure
90075,1,TROOP B 230TH CAVALRY,236 JONES ST,,Huntingdon,38344,Carroll,Robert Strong,FO,,7 Unknown,APR-29-1998,8 Case Closed,,HEADQUARTERS TN ARMY/NAT GUARD, , ,,"ATC Associates, Inc.",1 At Closure
90076,1,TENN DOT-CARROLL COUNTY,RT 6 BOX 223C HWY 51,,Mckenzie,38201,Carroll,Robert Strong,FO,,5 Pipe Failure,NOV-15-1995,8 Case Closed,,TDOT Office of Environmental Compliance,Barry Brown,,,,6 Tightness Testing
90076,2,TENN DOT-CARROLL COUNTY,15600 HIGHLAND DR N,,Mc Kenzie,38201,Carroll,Alan Dodge,FO,"prioritization 248, 7/26/06. Rerank= 243 10/1/12.",7 Unknown,OCT-12-1998,8 Case Closed,,"TENN DOT., ATTN: ALAN PINSON", ,Troy Estes,,"ENSAFE, Inc.",1 At Closure
100013,1,Carter County Work Camp,"CALLER #1 
OLD RAILROAD GRADE R",,Roan Mountain,37687,Carter,Margaret Greene,FO,"6K-D, 4K-D, 6K-G",4 Corrosion,FEB-12-1991,8 Case Closed,,CORRECTIONS - FISCAL SERVICES, ,,,,2 Release Detection
100013,2,CARTER CO WORK CAMP,"CALLER #1 
OLD RAILROAD GRADE R",,Roan Mountain,37687,Carter,CDL,FO,"6K-D, 4K-D, 6K-G",,,1a Completed Tank Closure,,CORRECTIONS - FISCAL SERVICES, ,,,,
100034,1,FAA-RMLR-QGC,Holston Mountain,,Elizabethton,37643,Carter,Stan Boyd,FO,1-500gal G,,,1a Completed Tank Closure,,COVINGTON SECTER OFFICE, ,,,,
100035,1,FAA-VOR-HMV,Holston Mountain,,Elizabethton,37643,Carter,Stan Boyd,FO,1-500gal G,,,1a Completed Tank Closure,,COVINGTON SECTER OFFICE, ,,,,
100092,1,776TH MAINTENANCE CO,DON LEWIS BLVD,,Elizabethton,37644,Carter,CDL,FO,1-1.5K D,,,1a Completed Tank Closure,,HEADQUARTERS TN ARMY/NAT GUARD, , ,,Marion Environmental Incorporated,
100111,1,TENNESSEE DIV OF FORESTRY,Rt.1,,Hampton,37658,Carter,Stan Boyd,FO,,,,1a Completed Tank Closure,,DEPT OF AGRICULTURE - FORESTRY, ,,,,
100113,1,TENN DOT,ROUTE 9 BOX 2825,,Elizabethton,37643,Carter,CDL,FO,1-8K G; 1-3K D; 1-1K D,7 Unknown,,1a Completed Tank Closure,,"TENN DOT., ATTN: ALAN PINSON", ,,,,1 At Closure
100113,2,TENNESSEE DOT OLD CARTER COUNTY ,Don M. Lewis Road,,Elizabethton,37643,Carter,Debbie Mann,TECH,1 8K-G,7 Unknown,,8 Case Closed,,,,,,,6 Tightness Testing
100125,1,WATAUGA DAM,Rt. 1,,Elizabethton,37643,Carter,Ken Miller,FO,,,,1a Completed Tank Closure,,TENNESSEE VALLEY AUTHORITY, ,,,,
100149,1,SYCAMORE SHOALS STATE PARKS,1651 W ELK AVE,,Elizabethton,37643,Carter,Stan Boyd,FO,1-2K G,7 Unknown,SEP-01-1995,8 Case Closed,,TN. DEPT. OF CONSERVATION, , ,,"Abatement Environmental Resources, Inc.",6 Tightness Testing
100149,2,SYCAMORE SHOALS STATE PARKS,1651 W ELK AVE,,Elizabethton,37643,Carter,MPB,FO,1-1KG,7 Unknown,MAY-10-1996,8 Case Closed,,TN. DEPT. OF CONSERVATION, , ,,"Theta Engineering, Inc.",2 Release Detection
100150,1,ROAN MOUNTAIN STATE PARK,RT 1 BOX 236,,Roan Mountain,37687,Carter,Margaret Greene,FO,1-2K G; 1-500 D,7 Unknown,NOV-25-1999,8 Case Closed,,Steve Westerman, , ,,"Theta Engineering, Inc.",1 At Closure
100180,1,NWS RADAR FACILITY SITE,HOLSTON MOUNTAIN,,Elizabethton,37643,Carter,SMB,FO,"1-2K D, see Fac# 0-820384 Dup",,,1a Completed Tank Closure,,NATIONAL WEATHER SER, , ,,Enviro Technologies Remediation Inc.,
110015,1,TDOT Cheatham County,1093 North Main Street,,Ashland City,37243,Cheatham,John Wright,FO,,7 Unknown,MAY-28-1997,8 Case Closed,,"TDOT, ATTN: ALAN PINSON", , ,,"TVG Environmental, Inc.",1 At Closure
120010,1,CHICASAW STATE FOREST,1865 TOWER RD,,Henderson,38340,Chester,April Caudill,FO,tank closure,,,1a Completed Tank Closure,,DEPT OF AGRICULTURE - FORESTRY, ,,,,
120043,1,TENN DOT,SR 100,,Henderson,38340,Chester,Robert Strong,FO,"CC:  Jim Westerman F&A, Jim Ozment TDOT & CAC",7 Unknown,AUG-18-1998,8 Case Closed,,TDOT Office of Environmental Compliance,Barry Brown,Joe Brock,Mr.,Quantum Environmental & Engineering Serv,1 At Closure
130037,1,TENN DOT,US-25E EAST SIDE,,Harrogate,37752,Claiborne,Jane Roach,FO,,7 Unknown,SEP-27-1999,8 Case Closed,,"TENN DOT., ATTN: ALAN PINSON", ,,,,1 At Closure
140036,1,TENN DOT,HWY. 52,,Moss,38575,Clay,Ed Fowler,FO,,,,8 Case Closed,,"TENN DOT., ATTN: ALAN PINSON", ,,,,
150117,1,TROOP C 1/278TH ACR,HWY #321 PO BOX 37,,Newport,37821,Cocke,JAH,TECH,,,,8 Case Closed,,HEADQUARTERS TN ARMY/NAT GUARD, ,,,,
150124,1,TENN DOT,1050 COSBY HWY,,Newport,37821,Cocke,Wayne Clifford,FO,,7 Unknown,NOV-30-1998,8 Case Closed,,"TENN DOT., ATTN: ALA", , ,,"Theta Engineering, Inc.",1 At Closure
150124,2,TENN DOT,"1050 COSBY HWY 
P.O. BOX 28",,Newport,37821,Cocke,Jane Roach,FO,,,,1a Completed Tank Closure,,"TENN DOT., ATTN: ALAN PINSON", ,,,,
160032,1,TENN DOT,20 MI SO OF L M,,Manchester,37355,Coffee,Donene Payne,FO,,7 Unknown,APR-06-1993,8 Case Closed,,"TENN DOT., ATTN: ALA", , ,,"TVG Environmental, Inc.",6 Tightness Testing
160039,1,DEPT OF DEFENSE - USAF,ARNOLD ENG DEV CENTER,,Arnold Afb,37389-5000,Coffee,Donene Payne,FO,,7 Unknown,JAN-01-1988,8 Case Closed,,DEPT OF DEFENSE  US, ,,,,1 At Closure
160039,2,Arnold Engineering Dev Center,"100 Kindel Drive, Suite A228 ",,Arnold A F B,37389,Coffee,Steve McMahan,FO,UST inquiry to determine if a quench tank is regulated by the Divsion.,,JUN-30-2015,8 Case Closed,,,,,,,8 Other
160039,3,Arnold Engineering Dev Center,"100 Kindel Drive, Suite A228 ",,Arnold A F B,37389,Coffee,Steve McMahan,FO,Tank closure (3 tanks),,,1a Completed Tank Closure,,,,,,,
160134,1,TENN DOT,PO BOX 98,,Tullahoma,37388,Coffee,Donene Payne,FO,,7 Unknown,DEC-28-1993,8 Case Closed,,"TENN DOT., ATTN: ALA", , ,,"TVG Environmental, Inc.",
160134,2,TDOT - Coffee County,1208 East Carroll St.,,Tullahoma,37388,Coffee,Steve McMahan,FO,Suspected release Site check,,,0a Suspected Release - Closed,,,,,,,6 Tightness Test
160134,3,TDOT - Coffee County,1208 East Carroll St.,,Tullahoma,37388,Coffee,Steve McMahan,FO,diesel tank closure ,,,1a Completed Tank Closure,,,,,,,
170020,1,TENN DOT,ROUTE 3 SR 88,,Ashland City,37015,Crockett,Robert Strong,FO,,7 Unknown,AUG-04-1999,8 Case Closed,,"TENN DOT., ATTN: ALAN PINSON", , ,,"ATC Associates, Inc.",1 At Closure
180038,1,"HCH /VOR HINCH MT,",ROUTE 4 BOX 13,,Crossville,38555,Cumberland,George Allen,FO,,,,1a Completed Tank Closure,,DOT/FEDERAL AVIATION, ,,,,
180058,1,N.G. ARMORY TN ARNG,P O BOX 124,,Crossville,38555,Cumberland,George Allen,FO,,7 Unknown,AUG-23-1996,8 Case Closed,,HEADQUARTERS TN ARMY, ,,,,3 On-site Impact
180060,1,ORV/ATCBI BLACK MT.,ROUTE 4 BOX I3,,Crossville,38555,Cumberland,George Allen,FO,,,DEC-17-1994,1a Completed Tank Closure,,DOT/FEDERAL AVIATION, ,,,,
180072,1,TENN DOT,US HWY.127S,,Crossville,38555,Cumberland,George Allen,FO,,7 Unknown,OCT-02-1996,8 Case Closed,,"TENN DOT., ATTN: ALA", , ,,AQUATERRA Inc.,1 At Closure
180122,1,CUMBERLAND MOUNTAIN STATE PARK,RT 8 BOX 322,,Crossville,38555,Cumberland,George Allen,FO,,,,1a Completed Tank Closure,,TN. DEPT. OF CONSERVATION, ,,,,
180143,1,TENN WILDLIFE RESOURCES AGENCY,ROUTE 2 GENESIS RD,,Crossville,38555,Cumberland,George Allen,FO,,4 Corrosion,SEP-04-1998,8 Case Closed,,TENN WILDLIFE RESOURCES AGENCY, ,,,,1 At Closure
180149,1,UNIVERSITY OF TENN CLYDE YORK,4-H CAMP ROUTE 13,,Crossville,38555,Cumberland,George Allen,FO,,7 Unknown,SEP-16-1996,1a Completed Tank Closure,,UNIVERSITY OF TENN C, ,,,,1 At Closure
190004,1,AIRPORT SURVEILLANCE RADAR BNA,METRO AIRPORT,,Nashville,37217,Davidson,Drew Storm,FO,,,,1a Completed Tank Closure,,DEPT OF TRANSP/ FAA, ,,,,
190006,1,AIR TRAFFIC CONTROL TOWER BNA,METRO AIRPORT,,Nashville,37217,Davidson,Drew Storm,FO,,,,1a Completed Tank Closure,,DEPT OF TRANSP/ FAA, ,,,,
190014,1,ALS BNA,METRO AIRPORT,,Nashville,37217,Davidson,Drew Storm,FO,,,,1a Completed Tank Closure,,DEPT OF TRANSP/ FAA, ,,,,
190030,3,,,,,,,,,,,,,,,,,,,
190169,1,CLOVER BOTTOM DEVELOPMENT CTR,275 STEWART FERRY,,Hermitage,37076,Davidson,Drew Storm,FO,,7 Unknown,JAN-27-1999,8 Case Closed,,STATE OF TENN - MH &, ,,,,1 At Closure
190263,1,FAA/ QOJARSR,P O BOX 37 3024 MORGAN,,Joelton,37080,Davidson,Drew Storm,FO,,,,1a Completed Tank Closure,,DEPT OF TRANSP/ FAA, ,,,,
190264,1,"NASHVILLE, TN.AFSS BNA",501 OLEN TAYLOR DR,,Nashville,37217,Davidson,Drew Storm,FO,,,,1a Completed Tank Closure,,DEPT OF TRANSP/ FAA, ,,,,
190480,1,MIDDLE TENNESSEE MENTAL HEALTH INST,1501 MURFREESBORO RD,,Nashville,37217,Davidson,Drew Storm,FO,,7 Unknown,NOV-20-1997,8 Case Closed,,STATE OF TENN - MH &, ,,,,1 At Closure
190482,1,MIDDLE TENNESSEE RECEPTION CTR,7177 COCKRILL BEND INDUSTRIAL DRIVE,,Nashville,37219,Davidson,Drew Storm,FO,,,,1a Completed Tank Closure,,CORRECTIONS - FISCAL, ,,,,
190503,1,NASHVILLE COMMUNITY SERV CTR,7466 CENTENNIAL PL EXTD,,Nashville,37209,Davidson,Drew Storm,FO,,7 Unknown,MAR-20-1996,8 Case Closed,,TN F&A, , ,,"Specialty Services, Inc.",1 At Closure
190516,1,NASHVILLE STATE TECH INST,120 WHITE BRIDGE RD,,Nashville,37209,Davidson,Drew Storm,FO,,7 Unknown,AUG-26-1996,8 Case Closed,,NASHVILLE STATE TECH, ,,,,1 At Closure
190623,1,REMOTE RECEIVER SITE BNA,BNAA RTR METRO RECEIVER SITE,,Nashville,37217,Davidson,Drew Storm,FO,This facility is actually 0-190624.,7 Unknown,DEC-02-1996,8 Case Closed,,DEPT OF TRANSP/ FAA, ,,,,1 At Closure
190624,1,REMOTE TRANSMITTER SITE,RTR BNA METRO AIRPORT,,Nashville,37217,Davidson,Drew Storm,FO,See 0-190623,,,8 Case Closed,,DEPT OF TRANSP/ FAA, ,,,,
190723,1,SULLIVAN'S RIDGE FIRE TOWER,RT 2 FIRE TOWER RD,,Nashville,37209,Davidson,Drew Storm,FO,Tank Removal,7 Unknown,APR-23-1991,8 Case Closed,,TN DEPT OF AGR, ,,,,8 Other
190743,1,OM SHOP 9 TN ARMY NATL GUARD,3041 SIDCO DR,,Nashville,37204,Davidson,Drew Storm,FO,,7 Unknown,MAR-27-1997,8 Case Closed,,HEADQUARTERS TN ARMY, ,,,,1 At Closure
190748,1,SURPLUS PROPERTY ANNEX,6630 CENTENNIAL BLVD,,Nashville,37209,Davidson,Drew Storm,FO,,7 Unknown,MAR-20-1996,8 Case Closed,,TN F&A, , ,,"Specialty Services, Inc.",1 At Closure
190749,1,OLD DOT STATE OFFICE BLDG,400 23TH AVE N,,Nashville,37203,Davidson,Drew Storm,FO,,7 Unknown,SEP-11-2001,8 Case Closed,,TN F&A, ,,,,1 At Closure
190754,1,TN STATE PRISON,STATION A W,,Nashville,37203,Davidson,Drew Storm,FO,,7 Unknown,MAR-20-1996,8 Case Closed,,TN F&A, , ,,"Specialty Services, Inc.",1 At Closure
191251,1,TN STATE LIBRARY & ARCHIVES,403 SEVENTH AVE N,,Nashville,37219,Davidson,Drew Storm,FO,,,,1a Completed Tank Closure,,GENERAL SERVICES - P, ,,,,
191357,1,TN AIR NATIONAL GUARD,118th AIRLIFT WING,,Nashville,37217,Davidson,John Wright,FO,,7 Unknown,OCT-18-1995,8 Case Closed,,TENNESSEE AIR NATIONAL GUARD, , ,,"PEER Consultants, P.C.",1 At Closure
191357,2,TN AIR NATIONAL GUARD,KNAPP BLVD,,Nashville,37217,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,TENNESSEE AIR NATIONAL GUARD, ,,,,
191408,1,TN DEPT OF SAFETY,225 EZELL PIKE,,Nashville,37217,Davidson,John Wright,FO,,,,8 Case Closed,,TENN DEPT OF SAFETY, ,,,,
191408,2,TN DEPT OF SAFETY,225 EZELL PIKE,,Nashville,37217,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,TENN DEPT OF SAFETY, ,,,,
191418,1,TN DEPT OF MOTOR VEHICLE,910 EIGHTH AVE N,,Nashville,37219,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,GENERAL SERVICES - M, ,,,,
191483,1,TN DEPT OF SAFETY -SULLIVAN,TOWER RD,,Nashville,37209,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,TENN DEPT OF SAFETY, ,,,,
191485,1,"FAA, Nashville Airport, Runway 02R",1 Terminal Drive,,Nashville,37217,Davidson,Drew Storm,FO,Tank Closure (Removal),,,8 Case Closed,,,,,,,
191487,1,CAPITOL COMPLEX SERVICE CTR,911 FIFTH AVE N,,Nashville,37243,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,GENERAL SERVICES - P, ,,,,
191494,1,TN ARNG STATE WAREHOUSE,3000 ARMORY DR,,Nashville,37204,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,HEADQUARTERS TN ARMY, ,,,,
191495,1,TN STATE UNIV,3500 JOHN MERRITT BLVD,,Nashville,37209,Davidson,John Wright,FO,,8 Other,NOV-03-1998,8 Case Closed,,TENNESSEE STATE UNIV, ,,,,1 At Closure
191501,1,TN SCHOOL FOR THE BLIND,115 STEWART'S FERRY PIKE,,Nashville,37214,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,TN DEPT OF EDU, ,,,,
191538,1,TN PREP SCHOOL,1200 FOSTER AVE,,Nashville,37212,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,TN DEPT OF EDU, ,,,,
191577,1,TDOT REG 3 HQ,6601CENTENNIAL BLVD,,Nashville,37209,Davidson,John Wright,FO,,,,8 Case Closed,,"TENN DOT., ATTN: ALAN PINSON", ,,,,
191577,2,TENNESSEE DOT REG 3 HQ,6601 Centennial Blvd.,,Nashville,37209,Davidson,Katrina Hunter,FO,Tank closure (Removal),,,1a Completed Tank Closure,,,,,,,
191577,3,TDOT-Region 3 Headquarters,6601 Centennial Blvd.,,Nashville,37209,Davidson,Katrina Hunter,FO,Regular unleaded product line closure,,,1d Completed Line Closure,,,,Greg Olin,Mr.,Ensafe,
191643,1,ELLINGTON AGRICULTURAL CTR,"OLD MAINTENANCE SHOP 
600 HOGAN",,Nashville,37204,Davidson,John Wright,FO,,8 Other,NOV-10-1995,8 Case Closed,,GENERAL SERVICES - P S M, ,,,,1 At Closure
191644,1,Ellington Agricultural Center-Porter Building,600 Hogan Road,,Nashville,37204,Davidson,Drew Storm,FO,Tank Closure (Removal),,,1a Completed Tank Closure,,,,,,,
191645,1,R S GASS BLDG,630 BEN ALLEN RD,,Nashville,37207,Davidson,John Wright,FO,,,,1a Completed Tank Closure,,GENERAL SERVICES - P, ,,,,
191672,1,OPERATIONAL BLDG-HEIMAN ST,28TH & HEIMAN,,Nashville,37209,Davidson,John Wright,FO,,7 Unknown,NOV-02-1998,8 Case Closed,,TENNESSEE STATE UNIV, ,,,,1 At Closure
