Facility ID,Tank IDAssociatedwith Release,LUSTID,Federally Reportable Release,Site Name,Site Address,Site Address2,Site City,Zipcode,County,State,EPARegion,Facility Type,Tribal Site,Tribe,Latitude,Longitude,Coordinate Source,LUSTStatus,Reported Date,NFADate,Media Impacted Soil,Media Impacted Groundwater,Media Impacted Surface Water,Substance Released1,Quantity Released1,Unit1,Substance Released2,Quantity Released2,Unit2,Substance Released3,Quantity Released3,Unit3,Substance Released4,Quantity Released4,Unit4,Substance Released5,Quantity Released5,Unit5,Source Of Release1,Cause Of Release1,Source Of Release2,Cause Of Release2,Source Of Release3,Cause Of Release3,How Release Detected,Corrective Action Strategy1,Corrective Action Strategy1Start Date,Corrective Action Strategy2,Corrective Action Strategy2Start Date,Corrective Action Strategy3,Corrective Action Strategy3Start Date,Closed With Contamination,No Further Action Letter URL,Military Do DSite
2000733,,2016021,Yes,PMG CO 09,2643 VIRGINIA AV NW,,Washington DC,20037,,DC,3,Retail fuel sales (non-marina),,,38.90047,-77.0556,,No further action,2016-09-29,2023-06-22,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
8010009,,2021016,Yes,1337 GOOD HOPE ROAD,"1337 GOOD HOPE RD SE
1337 MARION BARRY AV SE",,Washington DC,20020,,DC,3,Other,,,,,,Active: general,2021-02-23,,Yes,Yes,No,Unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
1010018,,2022001,Yes,MCDONALDS,"2334 GEORGIA AV NW
2330 GEORGIA AV NW",,Washington DC,20001,,DC,3,Other,,,,,,Active: general,2021-11-08,,Yes,No,No,Unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5010016,,2018017,Yes,FORMER HECHTS ,1515 NEW YORK AV,,Washington DC,20002,,DC,3,Commercial,,,38.9162602,-76.98201054,,No further action,2018-08-09,2019-05-08,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Tank,Corrosion,,,,,,,,,,,,,,No
6001998,,2017017,Yes,RAY'S USED CARS,2101 BENNING RD NE,,Washington DC,20002,,DC,3,Auto dealership/auto maintenance & repair,,,38.8981474,-76.9739661,Geocoded address,No further action,2017-09-13,2020-11-03,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Tank,Unknown,,,,,,,,,,,,,,No
1000837,,2024007,Yes,HU - CANCER RESEARCH CENTER,"2045 GEORGIA AV NW
2041 GEORGIA AV (REAR OF HOSPITA",,Washington DC,20001,,DC,3,Hospital (or other medical),,,38.91207,-77.01902,,Active: general,2023-12-19,,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000617,,2021018,Yes,DEPT.PUBLIC WORKS.FLEET.MGMT.,125 O ST SE,,Washington DC,20003,,DC,3,Retail fuel sales (non-marina),,,38.87280145,-77.00415813,Geocoded address,Active: general,2021-03-03,,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
1010016,,2021017,Yes,CITY BIKES,2501 CHAMPLAIN ST NW,,Washington DC,20009,,DC,3,Retail fuel sales (non-marina),,,,,,No further action,2021-03-03,2024-06-14,Yes,No,No,Unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
1003670,,2025004,Yes,HU - PHYSICAL PLANT,2216 6TH ST NW,,Washington DC,20001,,DC,3,School,,,38.91952675,-77.02095338,Geocoded address,Active: general,2024-11-12,,Yes,No,No,Unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
1000349,,2017003,Yes,FORMER EXXON S/S #2-7489,2009 18TH ST NW,,Washington DC,20009,,DC,3,Retail fuel sales (non-marina),,,38.91752683,-77.04120589,Geocoded address,No further action,2016-10-26,2022-09-16,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Other,,,,,,,,,,,,,,No
8001195,,2017020,Yes,DC DEPARTMENT OF HUMAN SERVICES - (DPW FEES),4 DC VILLAGE LA SW,,Washington DC,20032,,DC,3,Bulk plant storage/petroleum distributor,,,38.81318,-77.01451,Geocoded address,Active: general,2017-09-21,,Yes,Yes,No,Diesel fuel (b-unknown),2000.0,gallons,,,,,,,,,,,,,Tank,Other,,,,,,,,,,,,,,No
1010021,,2023003,Yes,HOWARD UNIVERSITY,1840 7TH ST NW,,Washington DC,20001,,DC,3,Other,,,,,,No further action,2023-01-10,2023-11-06,Yes,No,No,Unknown,,,,,,,,,,,,,,,Tank,Corrosion,,,,,,,,,,,,,,No
8010005,,2018016,Yes,FORMER SHELL OIL,2721 NAYLOR RD SE,,Washington DC,20020,,DC,3,Unknown,,,38.85989033,-76.96862291,,No further action,2018-07-19,2023-08-30,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,Excavation and hauling or treatment,2021-02-15,,,,,,,No
8010004,,2018013,Yes,SOUTHERN AVENUE SITE,306 SOUTHERN AV SE,,Washington DC,20032,,DC,3,Other,,,38.8220169,-77.00095925,,No further action,2018-06-28,2018-11-28,Yes,Yes,No,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
3000737,,2000001,Yes,TENLY TOWER MICROWAVE STATION,4623 41ST ST NW,,Washington DC,20016,,DC,3,Utility,,,38.95033255,-77.07984078,Geocoded address,No further action,1999-10-19,2007-02-20,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000434,,2000004,Yes,STEPHEN ZYWUSKO,3709 M L KING JR AV SE,,Washington DC,20020,,DC,3,Commercial,,,38.83768,-77.00631,Geocoded address,No further action,1999-10-03,2000-05-25,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2006012,,2000005,Yes,New Washington Convention Center,1015 9TH ST,,Washington DC,20024,,DC,3,Commercial,,,38.88005,-77.02527,Geocoded address,No further action,1999-10-27,2000-11-27,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
1000275,,2000006,Yes,DCFD ENGINE CO. #4,2531 SHERMAN AV NW,,Washington DC,20001,,DC,3,Other,,,38.92339656,-77.02502519,Geocoded address,No further action,1999-10-28,2008-08-05,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000588,,2000007,Yes,MPD YOUTH DIVISION,1700 RHODE ISLAND NW,,Washington DC,20036,,DC,3,Retail fuel sales (non-marina),,,38.90652,-77.03853,Geocoded address,No further action,1999-10-27,2010-02-01,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000294,,2000008,Yes,DCFD ENGINE CO. #23,2119 G ST NW,,Washington DC,20037,,DC,3,Other,,,38.89858254,-77.04762479,Geocoded address,No further action,1999-10-25,2010-01-27,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000589,,2000009,Yes,MPD SPECIAL OPERATIONS DIVISION,2301 L ST NW,,Washington DC,20037,,DC,3,Retail fuel sales (non-marina),,,38.90396584,-77.05062968,Geocoded address,No further action,1999-10-25,2010-01-27,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000277,,2000010,Yes,DCFD ENGINE CO. #6,1300 NEW JERSEY AV NW,,Washington DC,20001,,DC,3,Other,,,38.90765895,-77.01608436,Geocoded address,No further action,1999-11-05,2004-09-27,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
1000620,,2000012,Yes,DPW - FLEET MANAGEMENT,301 BRYANT ST NW,,Washington DC,20001,,DC,3,Retail fuel sales (non-marina),,,38.92093352,-77.01624638,Geocoded address,No further action,1999-11-10,2010-08-24,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2001870,,2000013,Yes,Former Gas Station,101 CONSTITUTION AVE,,Washington DC,20024,,DC,3,Other,,,38.89273,-77.01291,Geocoded address,No further action,1999-10-10,2000-07-26,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000145,,2000015,Yes,CAPITOL POWER PLANT COAL YARD,I ST SE,,Washington DC,20003,,DC,3,Other,,,38.88011,-76.99762,Geocoded address,No further action,1999-11-04,2000-03-16,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
7000290,,2000018,Yes,DCFD ENGINE CO. #19,2803 PENNSYLVANIA AV SE,,Washington DC,20020,,DC,3,Other,,,38.87222,-76.96761,Geocoded address,No further action,1999-11-29,2011-01-19,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000409,,2000023,Yes,ABANDONED SERVICE STATION,1415 NORTH CAPITOL ST NE,,Washington DC,20011,,DC,3,Unknown,,,38.90913,-77.00897,Geocoded address,No further action,1999-12-01,2005-08-15,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
4001955,,2000025,Yes,TACOMA VILLAGE,6820 BLAIR RD NW,,Washington DC,20012,,DC,3,Residential,,,38.97266928,-77.01665849,Geocoded address,No further action,1999-12-09,2000-09-28,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2001412,,2000026,Yes,513 E ST NW,513 E ST NW,,Washington DC,20001,,DC,3,Retail fuel sales (non-marina),,,38.89614,-77.01907,Geocoded address,No further action,1999-11-22,2010-10-27,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000419,,2000027,Yes,7 - 11 NEW YORK AV NE,"7 - 11 NEW YORK AV NE
7 NEW YORK AV NE",,Washington DC,20002,,DC,3,Commercial,,,38.90742214,-77.00812384,Geocoded address,No further action,1999-12-15,2000-01-28,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5003080,,2000028,Yes,KENNETH J. WELCH,REAR 125 V ST NW,,Washington DC,20005,,DC,3,Auto dealership/auto maintenance & repair,,,38.91831476,-77.01298489,Geocoded address,No further action,1999-12-20,2000-09-19,Yes,Yes,No,Waste/Used Oil,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
7000301,,2000029,Yes,DCFD ENGINE CO. #30,50 49TH ST NE,,Washington DC,20019,,DC,3,Other,,,38.89069348,-76.9334321,Geocoded address,No further action,1999-11-10,2004-09-24,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
7000160,,2000030,Yes,DC TRANSFER STATION,3200 BENNING RD NE,,Washington DC,20019,,DC,3,Other,,,38.90123093,-76.9568377,Geocoded address,No further action,1999-11-12,2009-01-23,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000601,,2000031,Yes,RANDALL BUILDING,"1ST & I ST SW
820 HALF ST SW
65 I ST SW",,Washington DC,20024,,DC,3,Other,,,38.87986706,-77.01140174,Geocoded address,No further action,1999-11-09,2010-01-29,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
8000307,,2000032,Yes,DCFD TRAINING ACADEMY,4600 SHEPHERD PW SW,,Washington DC,20032,,DC,3,Other,,,38.82053453,-77.01608052,Geocoded address,Active: general,1999-11-08,,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
3000302,,2000033,Yes,DCFD ENGINE CO. #31,4930 CONNECTICUT AV NW,,Washington DC,20008,,DC,3,Other,,,38.95424021,-77.06991021,Geocoded address,No further action,1999-10-21,2010-03-16,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
4000293,,2000034,Yes,DCFD ENGINE CO. #22,5760 GEORGIA AV NW,,Washington DC,20011,,DC,3,Other,,,38.95998108,-77.0283388,Geocoded address,No further action,1999-10-28,2004-09-24,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
3000596,,2000035,Yes,DPW-FMA 2ND DISTRICT FUEL SITE,3320 IDAHO AV NW,,Washington DC,20016,,DC,3,Retail fuel sales (non-marina),,,38.93484583,-77.07483805,,No further action,1999-11-01,2014-08-14,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
4000560,,2000039,Yes,MOBIL,5001 GEORGIA AV NW,,Washington DC,20011,,DC,3,Retail fuel sales (non-marina),,,38.9510535,-77.02690888,Geocoded address,No further action,2000-03-09,2010-06-19,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000708,,2000041,Yes,WELLS FARGO ALARM SERVICES,35 K ST NE,,Washington DC,20002,,DC,3,Other,,,38.90210674,-77.00699367,Geocoded address,No further action,2000-03-07,2000-03-27,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5003597,,2000042,Yes,MCI D/B/A VERIZON BUSINESS,1845 4TH ST NE,,Washington DC,20002,,DC,3,Utility,,,38.91510662,-77.00011358,,No further action,2000-03-27,2000-09-28,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2002623,,2000045,Yes,INVESTMENT BUILDING,"1511 K ST NW 
SUITE 1100",,Washington DC,20005,,DC,3,Commercial,,,38.90279112,-77.03528123,Geocoded address,No further action,2000-01-24,2000-06-29,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
456,,2000048,Yes,FORMER F. L. WATKINS COMPANY INC,4301 SHERIFF RD NE,,Washington DC,20019,,DC,3,Other,,,38.90286,-76.94033,Geocoded address,No further action,2000-08-03,2001-06-15,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2006013,,2000049,Yes,"Development Resources, Inc.",800 8TH ST NW,,Washington DC,20001,,DC,3,Commercial,,,38.90005,-77.0232,Geocoded address,No further action,2000-06-29,2000-10-30,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
367,,2000050,Yes,EAGLE TRUCK & TRAILER RENTAL,1936 MONTANA AV NE,,Washington DC,20002,,DC,3,Commercial,,,38.91584292,-76.97639493,Geocoded address,No further action,2000-07-10,2000-12-15,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000449,,2000053,Yes,DHCD WAREHOUSE,59 M ST NE,,Washington DC,20002,,DC,3,Commercial,,,38.90536969,-77.00650896,Geocoded address,No further action,2000-08-21,2006-06-30,Yes,Yes,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5001403,,2000055,Yes,BEITZEL & COMPANY INC,707 EDGEWOOD ST NE,,Washington DC,20018,,DC,3,Commercial,,,38.92418297,-76.9955967,Geocoded address,No further action,2000-08-03,2001-03-15,Yes,No,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
13,,2000058,Yes,CARRYOUT,2921 GEORGIA AV NW,,Washington DC,20001,,DC,3,Commercial,,,38.92801397,-77.02274749,Geocoded address,No further action,2000-09-25,2000-09-25,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000717,,2001057,Yes,WOODWARD & LOTHROP INC.,131 M ST NE,,Washington DC,20002,,DC,3,Industrial,,,38.9051642,-77.00466741,Geocoded address,No further action,2001-05-17,2007-07-11,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000019,,2000059,Yes,AMOCO OIL CO S/S #84660 (#89020),1617 14TH ST NW,,Washington DC,20009,,DC,3,Retail fuel sales (non-marina),,,38.9117378,-77.03168388,Geocoded address,No further action,2000-08-16,2009-03-10,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
4000375,,2001004,Yes,GEORGIA AVENUE EXXON,5230 GEORGIA AV NW,,Washington DC,20011,,DC,3,Retail fuel sales (non-marina),,,38.95377321,-77.02796069,Geocoded address,No further action,2000-07-25,2006-09-29,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2002879,,2001005,Yes,FIRST BAPTIST CHURCH,1328 16TH ST NW,,Washington DC,20036,,DC,3,Other,,,38.90846296,-77.03731416,Geocoded address,No further action,2000-10-01,2001-04-23,Yes,No,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
4000650,,2001006,Yes,SHELL GEORGIA AVENUE,4140 GEORGIA AV NW,,Washington DC,20011,,DC,3,Retail fuel sales (non-marina),,,38.94140469,-77.0258919,,Active: general,2000-01-24,,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Tank,Unknown,,,,,,,,,,,,,,No
8000305,,2001010,Yes,DCFD ENGINE CO. #33 (TO BE OPEN),101 ATLANTIC ST SE,,Washington DC,20032,,DC,3,Other,,,38.83089499,-77.00514742,Geocoded address,No further action,2000-11-21,2004-09-27,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000284,,2001011,Yes,DCFD ENGINE CO. #13,450 6TH ST SW,,Washington DC,20024,,DC,3,Other,,,38.88360638,-77.01939265,Geocoded address,No further action,2000-11-21,2008-08-19,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
8000590,,2001012,Yes,MPD TRAINING ACADEMY,4665 BLUE PLAINS DR SW,,Washington DC,20032,,DC,3,Other,,,38.82150222,-77.01319851,Geocoded address,No further action,2000-11-21,2019-11-20,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5000097,,2001016,Yes,NEW YORK AVENUE SHELL,1231 NEW YORK AV NE,,Washington DC,20002,,DC,3,Retail fuel sales (non-marina),,,38.91405686,-76.98858334,Geocoded address,No further action,2001-01-17,2007-02-15,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000101,,2001017,Yes,SID'S AUTO REPAIR SHOP,2018 12TH ST NW,,Washington DC,20009,,DC,3,Auto dealership/auto maintenance & repair,,,38.91754,-77.02811,Geocoded address,No further action,2001-01-25,2001-05-02,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
6000730,,2001018,Yes,ANACOSTIA FOOD & FUEL LLC,2305 PENNSYLVANIA AV SE,,Washington DC,20020,,DC,3,Retail fuel sales (non-marina),,,38.87421,-76.97344,,No further action,2001-01-31,2009-05-05,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2004146,,2001019,Yes,EAST BANC INC,3320 M ST NW,,Washington DC,20007,,DC,3,Residential,,,38.9049308,-77.06664621,Geocoded address,No further action,2000-06-07,2001-03-05,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
7000624,,2001022,Yes,SOBY INC,1329 KENILWORTH AV NE,,Washington DC,20019,,DC,3,Retail fuel sales (non-marina),,,38.90818104,-76.93697125,,No further action,2001-03-09,2008-10-22,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
5000358,,2001023,Yes,EXXON S/S #2-8038,5 Q ST NW,,Washington DC,20001,,DC,3,Retail fuel sales (non-marina),,,38.91114,-77.01028,Geocoded address,No further action,2001-03-14,2002-02-15,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
4000656,,2001024,Yes,PINEY BRANCH SHELL,6419 GEORGIA AV NW,,Washington DC,20011,,DC,3,Retail fuel sales (non-marina),,,38.96811547,-77.02705218,Geocoded address,No further action,2001-03-16,2011-09-30,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2001035,,2001031,Yes,LOT 870,400 MASSACHUSETTS AV NW,,Washington DC,20001,,DC,3,Unknown,,,38.90009903,-77.0168803,Geocoded address,No further action,2001-03-30,2001-05-01,Yes,No,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
6000651,,2001032,Yes,PENNSYLVANIA AVENUE SHELL,2501 PENNSYLVANIA AV SE,,Washington DC,20003,,DC,3,Retail fuel sales (non-marina),,,38.87298267,-76.97058808,Geocoded address,No further action,2001-03-28,2011-11-08,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
7000614,,2001034,Yes,NORTHEAST CROWN,4200 N H BURROUGHS AV NE,,Washington DC,20019,,DC,3,Retail fuel sales (non-marina),,,38.90202252,-76.94192704,Geocoded address,No further action,2001-03-29,2007-02-15,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
8000002,,2001035,Yes,ANACOSTIA PAVILLION ANNEX D-5,"1900 ANACOSTIA DR SE 
ANACOSTIA PARK",,Washington DC,20020,,DC,3,Other,,,38.87799829,-76.96991251,Geocoded address,No further action,2001-04-19,2003-07-02,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000481,,2001036,Yes,OFFICE BUILDING,1200 UPSHUR ST NW,,Washington DC,20012,,DC,3,Commercial,,,38.94157854,-77.02714985,Geocoded address,No further action,2001-04-03,2001-11-29,Yes,Yes,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
4002407,,2001037,Yes,PENN BOWLING CENTER,1207 TAYLOR ST NW,,Washington DC,20016,,DC,3,Commercial,,,38.94110639,-77.02724783,Geocoded address,No further action,2001-04-05,2001-09-28,Yes,Yes,No,Heating/fuel oil # unknown,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
9000262,,2001040,Yes,GALLAUDET UNIV - LRC ANNEX,800 FLORIDA AV NE,,Washington DC,20002,,DC,3,School,,,38.90575333,-76.99488464,Geocoded address,No further action,2001-04-26,2011-01-13,Yes,No,No,Diesel fuel (b-unknown),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
2000717,,2001043,Yes,WOODWARD & LOTHROP INC.,131 M ST NE,,Washington DC,20002,,DC,3,Industrial,,,38.9051642,-77.00466741,Geocoded address,No further action,2001-06-05,2002-02-13,Yes,No,No,Gasoline (unknown type),,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,No
