FACILITYID,FacilityName,OwnerType,FacilityType1,FacilityType2,FacilityAddress1,FacilityAddress2,FacilityCity,FacilityCounty,FacilityZipCode,FacilityState,FacilityEPARegion,FacilityTribalSite,FacilityTribe,FacilityLatitude,FacilityLongitude,FacilityCoordinateSource,FacilityOwnerCompanyName,FacilityOperatorCompanyName,FinancialResponsibilityObtained,FinancialResponsibilityBondRatingTest,FinancialResponsibilityCommercialInsurance,FinancialResponsibilityGuarantee,FinancialResponsibilityLetterOfCredit,FinancialResponsibilityLocalGovernmentFinancialTest,FinancialResponsibilityRiskRetentionGroup,FinancialResponsibilitySelfInsuranceFinancialTest,FinancialResponsibilityStateFund,FinancialResponsibilitySuretyBond,FinancialResponsibilityTrustFund,FinancialResponsibilityOtherMethod,USTReportedRelease,AssociatedLUSTID
3000545,NAVAL SECURITY STATION,Federal Government - Non Military,Other,,3801 NEBRASKA AV NW,,Washington DC,,20016,DC,3,,,38.93954423,-77.08431934,Geocoded address,NAVAL SECURITY STATION,,Yes,No,No,No,No,No,No,Yes,No,No,No,Other Finance,No,
2000666,NATIONAL AIR & SPACE MUSHUM,Federal Government - Non Military,Other,,7TH & INDEPENDENCE AV SW,,Washington DC,,20024,DC,3,,,38.88756287,-77.02191568,Geocoded address,SMITHSONIAN INSTITUTION (NASM),,No,No,No,No,No,No,No,No,No,No,No,,No,
2000667,NATIONAL MUSEUM NATURAL HISTORY,Federal Government - Non Military,Other,,10TH & CONSTITUTION AV NW,,Washington DC,,20001,DC,3,,,38.89208194,-77.02599044,,SMITHSONIAN INSTITUTION - OFF FAC MGMT & RELIABTY,,Yes,No,No,No,No,No,No,Yes,No,No,No,Other Finance,Yes,93018.0
2000668,SOUTH QUADRANGLE,Federal Government - Non Military,Other,,1100 INDEPENDENCE AV SW,,Washington DC,,20560,DC,3,,,38.88755,-77.02657,,SMITHSONIAN INSTITUTION - OFF FAC MGMT & RELIABTY,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
2000669,NATIONAL MUSEUM AMERICA HIST.,Federal Government - Non Military,Other,,12TH & CONSTITUTION AV NW,,Washington DC,,20001,DC,3,,,38.89208539,-77.02813741,,SMITHSONIAN INSTITUTION - OFF FAC MGMT & RELIABTY,,Yes,No,No,No,No,No,No,Yes,No,No,No,Other Finance,No,
3000670,SMITHSONIAN NAT ZOOLOGICAL PARK,Federal Government - Non Military,Other,,"3001 CONNECTICUT AV NW
OFFICE OF FACILITIES MANAGEMENT",,Washington DC,,20008,DC,3,,,38.93060711,-77.05437784,Geocoded address,SMITHSONIAN INSTITUTION - OFF FAC MGMT & RELIABTY,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2019016.0
9000616,NATIONAL MUSEUM OF THE AMERICAN INDIAN,Federal Government - Non Military,Other,,300 MARYLAND AV SW,,Washington DC,,20032,DC,3,,,38.88817,-77.01522,,SMITHSONIAN INSTITUTION - OFF FAC MGMT & RELIABTY,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2003126.0
4000631,SOLDIER'S & AIRMEN'S HOME NAT'L,Military,Other,,CEMETERY-21 HAREWOOD RD NW,,Washington DC,,20011,DC,3,,,38.94258,-77.0085,Geocoded address,SOLDIER'S & AIRMEN'S HOME NAT'L,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
2000175,US COMMERCE DEPARTMENT,Federal Government - Non Military,Other,,1401 CONSTITUTION AV NW,,Washington DC,,20230,DC,3,,,38.89293,-77.03271,Geocoded address,US COMMERCE DEPARTMENT,,Yes,No,No,No,No,No,No,Yes,No,No,No,Other Finance,No,
2000700,U.S. GOVERNMENT PRINTING OFFICE,Military,Other,,N CAPITOL & H ST NW,,Washington DC,,20401,DC,3,,,38.90020788,-77.00906326,Geocoded address,U.S. GOVERNMENT PRINTING OFFICE,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,90024.0
2000558,WASHINGTON NAVY YARD,Military,Other,,"UBLIC WORKS DEPT WASH
1008 EBERLE PL SE
BLDG 220, SUITE 318",,Washington DC,,20376,DC,3,,,38.87361,-76.99557,Geocoded address,NAVAL FACILITIES ENGINEERING COMMAND WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2003034.0
8000564,NAVAL ANACOSTIA - BLDG A351,Military,Other,,SOUTH CAPITOL ST SW,,Washington DC,,20374,DC,3,,,38.87503,-76.99664,Geocoded address,NAVAL FACILITIES ENGINEERING COMMAND WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,96029.0
8000565,NAVAL ANACOSTIA - BLDG A352,Military,Other,,SOUTH CAPITOL ST SW,,Washington DC,,20374,DC,3,,,38.87503,-76.99664,Geocoded address,NAVAL FACILITIES ENGINEERING COMMAND WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,93036.0
8000566,NAVAL ANACOSTIA - BLDG A353,Military,Other,,SOUTH CAPITOL ST SW,,Washington DC,,20374,DC,3,,,38.87503,-76.99664,Geocoded address,NAVAL FACILITIES ENGINEERING COMMAND WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,93035.0
8000568,NAVAL ANACOSTIA - BLDG A355,Military,Other,,SOUTH CAPITOL ST SW,,Washington DC,,20374,DC,3,,,38.87503,-76.99664,Geocoded address,NAVAL FACILITIES ENGINEERING COMMAND WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,96014.0
8000569,NAVAL ANACOSTIA - BLDG A356,Military,Other,,SOUTH CAPITOL ST SW,,Washington DC,,20374,DC,3,,,38.87503,-76.99664,Geocoded address,NAVAL FACILITIES ENGINEERING COMMAND WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,96023.0
9000512,NAVAL ANACOSTIA - BLDG A095,Military,Other,,2701 S CAPITOL ST SE,,Washington DC,,20373,DC,3,,,38.85899,-77.01204,Geocoded address,NAVAL FACILITIES ENGINEERING COMMAND WASHINGTON,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2001052.0
8000558,NAVAL ANACOSTIA - BLDG A037,Military,Other,,SOUTH CAPITOL ST SW,,Washington DC,,20374,DC,3,,,38.87503,-76.99664,Geocoded address,NAVAL FACILITIES ENGINEERING COMMAND WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,93038.0
8000559,NAVAL ANACOSTIA - BLDG A044,Military,Other,,SOUTH CAPITOL ST SW,,Washington DC,,20374,DC,3,,,38.87503,-76.99664,Geocoded address,NAVAL FACILITIES ENGINEERING COMMAND WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
8000560,NAVAL ANACOSTIA - BLDG A075,Military,Other,,SOUTH CAPITOL ST SW,,Washington DC,,20374,DC,3,,,38.87503,-76.99664,Geocoded address,NAVAL FACILITIES ENGINEERING COMMAND WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,93037.0
8000562,NAVAL ANACOSTIA - BLDG A155,Military,Other,,SOUTH CAPITOL ST SW,,Washington DC,,20374,DC,3,,,38.87503,-76.99664,Geocoded address,NAVAL FACILITIES ENGINEERING COMMAND WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,94077.0
9000244,NAVAL ANACOSTIA - BUILDING A-073,Military,Other,,2701 SOUTH CAPITOL ST SE,,Washington DC,,20374,DC,3,,,38.85899,-77.01204,Geocoded address,NAVAL FACILITIES ENGINEERING COMMAND WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,89021.0
4000694,FUEL SERVICES BUILDING,Federal Government - Non Military,Other,,"3700 N CAPITOL ST, NW",,Washington DC,,20317,DC,3,,,38.93654783,-77.00695403,Geocoded address,U.S. SOLDIERS' & AIRMEN'S HOME,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,90070.0
4000695,KING HEALTH CENTER-PIPES BLDG,Federal Government - Non Military,Other,,3700 N CAPITOL ST NW,,Washington DC,,20011,DC,3,,,38.93654783,-77.00695403,Geocoded address,U.S. SOLDIERS' & AIRMEN'S HOME,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
4000696,SHERIDAN BUILDING,Federal Government - Non Military,Other,,3700 N CAPITOL ST NW,,Washington DC,,20011,DC,3,,,38.93654783,-77.00695403,Geocoded address,U.S. SOLDIERS' & AIRMEN'S HOME,,No,No,No,No,No,No,No,No,No,No,No,,No,
9000608,DC DPW,Local Government,Other,,2200 ADAMS PL NE,,Washington DC,,20018,DC,3,,,38.91927735,-76.97552445,Geocoded address,DEPARTMENT OF PUBLIC WORKS,,No,No,No,No,No,No,No,No,No,No,No,,No,
4000697,AUTO CRAFT SHOP,Federal Government - Non Military,Other,,3700 N CAPITOL ST NW,,Washington DC,,20011,DC,3,,,38.93654783,-77.00695403,Geocoded address,U.S. SOLDIERS' & AIRMEN'S HOME,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
4000698,SAFETY OFFICER (SUPPLY MGMT BCH),Federal Government - Non Military,Other,,3700 N CAPITOL ST NW,,Washington DC,,20011,DC,3,,,38.93654783,-77.00695403,Geocoded address,U.S. SOLDIERS' & AIRMEN'S HOME,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
4000699,LAGARDE BUILDING,Federal Government - Non Military,Other,,3700 N CAPITOL ST NW,,Washington DC,,20317,DC,3,,,38.93654783,-77.00695403,Geocoded address,U.S. SOLDIERS' & AIRMEN'S HOME,,Yes,No,No,No,No,No,No,Yes,No,No,Yes,,No,
4000700,BARNES BUILDING  #40B,Federal Government - Non Military,Other,,3700 N CAPITOL ST NW,,Washington DC,,20317,DC,3,,,38.93654783,-77.00695403,Geocoded address,U.S. SOLDIERS' & AIRMEN'S HOME,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
4000701,COLD STORAGE WAREHOUSE,Federal Government - Non Military,Other,,"CONSOLIDATED SUPPLY MGMT
3700 N CAPITOL ST NW",,Washington DC,,20317,DC,3,,,38.93654783,-77.00695403,Geocoded address,U.S. SOLDIERS' & AIRMEN'S HOME,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
4010007,AFRH HEAT PLANT - BLDG 46,Federal Government - Non Military,Other,,3700 N CAPITOL ST NW,,Washington DC,,20011,DC,3,,,38.93654783,-77.00695403,,U.S. SOLDIERS' & AIRMEN'S HOME,,No,No,No,No,No,No,No,No,No,No,No,,Yes,2018010.0
8000054,USAF AUTO HOBBY SHOP BLDG. 8,Military,Other,,1100 ABG/SSRAH,,Washington DC,,20332,DC,3,,,,,,U.S.A. AIR FORCE,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,93085.0
5000540,U.S. NATIONAL ARBORETUM - SHOPS,Federal Government - Non Military,Other,,3501 NEW YORK AV NE,,Washington DC,,20002,DC,3,,,38.91240276,-76.96989039,,US NATIONAL ARBORETUM,KEVIN TUNISON,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2016011.0
5000541,U.S. NAT ARBORETUM - BRICK YARD,Federal Government - Non Military,Other,,3501 NEW YORK AV NE,,Washington DC,,20002,DC,3,,,38.91240276,-76.96989039,Geocoded address,US NATIONAL ARBORETUM,,No,No,No,No,No,No,No,No,No,No,No,,Yes,91023.0
3000544,U.S. NAVAL OBSERVATORY,Military,Other,,34TH & MASSACHUSETTS AV NW,,Washington DC,,20007,DC,3,,,38.92457,-77.06757,Geocoded address,U.S.NAVAL OBSERVATORY.,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,92005.0
8000052,JBAB - USAF BLDG. 365 ,Military,Other,,365 CUDAHEY ST SW,,Washington DC,,20332,DC,3,,,,,,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2002019.0
8000053,USAF DIAC JBAB  (BLDG 6000),Military,Other,,1100 CES/DEEV,,Washington DC,,20332,DC,3,,,,,,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,2022007.0
8000055,USAF CAR CARE CENTER BLDG. 41,Military,Other,,AAFES,,Washington DC,,20332,DC,3,,,,,,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,90011.0
8000056,JBAB - USAF MARINA ,Military,Other,,1100 ABG/MWRM,,Washington DC,,20332,DC,3,,,,,,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
8000057,USAF VEHICLE MAINT BLDG.362,Military,Other,,OLAA 1776 SUPS/LHSB,,Washington DC,,20332,DC,3,,,,,,11TH WING AIR FORCE DISTRICT WASHINGTON,JOSEPH CARPENTER,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,93083.0
8000062,USAF BUILDING 4578,Military,Other,,"AAFES SERVICE STATION 
BOLLING AFB",,Washington DC,,20332,DC,3,,,,,,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,94032.0
8000119,USAF COMMAND POST BLDG P-20,Military,Other,,20 MCDILL BV,,Washington DC,,20332,DC,3,,,38.84555336,-77.00952389,,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
9000227,USAF BLDG 928,Military,Other,,USAF BLDG 928,,Washington DC,,20332,DC,3,,,38.84513,-77.01445,Geocoded address,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
9000621,USAF - BLDG 371,Military,Other,,371 BROOKLEY AV,,Washington DC,,20032,DC,3,,,38.8534858,-77.00741333,Geocoded address,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
9000835,JBAB - BLDG 485 (GSA),Federal Government - Non Military,Other,,"ANACOSTIA NAVAL STATION
MURRAY LANE",,Washington DC,,20223,DC,3,,,38.85035,-77.01472,,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,92040.0
8000116,USAF ABONADONED QTR MASTER GAS S,Military,Other,,SOUTH OF BLDG 18,,Washington DC,,20032,DC,3,,,38.81847,-77.02314,Geocoded address,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,94031.0
8000117,USAF FORMER AV GAS TANK FARM,Military,Other,,BET BLDGS 3 AND 8,,Washington DC,,20032,DC,3,,,38.90431,-77.04795,Geocoded address,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,94030.0
8000118,JBAB - BLDG 1311- AUTOPRIDE,Federal Government - Non Military,Other,,"BLDG 1311
1311 CHAPPIE JAMES BV",,Washington DC,,20332,DC,3,,,38.89767,-77.03653,Geocoded address,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
8000570,JBAB - BLDG A398,Military,Other,,SOUTH CAPITOL ST SW,,Washington DC,,20373,DC,3,,,38.84074,-77.00892,,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,91060.0
8000571,JBAB - BLDG # A399,Military,Other,,2700 SOUTH CAPITOL ST SE,,Washington DC,,20032,DC,3,,,38.85855357,-77.00402089,Geocoded address,11TH WING AIR FORCE DISTRICT WASHINGTON,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
5000694,FAIRVIEW STATION,Federal Government - Non Military,Other,,"2021 FAIRVIEW AV NW 
2020 FAIRVIEW AV NW",,Washington DC,,20002,DC,3,,,38.91346,-76.98932,Geocoded address,UNITED STATES POSTAL SERVICE,,No,No,No,No,No,No,No,No,No,No,No,,Yes,90037.0
2000692,USPS SOUTHWEST STATION,Federal Government - Non Military,Other,,45 L ST SW,,Washington DC,,20024,DC,3,,,38.87803927,-77.0103466,Geocoded address,UNITED STATES POSTAL SERVICE.,,Yes,No,No,No,No,No,No,Yes,No,No,No,,No,
4000691,USPS BRIGHTWOOD VEHICLE MAINT,Federal Government - Non Military,Commercial,,6318 CHILLUM PL NW,,Washington DC,,20011,DC,3,,,38.9670966,-77.01226162,Geocoded address,UNITED STATES POSTAL SERVICE.,GORDON LYONS,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,92086.0
3000689,USPS FRIENDSHIP STATION,Federal Government - Non Military,Other,,4005 WISCONSIN AV NW,,Washington DC,,20016,DC,3,,,38.94171699,-77.07569527,Geocoded address,UNITED STATES POSTAL SERVICE.,,No,No,No,No,No,No,No,No,No,No,No,,Yes,90068.0
5000688,CURSEEN & MORRIS P&DC USPS,Federal Government - Non Military,Other,,900 BRENTWOOD RD NE,,Washington DC,,20018,DC,3,,,38.91731628,-76.99548654,Geocoded address,UNITED STATES POSTAL SERVICE.,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,91062.0
5000699,USPS VEHICLE MAINT FACILITY,Federal Government - Non Military,Other,,980 V ST NE,,Washington DC,,20018,DC,3,,,38.91822483,-76.99044841,Geocoded address,UNITED STATES POSTAL SERVICE.,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,93013.0
4000719,VETERANS ADMIN MEDICAL CENTER,Federal Government - Non Military,Other,,50 IRVING ST NW,,Washington DC,,20422,DC,3,,,38.92939338,-77.01119215,Geocoded address,VETERANS ADMIN MEDICAL CENTER,,Yes,No,No,No,No,No,No,Yes,No,No,No,,Yes,92013.0
