FacilityID,FacilityIdimport,Owner ID,AltFacilityID,Facility Name,Street Address,ZIP Linkage,ZIP+4,Phone,Authorized Representative,Title,FormDate,Facility Description,Clerk,Date of Entry,FacilityStatus,LUSTSummaryStatus,SupplementalLocationText,Fax,SOCDeficiency,LUSTRankingScore,Hawaii Common Identifier,FacilityRegistryIdentifier,TaxMapKey,FormReceivedDate,DataCollectionDate,LatitudeMeasure,LongitudeMeasure,HorizontalReferenceDatumName,GeometricTypeName,HorizontalCollectionMethodName,HorizontalAccuracyMeasuremeters,GeographicReferencePointName,LocationCommentsText,ProjectOfficer,GPSSource,ComplianceStatus,LastInspectionDate,USTStatus,UST97FacilityId
9100031,9100031,1552.0,9-100031,KSC SERVICE L-4210,2295 N KING ST,57591.0,,,HAROLD TAKARA,MAINTENANCE SUPV.,,Gas Station,jnagashima,2011-04-07 07:30:11,Closed,Site Cleanup Completed (NFA),,,,,,110013772033.0,,1996-01-02,2009-04-20,21.335797,-157.882257,NAD83,Area,Address Matching,,,,Eric Sadoyama,,No Visits,,,9100031
9100032,9100032,2483.0,9-100032,76 Burt's Service #115,1342 N SCHOOL ST,57589.0,,(808) 841-6711,Patrick Iona,"Manager, EH&S",2020-01-08,Gas Station,Timothy.Ugaitafa,2024-07-11 10:01:39,Operating,Site Cleanup Completed with EHE,,(808) 841-8337,,,,110005729319.0,160150080000,2020-01-10,2009-02-06,21.33218,-157.86595,NAD83,Point,GPS,8.0,Underground Storage Tank,,Richard Takaba,,Closed,5/30/2024,,9100032
9100035,9100035,2483.0,9-100035,76 Don's Makiki #111,1406 S BERETANIA ST,57586.0,,(808) 942-7676,Patrick Iona,"Manager, EH&S",2020-08-04,Gas Station,Timothy.Ugaitafa,2024-07-11 09:36:24,Operating,Site Cleanup Completed with EHMP,,(808) 941-7622,,,,110013782335.0,24010005,2020-08-19,2009-02-06,21.30021,-157.83882,NAD83,Point,GPS,8.0,Underground Storage Tank,,Shunsheng Fu,,Closed,5/30/2024,,9100035
9100036,9100036,1552.0,9-100036,KYLE'S SERVICE STA. L-0995,2550 S BERETANIA ST,57598.0,,,HAROLD TAKARA,MAINTENANCE SUPV.,,Gas Station,jnagashima,2011-04-07 09:56:59,Closed,Site Cleanup Completed (NFA),,,,,,110005728203.0,,1991-07-02,2009-04-20,21.292552,-157.822523,NAD83,Area,Address Matching,,,,Eric Sadoyama,,No Visits,,,9100036
9100037,9100037,2187.0,9-100037,ALA MOANA UNOCAL,1322 KAPIOLANI BLVD,57586.0,,,HAROLD TAKARA,MAINTENANCE SUPV.,1986-03-26,Not Listed,jnagashima,2011-04-07 07:43:53,Closed,Site Cleanup Completed (NFA),,,,,,110005728123.0,,1991-07-22,2009-04-20,21.294744,-157.845759,NAD83,Area,Address Matching,,,,Eric Sadoyama,,No Visits,,,9100037
9100038,9100038,1552.0,9-100038,MARK'S PIIKOI SERVICE L-3667,1180 S KING ST,57586.0,,,HAROLD TAKARA,MAINTENANCE ENGINEER,1993-09-16,Not Listed,jnagashima,2011-04-07 12:00:31,Closed,Site Cleanup Completed (NFA),,,,,,110014047806.0,,1993-08-17,2009-04-20,21.300098,-157.844314,NAD83,Area,Address Matching,,,,Shaobin Li,,No Visits,,,9100038
9100039,9100039,2483.0,9-100039,Mid Pac Petroleim 253923  (prev: TANABE'S SERVICE L-3923.  ),2809 E MANOA RD,57594.0,,(808) 988-3300,Art Camara,Construction and Maintenance Manager,2011-08-16,Gas Station,nicole.okino,2019-11-06 13:54:24,Closed,Site Cleanup Completed (NFA),,(808) 988-1432,,,,110013778171.0,,2011-08-16,2011-04-01,21.308777,-157.812078,NAD83,Area,Address Matching,,,From LUST4,Shunsheng Fu,,Closed,12/9/2011,,9100039
9100040,9100040,2483.0,9-100040,HELE Academy CK #110,882 S BERETANIA ST,57585.0,,(808) 536-1625,Janet Garcia,"EHS Coordinator, Retail",2023-09-12,Gas Station,roxanne.kwan,2023-11-17 14:34:07,Operating,Suspected release,,(808) 536-1591,,,,110013785449.0,21041028,2023-10-17,2009-04-20,21.304105,-157.849669,NAD83,Area,Address Matching,,,, suspected,,Closed,5/9/2023,,9100040
9100041,9100041,2483.0,9-100041,Mid Pac Petroleum 253943 (prev: LIONEL'S UNOCAL),1505 S. KING ST.,57598.0,,(808) 941-6061,John Grimmer,"Director, EHS and Security",2004-09-27,Gas Station,jnagashima,2011-04-07 07:44:33,Closed,Site Cleanup Completed (NFA),,,,,,110013771356.0,,2004-09-27,2009-04-20,21.297313,-157.837634,NAD83,Area,Address Matching,,,,Shunsheng Fu,,Closed,6/21/2006,,9100041
9100042,9100042,1552.0,9-100042,TOM ISHII'S UNION L-4462,2114 S KING ST,57598.0,,,HAROLD TAKARA,MAINTENANCE SUPV.,,Not Listed,jnagashima,2011-04-06 15:32:46,Operating,Site Cleanup Completed (NFA),,,,,,110014047931.0,,1993-08-23,2009-04-20,21.294216,-157.827884,NAD83,Area,Address Matching,,,,Shaobin Li,,No Visits,,,9100042
9100043,9100043,2483.0,9-100043,76 Harding Service #118,3608 HARDING AVE,57588.0,,(808) 735-2421,Janet Garcia,"EHS Coordinator, Retail",2022-12-22,Gas Station,yongkeng.liu,2024-12-02 10:51:17,Operating,Site Cleanup Completed (NFA),,(808) 735-2423,,,,110013789196.0,32006001,2023-01-13,1995-08-24,21.28107,-157.799513,NAD83,Point,GPS,10.0,Underground Storage Tank,4/23/2008 - verified info via map/RI,Shaobin Li,,Closed,11/26/2024,,9100043
9100044,9100044,1552.0,9-100044,SERAI'S UNION SERVICE L-4922,3011 WAIALAE AVE,57588.0,,,HAROLD TAKARA,MAINTENANCE SUPV.,,Not Listed,jnagashima,2011-04-06 11:48:12,Operating,Site Cleanup Completed (NFA),,,,,,110005728212.0,,1992-08-05,2009-04-20,21.288869,-157.812376,NAD83,Area,Address Matching,,,,Shunsheng Fu,,No Visits,,,9100044
9100234,9100234,412.0,9-100234,HAWAII FOOD PRODUCTS,94-403 UKEA ST,57571.0,,,HARRY CHOY,MTC MANAGER,1986-03-20,Not Listed,EJS,1996-02-27 00:00:00,Closed,,,,,,,110014053941.0,,1986-12-29,,,,,,,,,,,,No Visits,,,9100234
9100045,9100045,2446.0,9-100045,76 Niu Valley 7-11 #128,565 HALEMAUMAU ST,57593.0,,(808) 373-7112,Patrick Iona,"Manager, EH&S",2019-09-10,Gas Station,Timothy.Ugaitafa,2023-02-24 10:53:10,Operating,Site Cleanup Completed (NFA),,,,,,110005728276.0,37010070,2019-09-12,2008-11-17,21.28282,-157.73514,NAD83,Point,GPS,7.0,Underground Storage Tank,,Shaobin Li,,Closed,2/22/2023,,9100045
9100046,9100046,2483.0,9-100046,76 Koko Marina #120,234 LUNALILO HOME RD,57597.0,,(808) 395-2133,Janet Garcia,"Coordinator, EH&S",2023-06-02,Gas Station,roy.ilaga,2023-06-09 09:50:10,Operating,Site Cleanup Completed (NFA),,(808) 395-3972,,,,110005723823.0,390480070000,2023-06-05,1997-01-15,21.278107,-157.703587,NAD83,Point,GPS,,,,Shunsheng Fu,,Closed,2/22/2023,,9100046
9100047,9100047,1552.0,9-100047,FUNAI'S UNION SERVICE L-5583,1810 KAPIOLANI BLVD,57585.0,,,CHRIS JANSEN,ENV/PROJ ENGINEER,1991-08-02,Gas Station,jnagashima,2011-04-06 15:34:14,Closed,Site Cleanup Completed (NFA),,,,,,110013781023.0,,1991-08-17,2009-04-20,21.290739,-157.835372,NAD83,Area,Address Matching,,,,Shunsheng Fu,,No Visits,,,9100047
9100048,9100048,1552.0,9-100048,STAN'S UNION SERVICE L-6352,3045 MONSARRAT AVE,57587.0,,,HAROLD TAKARA,MAINTENANCE SUPV.,,Not Listed,jnagashima,2011-04-06 11:39:07,Operating,Site Cleanup Completed (NFA),,,,,,110014048100.0,,1992-08-05,2009-04-20,21.268873,-157.813611,NAD83,Area,Address Matching,,,,Shunsheng Fu,,No Visits,,,9100048
9100049,9100049,34.0,9-100049,ALOHA MANOA,3001 E MANOA RD,57594.0,,(808) 988-5111,Greg McCartney,Environmental Health & Safety Manager,2019-05-23,Gas Station,roxanne.kwan,2024-12-11 16:01:03,Operating,Monitored Natural Attenuation,,(808) 988-5111,,0.0,,110013785136.0,1-2-9-074-065,2019-05-23,2008-10-14,21.31076,-157.80832,NAD83,Point,GPS,12.0,Underground Storage Tank,,Michelle Liu,,Closed,5/14/2024,,9100049
9100051,9100051,379.0,9-100051,KAPALAMA MILITARY RESERVATION,"SAND ISLAND ACCESS RD, BLDG 935",57591.0,,,HARLAN HASHIMOTO,ENVIRONMENTAL ADMINISTRATOR,1997-03-12,Utilities,CCLARK,1997-04-17 15:23:54,Closed,,,,,,,110006863983.0,,1997-03-12,,,,,,,,,,,,No Visits,,,9100051
9100054,9100054,260.0,9-100054,NAVAL SUBMARINE BASE,BLDG 655 - GALLERY HOT WATER SYS / TANK 28 NIMITZ/PIERCE ST,57623.0,6500.0,(   ) 471-2572,JOHN T. MURAOKA,ENV MANAGER,1996-12-10,Federal Military,rkwan,2000-04-10 16:06:45,Closed,,,,,,,110001127682.0,,1995-06-29,,,,,,,,,,,,No Visits,,,9100054
9100055,9100055,203.0,9-100055,Joint Base Pearl Harbor - Hickam,BLDG 1724   TANK 29 PIERCE/SHANE ST,57623.0,,(808) 471-1171,Aaron Y. Poentis,Regional Environmental Program Director,2019-09-24,Other,roxanne.kwan,2022-08-03 08:56:10,Closed,Confirmed Release,,,,,,110001127682.0,99001008,2019-09-25,2007-11-07,21.356612,-157.940177,NAD83,Point,Map,,Facility Boundary,pls verify information via GPS on the next inspection; may  not be accurate/RI,Richard Takaba,,Closed,5/10/2018,,9100055
9100056,9100056,983.0,9-100056,"Daniel K Inouye International Airport, DOTA Baseyard Facility",2919 AOLELE ST,57591.0,1898.0,(808) 836-6531,David Kaio,Baseyard Superintendent T/A,2016-04-27,State Government,roxanne.kwan,2023-04-04 15:06:22,Operating,Site Cleanup Completed (NFA),"300 Rodgers Blvd, #12,",,,,,110013783281.0,11003001,2016-05-02,1997-12-10,21.331751,-157.905978,NAD83,Point,GPS,,,,Jose Ruiz,,Closed,3/14/2023,,9100056
9100057,9100057,827.0,9-100057,HALE O' PILI (EWA TOWER),155 N BERETANIA ST,57589.0,,,VALERIE MENDES,PRESIDENT,1987-03-18,Not Listed,SUP,1993-06-22 00:00:00,Operating,,,,,,,110014058303.0,,1993-06-07,,,,,,,,,,,,No Visits,,,9100057
9100059,9100059,2244.0,9-100059,HELE King Kalakaua #61018,1549 S KING ST,57598.0,,(808) 973-1269,Janet Garcia,"EHS Coordinator, Retail",2023-05-25,Gas Station,roy.ilaga,2023-06-26 09:26:11,Operating,Site Cleanup Completed (NFA),,(808) 973-1271,,,,110014058312.0,"23025002, 23025019 to 21",2023-05-30,1997-01-17,21.296716,-157.836209,NAD83,Point,GPS,,,,Shunsheng Fu,,Open,4/21/2023,,9100059
9100061,9100061,1291.0,9-100061,HIRI AIRPORT TERMINAL,AOLELE ST,57591.0,,,ROGER GOENNER,MANGER,1993-01-19,Not Listed,rkwan,1998-10-26 10:19:39,Operating,,,,,,,110014048360.0,,1993-01-22,,,,,,,,,,,,No Visits,,,9100061
9100062,9100062,1291.0,9-100062,HIRI HARBOR TERMINAL  (PMID 010103),2 SAND ISLAND ACCESS RD,57591.0,,,RICHARD ROSEN,ENV COMPLIANCE OFFICIER,1998-05-14,Petroleum Distributor,rkwan,2001-05-02 15:15:25,Closed,,,,,,,110014048379.0,,1998-07-27,1997-05-09,21.315695,-157.888859,NAD83,Point,GPS,,,,,,Closed,5/9/1997,,9100062
9100067,9100067,130.0,9-100067,C&CH IWILEI FIRE STATION,840 IWILEI RD,57589.0,,,LIONEL CAMARA,FIRE CHIEF,1992-04-20,Local Government,RKWAN,2004-10-28 16:28:41,Closed,,,,,,,110014048486.0,,1992-05-04,,,,,,,,,,,,No Visits,,,9100067
9100069,9100069,130.0,9-100069,HAWAII KAI FIRE STATION #34,515 LUNALILO HOME RD,57597.0,,(808) 723-7434,"Hank Kaiwi, Jr",Fire Captain,2021-07-27,Fire Station,george.tabil,2024-05-28 15:19:29,Operating,,,,,,,110013789588.0,3-9-051:029,2021-07-30,1997-07-22,21.28628,-157.697147,NAD83,Point,GPS,,,,,,Open,5/28/2024,,9100069
9100071,9100071,130.0,9-100071,CENTRAL FIRE STATION #1,104 S BERETANIA ST.,57585.0,,(808) 536-4340,Hank Kaiwi Jr,Fire Captain,2021-07-27,Fire Station,george.tabil,2024-10-14 11:01:42,Operating,,,,,,,110013779964.0,2-1-009:026,2021-07-30,1997-07-21,21.311237,-157.85902,NAD83,Point,GPS,,,,,,Open,10/10/2024,,9100071
9100074,9100074,130.0,9-100074,C&CH KAKAAKO FIRE DEPT MECHANIC SHOP,620 SOUTH ST,57585.0,,,ATTILO K. LEONARDIO,FIRE CHIEF,2000-01-03,Other,jnagashima,2012-01-04 11:24:16,Closed,Site Cleanup Completed (NFA),,,,,,110014048645.0,,2000-01-05,2011-04-01,21.3023,-157.85934,NAD83,Area,Address Matching,,,From LUST4,Josh Nagashima,,Closed,3/20/1998,,9100074
9100075,9100075,130.0,9-100075,C&CH KAKAAKO FIRE STATION,555 QUEEN ST,57585.0,,,FRANK KAHOOHANOHANO,FIRE CHIEF,1986-09-02,Local Government,jnagashima,2011-04-06 11:37:02,Closed,Site Cleanup Completed (NFA),,,,,,110014048672.0,,1994-05-26,2009-04-20,21.303072,-157.85905,NAD83,Area,Address Matching,,,,Renato Maniulit,,No Visits,,,9100075
9100076,9100076,130.0,9-100076,KAIMUKI FIRE STATION #5,971 KOKO HEAD AVE,57588.0,,(808) 523-4669,MANUEL P.NEVES,FIRE CHIEF,2016-04-27,Fire Station,roxanne.kwan,2023-09-11 22:58:43,Operating,,,,,,,110013789016.0,3-2-036:007,2016-05-17,1997-02-04,21.278616,-157.799313,NAD83,Point,GPS,,,,,,Open,7/25/2023,,9100076
9100078,9100078,130.0,9-100078,KALIHI-KAI FIRE STATION #31,1334 N NIMITZ HWY,57589.0,,(808) 523-4879,Hank Kaiwi Jr,Fire Captain,2021-09-22,Fire Station,roxanne.kwan,2022-12-09 15:27:52,Operating,,Station 31,,,,,110013787018.0,1-5-033:014,2021-10-13,1997-02-04,21.321605,-157.878478,NAD83,Point,GPS,,,,,,Closed,10/31/2022,,9100078
9100079,9100079,130.0,9-100079,C&CH  KALIHI FIRE STATION,1742 N KING ST,57591.0,,,DONALD S.M. CHANG,FIRE CHIEF,1993-12-04,Fire Station,jnagashima,2011-04-07 11:56:03,Closed,Site Cleanup Completed (NFA),,,,,,110014048725.0,,1993-12-20,2009-04-20,21.331372,-157.875958,NAD83,Area,Address Matching,,,,Lene Ichinotsubo,,No Visits,,,9100079
9100080,9100080,130.0,9-100080,C&CH  McCULLY FIRE STATION,2425 DATE ST,57598.0,,(808) 523-4335,ATTILIO K. LEONARDI,FIRE CHIEF,2000-08-15,Fire Station,rkwan,2008-10-20 11:11:15,Closed,Site Cleanup Completed (NFA),,,,,,110013767619.0,,2000-08-28,1997-07-21,21.288098,-157.8251,NAD83,Point,GPS,,,,Roger Brewer,,Closed,4/26/2006,,9100080
9100081,9100081,130.0,9-100081,MAKIKI FIRE STATION #3,1202 WILDER AVE,57594.0,,(808) 523-4284,Hank Kaiwi Jr,Fire Captain,2021-07-27,Fire Station,george.tabil,2024-05-28 15:25:06,Operating,Site Cleanup Completed (NFA),,,,,,110013771524.0,2-4-029:029,2021-07-30,1996-07-03,21.3067,-157.83913,NAD83,Point,GPS,,,,Roger Brewer,,Open,5/28/2024,,9100081
9100083,9100083,130.0,9-100083,KUAKINI FIRE STATION #4,601 N KUAKINI ST,57589.0,,(808) 723-7404,Paul Sugita,Safety Specialist,2017-02-02,Fire Station,yongkeng.liu,2023-09-14 08:12:45,Operating,,,,,,,110013771882.0,1-7-035:039,2017-02-02,2008-07-10,21.32405,-157.85854,NAD83,Point,GPS,27.0,Underground Storage Tank,,,,Closed,9/7/2023,,9100083
9100084,9100084,130.0,9-100084,MOANALUA FIRE STATION #30,2835 ALA ILIMA ST,57590.0,,(808) 723-7430,Hank Kaiwi Jr,Fire Captain,2021-07-27,Fire Station,george.tabil,2024-10-10 13:52:12,Operating,,,,,,,110013765988.0,1-1-063:012,2021-07-30,1997-07-21,21.345086,-157.900775,NAD83,Point,GPS,,,,,,Open,10/10/2024,,9100084
9100086,9100086,130.0,9-100086,C&CH MANOA FIRE STATION,2850 E MANOA RD,57594.0,,,FRANK KAHOOHANOHANO,FIRE CHIEF,1986-09-02,Local Government,jnagashima,2011-04-07 11:37:59,Closed,Site Cleanup Completed (NFA),,,,,,110013771677.0,,1998-06-02,2009-04-20,21.309594,-157.810961,NAD83,Area,Address Matching,,,,Shumin Liu,,No Visits,,,9100086
9100087,9100087,130.0,9-100087,C&CH PAWAA FIRE STATION,1610 MAKALOA ST,57586.0,,,FRANK KAHOOHANOHANO,FIRE CHIEF,1986-09-02,Local Government,jnagashima,2011-04-07 07:26:48,Closed,Site Cleanup Completed (NFA),,,,,,110014048832.0,,1991-01-11,2009-04-20,21.292649,-157.839156,NAD83,Area,Address Matching,,,,Eric Sadoyama,,No Visits,,,9100087
9100088,9100088,130.0,9-100088,C&CH PALOLO FIRE STATION,3345 KIWILI ST,57588.0,,,RICHARDS SETO-MOOK,FIRE CHIEF,1994-06-29,fire station,jnagashima,2011-04-07 12:18:08,Closed,Site Cleanup Completed (NFA),,,,,,110013767815.0,,1994-07-12,2009-04-20,21.2997,-157.794497,NAD83,Area,Address Matching,,,,Steven Okoji,,No Visits,,,9100088
9100089,9100089,130.0,9-100089,NUUANU FIRE STATION #25,115 WYLLIE ST,57589.0,,(808) 523-4225,Reid Yoshida,Assistant Chief,2023-09-20,Fire Station,roxanne.kwan,2023-11-06 11:18:28,Operating,Site Cleanup Completed (NFA),,,,,,110013769190.0,1-8-005:027,2023-09-25,1997-07-25,21.328056,-157.847203,NAD83,Point,GPS,,,,Allison Hutto,,Open,9/7/2023,,9100089
9100097,9100097,130.0,9-100097,C&CH WATERFRONT FIRE STATION,111 N NIMITZ HWY,57589.0,,,LIONEL CAMARA,FIRE CHIEF,1992-04-20,Local Government,jnagashima,2011-04-07 11:52:05,Closed,Site Cleanup Completed (NFA),,,,,,110014049001.0,,1992-05-04,2009-04-20,21.311303,-157.865284,NAD83,Area,Address Matching,,,,Eric Sadoyama,,No Visits,,,9100097
9100100,9100100,130.0,9-100100,WAILUPE FIRE STATION #23,5046 KALANIANAOLE HWY,57593.0,,(808) 373-2738,Hank Kaiwi Jr,Fire Captain,2021-07-27,Fire Station,george.tabil,2024-05-28 15:21:54,Operating,,,,,,,110013775441.0,3-6-009:001,2021-07-30,1997-07-22,21.277219,-157.759701,NAD83,Point,GPS,,,,,,Open,5/28/2024,,9100100
9100101,9100101,130.0,9-100101,WAIKIKI FIRE STATION #7,381 KAPAHULU AVE,57587.0,,(808) 723-7407,Hank Kaiwi Jr,Fire Captain,2021-07-27,Other,yongkeng.liu,2023-08-15 10:44:47,Operating,,,,,,,110013775218.0,3-1-043:002,2021-07-30,1997-02-04,21.27283,-157.816311,NAD83,Point,GPS,,,,,,Closed,7/25/2023,,9100101
9100103,9100103,2483.0,9-100103,76 Kapahulu 7-11 #116,505 KAPAHULU AVE,57587.0,,(808) 734-4711,Patrick Iona,"Manager, EH&S",2019-07-08,Gas Station,yongkeng.liu,2024-12-02 10:50:32,Operating,Site Cleanup Completed (NFA),(Kapahulu 7-11),,,,,110013790004.0,31017033,2019-07-12,2008-04-23,21.276362,-157.814711,NAD83,Point,Map,10.0,Underground Storage Tank,4/24/2008- pls verify info via GPS next inspection/RI,Richard Takaba,,Closed,11/26/2024,,9100103
9100107,9100107,1552.0,9-100107,FIRST UNION SELF-SERV,2077 KAMEHAMEHA IV RD,57591.0,,,HAROLD TAKARA,MAINTENANCE SUPV.,,Not Listed,jnagashima,2011-04-06 15:05:49,Closed,Site Cleanup Completed (NFA),,,,,,110005728178.0,,1992-08-05,2009-04-20,21.346938,-157.866966,NAD83,Area,Address Matching,,,,Raymond Seid,,No Visits,,,9100107
9100108,9100108,2187.0,9-100108,HONOLULU TERMINAL,411 PACIFIC ST,57589.0,,,,,1997-03-31,Petroleum Distributor,rkwan,1999-02-19 13:51:10,Operating,,,,,,,110000495848.0,,1998-08-11,,,,,,,,,,,,No Visits,,,9100108
9100110,9100110,1160.0,9-100110,VECTOR CONTROL BRANCH,2611 KILIHAU ST,57591.0,,(808) 831-6767,KENNETH HALL,PROGRAM MANAGER,2000-03-07,Other,rkwan,2000-03-14 11:45:12,Closed,Site Cleanup Completed (NFA),,,,,,110005723011.0,,2000-03-10,1997-10-14,21.336304,-157.894143,NAD83,Point,GPS,,,,Shunsheng Fu,,Closed,10/14/1997,,9100110
9100114,9100114,2340.0,9-100114,HONOLULU STATION - PAWAA ANNEX,1455 S BERETANIA ST,57586.0,,,,,1999-04-05,Local Government,rkwan,1999-09-07 11:11:34,Closed,Site Cleanup Completed (NFA),,,,,,110014049314.0,,1999-04-08,1997-02-03,21.29862,-157.838281,NAD83,Point,GPS,,,,Richard Takaba,,Closed,1/28/1998,,9100114
9100117,9100117,132.0,9-100117,KALIHI POLICE STATION,1865 KAMEHAMEHA IV RD,57591.0,,(808) 723-8208,Damien Gilding,Safety Specialist II,2017-06-01,Police Station,roxanne.kwan,2020-06-19 17:15:22,Closed,Disconfirmed Release,,(808) 723-7737,,,,110014029951.0,1-3-024:006,2017-06-05,1996-11-19,21.344207,-157.870644,NAD83,Point,GPS,,,,Roxanne Kwan,,Closed,4/21/2016,,9100117
9100118,9100118,109.0,9-100118,C&CH Board of Water Supply Beretania Stn.,630 S BERETANIA ST,57610.0,,(808) 748-5800,Warren Young,Cheif of Automotive Equipment Services,2005-10-10,Utilities,randall.heu,2016-05-19 09:29:29,Closed,Site Cleanup Completed (NFA),,,,,,110014029988.0,,2005-10-10,2009-01-12,21.30563,-157.85268,NAD83,Point,GPS,9.0,Underground Storage Tank,,Thu Perry,,Closed,8/14/2015,,9100118
9100119,9100119,109.0,9-100119,Board of Water Supply Kalihi Corporation Yard,2442 Kini Place,57591.0,,(808) 748-5588,Ernest Y. W. Lau,Manager and Chief Engineer,2020-07-07,Baseyard,richard.takaba,2023-08-17 14:35:41,Closed,Disconfirmed Release,,(808) 550-9032,,,,110013787027.0,1-3-021,2020-08-19,2009-02-05,21.343744,-157.874209,NAD83,Point,GPS,12.0,Underground Storage Tank,,,,Open,9/17/2021,,9100119
9100121,9100121,2477.0,9-100121,CIVIC CENTER PARKING STRUCTURE,1100 ALAPAI ST,57585.0,,(808) 768-4005,ROSS S. SASMURA,DIRECTOR AND CHIEF ENGINEER,2016-06-26,Other,roxanne.kwan,2023-03-08 08:27:47,Operating,,,(808) 525-8544,,,,110014053193.0,2-1-33-10,2016-06-02,2009-01-14,21.30491,-157.85318,NAD83,Point,GPS,15.0,Underground Storage Tank,,,,Closed,10/26/2022,,9100121
