facility_number,Status,facility_id,Type,Name,Address,Address2,City,State,Zip,Phone,OwnerID,Trust land,Tribe,HighFlow Inspection,Pumps,Tanks,Latitude,Longitude
6214754,Inactive,14754,Not Listed,Citgo Lube,809 N BROADWAY,,Ada,OK,74820,,809008941,False,,False,0,1,34.767,-96.6791
6214148,Inactive,14148,Petroleum Distributor,"Sanford Oil Co, Inc.",200 EAST 8,,Ada,OK,74821,,8154,False,,False,1,9,34.7784,-96.677
6221159,Inactive,21159,Not Listed,"Npt, Inc",201 E 6th St,,Ada,OK,74820,5804360665.0,809014866,False,,False,0,1,34.7753,-96.0763
6213357,Active,13357,Gas Station,Qwik Cheque,1000 E Arlington,,Ada,OK,74820,5803325168.0,809014803,False,,False,10,3,34.782,-96.6632
6211770,Active,11770,Gas Station,Cowart's Smokehouse Market,3001 E ARLINGTON,,Ada,OK,74820,,809019350,False,,False,20,4,34.7812,-96.6342
6205939,Active,5939,Federal Non-Military,Robert S Kerr Environ Research,919 Kerr Research Drive,,Ada,OK,74820,5804368500.0,2092,False,,False,0,3,34.7364,-96.6666
6200606,Inactive,606,Not Listed,O E Mcanally,2727 ARLINGTON,,Ada,OK,74820,,12350,False,,False,0,3,34.7812,-96.6376
6209508,Active,9508,Gas Station,Quick Karry Out Korner,320 S MISSISSIPPI,,Ada,OK,74820,,809019838,False,,False,14,5,34.7717,-96.6695
6204780,Active,4780,Gas Station,Campus Corner Mini Mart,401 S Mississippi,,Ada,OK,74820,,809008640,False,,False,14,5,34.7712,-96.6705
6204359,Active,4359,Gas Station,4Court 601,601 S MISSISSIPPI,,Ada,OK,74820,,809019805,False,,False,5,3,34.7691,-96.6702
6200128,Inactive,128,Not Listed,Kerr Mcgee #6003,630 N BROADWAY,,Ada,OK,74820,,12551,False,,False,0,3,34.7689,-96.679
6200127,Inactive,127,Not Listed,Kerr Mcgee #6005,201 S MISSISSIPPI,,Ada,OK,74820,,12551,False,,False,0,4,34.7732,-96.6699
6221589,Inactive,21589,Not Listed,Former Texaco Bulk Facility,400 E. 8TH STREET,,Ada,OK,74820,,809015758,False,,False,0,1,34.7668,-96.6668
6200276,Inactive,276,Not Listed,Sanford's K M,MAIN STR FITTSTOWN,25375 STATE HWY 99 SOUTH,Ada,OK,74820,,8154,False,,False,0,4,34.6164,-96.6349
6200272,Active,272,Gas Station,Ada Quick Mart,1000 N Country Club,,Ada,OK,74820,5804365253.0,809017740,False,,False,18,6,34.7857,-96.6518
6200605,Active,605,Gas Station,Sooner Stop Mart,3829 N BROADWAY,,Ada,OK,74820,,809019581,False,,True,18,4,34.8176,-96.6789
6200275,Inactive,275,Not Listed,Sanford Oil Co. Inc.,200 E 8TH,,Ada,OK,74820,,8154,False,,False,0,1,34.7778,-96.6806
6200757,Active,757,Gas Station,McNeal's Fast Pac,621 N. BROADWAY,,Ada,OK,74820,,2881,False,,False,8,6,34.7805,-96.6791
6203196,Active,3196,Gas Station,Love's Country Store #52,300 N MISSISSIPPI,,Ada,OK,74820,,4424,False,,False,18,6,34.777,-96.6695
6204262,Active,4262,Not Listed,Quick Lube,809 N BROADWAY,,Ada,OK,74820,,809019350,False,,True,6,4,34.767,-96.6791
6204264,Active,4264,Gas Station,Byng Mini Mart,Hwy 99 & Francis Rd,,Ada,OK,74820,,809019350,False,,False,8,3,34.8683,-96.6674
6204265,Active,4265,Gas Station,D & W Quick Stop,930 W Main St,,Ada,OK,74820,,809019589,False,,False,4,4,34.7747,-96.6928
6204358,Active,4358,Gas Station,Busy B's,831 ARLINGTON,,Ada,OK,74820,,809019755,False,,False,8,3,34.7814,-96.6661
6206078,Inactive,6078,Not Listed,Ada Batch Plant,130 E 7TH ST,,Ada,OK,74820,5803321611.0,9738,False,,False,0,2,34.7681,-96.6785
6203140,Active,3140,Gas Station,Love's Country Store #80,524 W MAIN ST,,Ada,OK,74820,,4424,False,,False,18,4,34.7749,-96.6866
6206522,Inactive,6522,Not Listed,Kmart #9079,1300 CRADDUCK ROAD,,Ada,OK,74820,,3685,False,,False,0,1,34.5949,-96.6625
6219410,Active,19410,Gas Station,Murphy Usa #6578,1621 LONNIE ABBOTT BLVD,,Ada,OK,74820,5804364843.0,809012891,False,,False,18,2,34.7894,-96.6538
6221853,Inactive,21853,Not Listed,Chickasaw Tool Co.,1918 A STR,,Ada,OK,74820,,7329,False,,False,0,1,34.7875,-96.6484
6202275,Inactive,2275,Not Listed,Stallings Const.,301 1/2 N. TOWNSEND,,Ada,OK,74820,,2270,False,,False,0,2,34.7783,-96.6801
6202276,Inactive,2276,Not Listed,Center Oil Co.,8562 HWY 3 W,,Ada,OK,74820,,8266,False,,False,0,1,34.8687,-96.825
6202277,Inactive,2277,Not Listed,Feeder Millings Co.,205 ASA RD.,,Ada,OK,74820,,8278,False,,False,0,1,34.7749,-96.6965
6202285,Inactive,2285,Not Listed,Consolidated Electic,3400 N. BDWY,,Ada,OK,74820,,2270,False,,False,0,1,34.8127,-96.6777
6205294,Inactive,5294,Not Listed,Ada Brick Plant,1700 KERR LAB RD,,Ada,OK,74820,,12606,False,,False,0,1,34.7565,-96.6702
6202436,Active,2436,Contractor,"Cummins Construction Co., Inc.",10011 State Hwy 99 North,4 Mi N of Ada on Hwy 99,Ada,OK,73708,5803323080.0,1550,False,,False,0,4,34.8403,-96.681
6202999,Inactive,2999,Not Listed,"Frank T. Fleet, Inc.",920 N MISSISSIPPIPO BOX 729,,Ada,OK,74820,,2339,False,,False,0,1,34.7847,-96.6698
6203009,Inactive,3009,Not Listed,"Overhead Door Co Of Ada, Inc",1430 N BROADWAY P.O. BOX 9,,Ada,OK,74820,,4847,False,,False,0,2,34.7879,-96.6788
6203263,Inactive,3263,Not Listed,Paul F. Floyd,1300 ARLINGTON,,Ada,OK,74820,,4906,False,,False,0,2,34.782,-96.6598
6203899,Inactive,3899,Auto Dealership,"Charprell Jeep-Eagle Dodge, Inc",1109 N BROADWAY,,Ada,OK,74820,,11433,False,,False,0,3,34.7831,-96.6787
6203990,Inactive,3990,Not Listed,Service Chevrolet Company,1301 NO. BROADWAY,,Ada,OK,74820,,5657,False,,False,0,4,34.7615,-96.6791
6204356,Inactive,4356,Not Listed,Movie World,1230 ARLINGTON,,Ada,OK,74820,,8225,False,,False,0,2,34.782,-96.66
6204650,Inactive,4650,Not Listed,Cx Transportation (Formerly Atlas Truck Line),727 LATTA ROAD,,Ada,OK,74820,,360,False,,False,0,1,34.7693,-96.6995
6204773,Inactive,4773,Not Listed,W.E. Reeves Packing Co.,WEST OF CITY,,Ada,OK,74820,,6518,False,,False,0,2,34.7688,-96.7097
6204775,Inactive,4775,Not Listed,Latta School,2007 LATTA ROAD,,Ada,OK,74820,,6115,False,,False,0,1,34.7548,-96.7052
6201978,Inactive,1978,Not Listed,Associated Natural Gas Co.,PO BOX 2269,22612 STATE HWY 1 EAST,Ada,OK,74820,,4183,False,,False,0,1,34.7944,-96.5554
6201707,Inactive,1707,Not Listed,"Carmichael-Keeling, Inc.",515 E. ARLINGTON,,Ada,OK,74820,,965,False,,False,0,1,34.7811,-96.6714
6201699,Inactive,1699,Not Listed,Howard Sheet Metal & Roofing Co,327-333 E. MAIN STR,,Ada,OK,74820,,2974,False,,False,0,1,34.7744,-96.6737
6201592,Inactive,1592,Not Listed,Ada Coca-Cola Bottling Company,1205 CRADDUCK RD.,,Ada,OK,74820,,68,False,,False,0,1,34.7614,-96.664
6213177,Inactive,13177,Not Listed,No Tanks; Gasoline In Sewer,14TH & MISSISSIPPI,630 E 14th ST,Ada,OK,74820,,11095,False,,False,0,1,34.7715,-96.6701
6202370,Active,2370,Farm,Bill Briggs Farm,E1/2 NE 1/4 Sec 11 T3N R4E,,Ada,OK,74820,4057593374.0,809018825,False,,False,0,1,34.7495,-96.8469
6217929,Inactive,17929,Not Listed,Hills Phillips Station,801 NORTH BROADWAY,,Ada,OK,74820,,809011142,False,,False,0,1,34.7819,-96.679
6206423,Active,6423,Not Listed,Carl Albert Indian Hospital,1001 N. Country Club Road,,Ada,OK,74820,4054363980.0,809018824,True,Chickasaw,False,0,1,34.7855,-96.6531
6256698,Active,56698,Not Listed,Pontotoc County Dist #2,9693 CR 3490,,Ada,OK,74820,5803328401.0,5090,False,,False,0,1,34.8522,-96.7923
6211679,Active,11679,Truck/Transporter,Pontotoc County District #1,14210 CR 3610,,Ada,OK,74820,5803323626.0,5090,False,,False,0,2,34.7785,-96.5841
6205761,Inactive,5761,Not Listed,Hhc 120Th S&S Bn,P O BOX S1358,1615 N Broadway Ave,Ada,OK,74821,,4755,False,,False,0,1,34.7914,-96.6792
6214155,Inactive,14155,Petroleum Distributor,Pilot Thomas Logistics #8650 - Ada Terminal,301 N Broadway,,Ada,OK,74820,3612127583.0,809017913,False,,False,6,17,34.7775,-96.6789
6221918,Inactive,21918,Not Listed,Various Possible Owners,14TH & MISSISSIPPI,410 S MISSISSIPPI AVE,Ada,OK,74820,,7438,False,,False,0,1,34.7708,-96.6698
6200303,Inactive,303,Not Listed,"Ada Iron & Metal Co., Inc.",120 W. 7TH,,Ada,OK,74820,,71,False,,False,0,2,34.7681,-96.6794
6200304,Inactive,304,Not Listed,Hortons General Store,ROUTE 7 BOX 141,,Ada,OK,74820,,4695,False,,False,0,2,34.7993,-96.5384
6207787,Active,7787,Not Listed,Division Headquarters,3 MI NW OF ADA ON SH 3W,12844 State Hwy 3W,Ada,OK,74821,,4696,False,,False,0,7,34.7996,-96.7383
6201158,Active,1158,School,Vanoss Public School,4665 COUNTY RD 1555,,Ada,OK,74820,5807593080.0,6433,False,,False,0,4,34.7599,-96.8675
6201187,Active,1187,School,Byng School,500 S NEW BETHEL RD,,Ada,OK,74820,5803106751.0,849,False,,False,0,4,34.8612,-96.6595
6201300,Inactive,1300,Not Listed,Bus Lot Ada City Schools,304 W. 18TH,,Ada,OK,74820,,70,False,,False,0,1,34.7671,-96.6754
6205469,Inactive,5469,Not Listed,Bowie Ballard Ford Inc.,BROADWAY AT 10TH,201 N BROADWAY AVE,Ada,OK,74820,,731,False,,False,0,1,34.7757,-96.679
6200009,Inactive,9,Not Listed,People's Electric Coopertive,1130 WEST MAIN,,Ada,OK,74820,,4945,False,,False,0,3,34.7749,-96.6962
6206961,Inactive,6961,Not Listed,Ada Storage Compressor Sta,1 MI W. ON COUNTY RD 151,,Ada,OK,74820,,254,False,,False,0,1,34.8189,-96.6856
6204777,Inactive,4777,Not Listed,W.E. Reeves Packing Co. #2,1300 N. CONSTANT,,Ada,OK,74820,,7939,False,,False,0,1,34.7631,-96.6758
6207206,Inactive,7206,Not Listed,City Hall A,231 S TOWNSEND,,Ada,OK,74820,,1179,False,,False,0,1,34.7725,-96.6809
6207630,Inactive,7630,Not Listed,Rollins Oil Company Lease Property,207 EAST 8TH,,Ada,OK,74820,,809018114,False,,False,0,5,34.7784,-96.6765
6207629,Inactive,7629,Not Listed,Mcclains Sinclair,500 N BROADWAY,,Ada,OK,74820,5803327788.0,5457,False,,False,0,6,34.7702,-96.679
6206991,Inactive,6991,Not Listed,Genes Apco,900 W. MAIN,,Ada,OK,74820,,148,False,,False,0,3,34.7746,-96.6919
6205447,Inactive,5447,Not Listed,Gene Pettys 66,12650 STATE HWY 3 WEST,,Ada,OK,74820,,3334,False,,False,0,2,34.8011,-96.741
6204779,Inactive,4779,Gas Station,Mel's Meat Market,LATTA RD,,Ada,OK,74820,,12338,False,,False,0,2,34.7532,-96.7002
6204774,Inactive,4774,Not Listed,Jp's Pak-To-Go,E ARLINGTON BLVD,,Ada,OK,74820,,7939,False,,False,0,3,34.7819,-96.6341
6204414,Inactive,4414,Not Listed,Bob Mcnutt,8TH STR AT TOWNSEND,,Ada,OK,74820,,680,False,,False,0,2,34.7781,-96.6788
6204413,Inactive,4413,Not Listed,Service Station,427 N BROADWAY,,Ada,OK,74820,,680,False,,False,0,3,34.7799,-96.6791
6214062,Inactive,14062,Not Listed,Pontotoc Vo-Tech,601 W 33RD,,Ada,OK,74820,,809008709,False,,False,0,2,34.7829,-96.6869
6204362,Inactive,4362,Gas Station,Heart Land Pro Realty,101 S Mississippi,,Ada,OK,74820,5802720802.0,809017731,False,,False,4,2,34.774,-96.6705
6204360,Inactive,4360,Not Listed,American Tire,430 W MAIN,,Ada,OK,74820,,809016452,False,,False,6,3,34.7748,-96.685
6211253,Active,11253,Not Listed,Chickasaw Enterprises,1500 N. Country Club Road,,Ada,OK,74820,4054364113.0,809015310,True,Chickasaw,False,0,4,34.7899,-96.652
6204357,Inactive,4357,Gas Station,Jersey Lily,HWY 3 WEST,,Ada,OK,74820,,8154,False,,False,0,2,34.8075,-96.7507
6204348,Inactive,4348,Gas Station,Angela Bryant,HWY 99 N,,Ada,OK,74820,,11936,False,,False,0,3,34.823,-96.6785
6204266,Inactive,4266,Not Listed,Richards Quick Stop,RT 7,16868 3rd LANE,Ada,OK,74820,,1644,False,,False,0,2,34.7348,-96.6369
6207632,Inactive,7632,Gas Station,Rollins Oil Co Inc,200 N MISSISSIPPI,,Ada,OK,74820,,5457,False,,False,16,6,34.7731,-96.6699
6207669,Inactive,7669,Gas Station,Wards Groc & Station,RT 2 BOX 355,8562 State Hwy 3W,Ada,OK,74820,,6567,False,,False,0,3,34.8619,-96.8251
6207858,Inactive,7858,Not Listed,Bill Fleming Grocery & Station,916 SANDY CREEK DRIVE,,Ada,OK,74820,,567,False,,False,0,4,34.7745,-96.6918
6208242,Inactive,8242,Not Listed,Pemco #927/Bob Hammack,1020 W MAIN,,Ada,OK,74820,,1437,False,,False,0,4,34.7742,-96.6941
6221298,Inactive,21298,Not Listed,Former Dillard Taylor Lease Property,SW CORNER OF JOHNSTON & MAIN,505 W MAIN ST,Ada,OK,74820,,809008203,False,,False,0,1,34.7743,-96.6852
6221299,Inactive,21299,Not Listed,Former Trader Mills,308 N BROADWAY,,Ada,OK,74820,,809008203,False,,False,0,1,34.7774,-96.6786
6213521,Inactive,13521,Gas Station,Randall's Detail,701 S MISSISSIPPI,,Ada,OK,74820,,13006,False,,False,0,2,34.7681,-96.6701
6257187,Active,57187,Truck/Transporter,Latta Travel Center,16100 Hwy 1 West,14231 CR 1560,Ada,OK,74820,5802791600.0,809018673,False,,True,36,2,34.76,-96.705
6212735,Inactive,12735,Gas Station,Wilson's Conoco,1028 W MAIN,,Ada,OK,74820,,9428,False,,False,0,3,34.7747,-96.6928
6212602,Inactive,12602,Gas Station,Justin Country Store,1 MI. N OF BYNG RT. 3,531 N MAIN ST,Ada,OK,74820,9999999999.0,809017994,False,,False,0,3,34.8755,-96.6679
6212496,Inactive,12496,Gas Station,3W Quick Stop,13434 Hwy 3 West,,Ada,OK,74820,5804360142.0,809016822,False,,False,6,3,34.7897,-96.7288
6208982,Active,8982,Gas Station,Roaster's Market,122 N MISSISSIPPI,,Ada,OK,74820,5802790044.0,809019350,False,,False,28,8,34.7754,-96.6695
6212475,Inactive,12475,Gas Station,Byng Grocery,HWY 99 & HIGH SCHOOL RD,,Ada,OK,74820,,809008775,False,,False,0,2,34.8615,-96.6714
6211808,Inactive,11808,Not Listed,M-Auto 9-6,CORNER OF L & A STR,,Ada,OK,74820,,6143,False,,False,0,1,34.7867,-96.6507
6211807,Inactive,11807,Not Listed,Copay,L & B STR,,Ada,OK,74820,,6143,False,,False,0,1,34.7874,-96.6444
6211605,Inactive,11605,Not Listed,Circle K #939,600 W. MAIN,,Ada,OK,74820,,10906,False,,False,0,3,34.7744,-96.6868
6211474,Inactive,11474,Not Listed,Sweets Speed Shop,420 N. BROADWAY,,Ada,OK,74820,,696,False,,False,0,3,34.7798,-96.6785
6210837,Inactive,10837,Not Listed,Kemp Investment Corporation,830 N. BROADWAY,,Ada,OK,74820,5803321717.0,3595,False,,False,0,3,34.7669,-96.6791
6210316,Inactive,10316,Not Listed,Oklahoma Basic Economy Corp,HOMER RD,19818 COUNTY ROAD 1525,Ada,OK,74820,,4655,False,,False,0,2,34.8034,-96.6045
6209416,Inactive,9416,Gas Station,Hornet Station,631 W MAIN,,Ada,OK,74820,4055793835.0,809018955,False,,False,4,3,34.7743,-96.688
6212259,Inactive,12259,Gas Station,The General Store,1431 CRADDUCK RD,,Ada,OK,74820,,809014173,False,,False,0,2,34.7602,-96.6627
6207048,Inactive,7048,Not Listed,Ada Pipeline Dept.,"RT. #2, BOX 254",,Ada,OK,74820,,254,False,,False,0,1,34.7795,-96.6818
6203641,Inactive,3641,Gas Station,Circle K #938,1000 E 5TH,,Ada,OK,74820,,9545,False,,False,0,3,34.7702,-96.6657
6203106,Inactive,3106,Not Listed,Gene Guderian,RT 4 BOX 6644130 ARLINGTON,307 N BROADWAY,Ada,OK,74820,,2453,False,,False,0,3,34.7776,-96.6791
6203288,Inactive,3288,Not Listed,Ralph G Jackson & Bob Birks,431 E MAIN,,Ada,OK,74820,,5227,False,,False,0,5,34.7744,-96.6724
6210701,Inactive,10701,Not Listed,Southern Sporting,1505 CRADDACK RD,,Ada,OK,74820,,5766,False,,False,0,2,34.7634,-96.6658
6209895,Inactive,9895,Not Listed,Ada Block Co.,1001 W. 18TH STR,,Ada,OK,74820,,67,False,,False,0,1,34.7777,-96.6655
6201214,Inactive,1214,Gas Station,Sutton's Town & Country Store,10021 ST Hwy 19,,Ada,OK,74820,5803327094.0,4695,False,,False,3,5,34.7819,-96.7745
6209743,Inactive,9743,Not Listed,Pickett Center School,BOX 1363 5 MI W. OF ADA,,Ada,OK,74820,,5061,False,,False,0,1,34.7839,-96.7807
6256626,Active,56626,Gas Station,E Stop Express,1533 Cradduck Rd,,Ada,OK,74820,5803328008.0,809019350,False,,False,20,2,34.7596,-96.662
6208043,Inactive,8043,Not Listed,Ada District Service Center,A & I STREETS INDUST. COMPLEX,1900 B ST,Ada,OK,74820,,4740,False,,False,0,1,34.7855,-96.6501
6207633,Inactive,7633,Air Taxi (Airline),Ada Municipal Airport,"2800 Airport Rd, Hangar B",,Ada,OK,74820,,809016746,False,,False,1,4,34.8041,-96.6743
6201107,Inactive,1107,Not Listed,Gantt's Gro & Sta,RT 4,,Ada,OK,74820,5803327677.0,8104,False,,False,1,2,34.7352,-96.638
6200761,Inactive,761,Not Listed,Beep & By,630 E. 14TH,,Ada,OK,74820,,2881,False,,False,0,3,34.7712,-96.6873
6207376,Inactive,7376,Not Listed,"Brockway, Inc. - Plant #14",300 EAST FOURTH STREET,,Ada,OK,74820,,10018,False,,False,0,1,34.7818,-96.682
6207267,Inactive,7267,Not Listed,Southwestern Bell Telephone Co,110 WEST 14TH,,Ada,OK,74820,,5784,False,,False,0,1,34.7719,-96.6794
6200751,Inactive,751,Not Listed,Jims Quick Stop,RT. 3,18718 3rd DR,Ada,OK,74820,,5620,False,,False,0,2,34.7202,-96.6229
6207210,Inactive,7210,Not Listed,Ada Municipal Airport,HWY 99,,Ada,OK,74820,,809008696,False,,False,0,1,34.8043,-96.6742
6200703,Inactive,703,Gas Station,Latta Grocery (100222),1930 LATTA ROAD,,Ada,OK,74820,,1933,False,,False,0,2,34.7545,-96.7052
6201555,Inactive,1555,Gas Station,Jim Martin Oil Co,901 ARLINGTON,,Ada,OK,74820,,3334,False,,False,7,2,34.7813,-96.6654
6210795,Inactive,10795,Industrial,Boadie L Anderson Quarries,504 ROSEDALE RD,,Ada,OK,74820,,654,False,,False,0,1,34.7964,-96.6874
6210712,Inactive,10712,Not Listed,C & L Well Service Inc,1406 N BROADWAY,,Ada,OK,74820,,855,False,,False,0,2,34.7897,-96.6788
6211420,Inactive,11420,Not Listed,Parking Lot,200 S BROADWAY,,Ada,OK,74820,,69,False,,False,0,1,34.7731,-96.679
6213663,Inactive,13663,Not Listed,Kten Tv,1600 E ARLINGTON,,Ada,OK,74820,,13201,False,,False,0,2,34.7814,-96.6525
6213294,Inactive,13294,Not Listed,Valley View Hospital Authority,1300 E 6TH ST,,Ada,OK,74820,,11284,False,,False,0,1,34.7782,-96.6325
6202284,Inactive,2284,Not Listed,Former Texaco Bulk/Chevron #211650,400 E 8TH,,Ada,OK,74820,,809015758,False,,False,0,8,34.7777,-96.6734
6212558,Active,12558,Gas Station,Wal-Mart Supercenter #231,1419 N Country Club Rd,,Ada,OK,74820,5803322232.0,809015513,False,,False,0,5,34.7912,-96.6633
6212061,Active,12061,Gas Station,Peoples Electric Coop,1700 N COUNTRY CLUB ROAD,,Ada,OK,74820,5803323031.0,4945,False,,False,4,3,34.7909,-96.6521
6211914,Inactive,11914,Not Listed,Purchasing Facilitites,512 N STOCKTON (REAR),,Ada,OK,74820,,1179,False,,False,0,2,34.7701,-96.6819
6202281,Inactive,2281,Gas Station,Howard's Mini-Mart,11880 STATE HWY 3 W,,Ada,OK,74820,,12106,False,,False,0,3,34.8132,-96.7577
6211064,Inactive,11064,Not Listed,B&B Tool Co.,ARMORY ROAD,,Ada,OK,74820,,397,False,,False,0,1,34.791,-96.6818
6202280,Inactive,2280,Not Listed,Dutch's Mini-Mart,KERR LAB RD.,,Ada,OK,74820,,2270,False,,False,0,2,34.7012,-96.6696
6211473,Inactive,11473,Not Listed,Central Purchasing,220 W. 7TH,,Ada,OK,74820,,1179,False,,False,0,5,34.7681,-96.6809
6202227,Inactive,2227,Not Listed,"K-Dem Oil, Inc.",127 E. 6TH STR,,Ada,OK,74820,,12378,False,,False,0,1,34.7692,-96.6785
6201944,Temporarily Closed,1944,Gas Station,Gaar Corner Feed & Fertilizer,5100 SH 19,,Ada,OK,74820,5807593496.0,809016072,False,,False,6,8,34.797,-96.8607
6201557,Inactive,1557,Gas Station,Martins 66 Station,129 S MISSISSIPPI,,Ada,OK,74820,,3334,False,,False,7,3,34.7737,-96.67
6211472,Inactive,11472,Not Listed,City Of Ada Sewer Plant,N MISSISSIPPI AVE,,Ada,OK,74820,,1179,False,,False,0,1,34.7955,-96.6691
6211449,Inactive,11449,Not Listed,Former Weatherly Oil Company Trust,4000 N Broadway,,Ada,OK,74820,,809008144,False,,False,0,1,34.8191,-96.6783
6202274,Inactive,2274,Not Listed,Weatherly Oil Co.,531 N. HOPE,,Ada,OK,74820,,2270,False,,False,0,1,34.7791,-96.6723
4912000,Inactive,12000,Gas Station,The Main Store,1 East Main,,Adair,OK,74330,,7211,False,,False,16,6,36.4363,-95.2714
4905042,Inactive,5042,Gas Station,Phillips 66 Co #002263,MAIN STR & HWY 69,4164 E0535 RD,Adair,OK,74330,,5034,False,,False,0,5,36.2425,-95.3369
4901170,Inactive,1170,Not Listed,Adair Public School,100 S FOREST,,Adair,OK,74330,,73,False,,False,0,1,36.4331,-95.27
4911658,Active,11658,Not Listed,Mayes County District 1,407 E Main,,Adair,OK,74330,,4130,False,,False,0,2,36.4375,-95.259
4903388,Inactive,3388,Gas Station,Larry's Convenience Store,601 E Main,,Adair,OK,74330,,12732,False,,False,9,4,36.4376,-95.2555
4912256,Active,12256,Gas Station,Woodshed,309 S Mayes,,Adair,OK,74330,9187852620.0,809014950,False,,False,48,5,36.4342,-95.2733
4903884,Active,3884,Gas Station,Casey's General Store #3429,100 W Main,,Adair,OK,74330,5159656238.0,809016993,False,,False,24,10,36.4367,-95.2722
7006893,Inactive,6893,Not Listed,Mires Booster,UNK,,Adams,OK,73901,,10272,False,,False,0,4,36.7766,-101.0433
7010953,Active,10953,Not Listed,Fletcher 2-19,NE SW Sec 19-3N-18ECM,,Adams,OK,73901,3166246253.0,809018811,False,,False,0,1,36.709,-101.1631
7010952,Active,10952,Not Listed,Voth 1-5,NE SW Sec 5-3N-18ECM,,Adams,OK,73901,3166246253.0,809018811,False,,False,0,1,36.7528,-101.1452
7010951,Active,10951,Not Listed,Allender No. 1-7,NE SW Sec 7-3N-18ECM,,Adams,OK,73901,3166246253.0,809018811,False,,False,0,1,36.7382,-101.163
7010946,Active,10946,Not Listed,Schaffler No 2-17,NE SW Sec 17-3N-18ECM,,Adams,OK,73901,3166246253.0,809018811,False,,False,0,1,36.7236,-101.1452
7010938,Active,10938,Not Listed,NE Hardesty Unit N Plant,NW NW Sec 11-4N-18ECM,,Adams,OK,73901,3166246253.0,809018814,False,,False,0,1,36.8327,-101.0954
7010937,Active,10937,Not Listed,NE Hardesty S Plant,Center Sec 23-4N-18ECM,,Adams,OK,73901,3166246253.0,809018814,False,,False,0,1,36.7983,-101.0887
7010936,Active,10936,Not Listed,Gilbert 01,NE SW Sec 8-2N-19ECM,,Adams,OK,73901,3166246253.0,809018814,False,,False,0,1,36.6511,-101.0373
7006891,Inactive,6891,Not Listed,Adams Booster Oklahoma,RT 2 BOX 62 B,,Adams,OK,73901,,10272,False,,False,0,7,36.7179,-101.0985
7009266,Active,9266,Not Listed,Hooker Booster,No address,,Adams,OK,73901,8062732831.0,809018816,False,,False,0,2,,
3408962,Inactive,8962,Not Listed,Price Cattle Company,1 MI E OF ADDINGTON,600 Parker Ave,Addington,OK,73520,,5124,False,,False,0,5,34.2455,-97.9598
2121194,Active,21194,Gas Station,Buffalo Ranch,21600 S Hwy 69,,Afton,OK,74331,,809014950,False,,True,40,4,36.7072,-94.9291
2114022,Active,14022,Gas Station,Woodshed V,55990 E Hwy 85A,,Afton,OK,74331,,809014950,False,,False,24,2,36.6359,-94.8739
5807476,Active,7476,School,Northeast Area Vo-Tech School,PO DRAWER P (4 MI N OF AFTON),,Afton,OK,74331,,4541,False,,False,0,4,36.7314,-94.9307
2112512,Inactive,12512,Not Listed,Chip Pearce/Helen Pearce,EAST BAY MONKEY ISLAND,RT 3 BOX 1812,Afton,OK,74331,,8606,False,,False,0,1,36.5954,-94.8684
2114636,Active,14636,Marina,Landings Marina LLC,56551 E Hwy 125,,Afton,OK,74331,,809019554,False,,False,0,2,36.5954,-94.8684
