OrganizationId,OrganizationFormalName,StampInit,StampDate,OwnerId
119,Bank of Hawaii Central Processing Facility,rkwan,2007-01-18 13:58:59,2523
120,BARNEY SCHEDELL,EJS,1996-02-29 00:00:00,100
121,BAU PHAN NGOC,,,91
122,BAYFRONT SERVICE INC.,,,92
123,"BC OIL VENTURES, LLC",rkwan,2001-11-19 14:25:51,2338
124,BEACON MOVING & STORAGE,LNAGATOSHI,1996-08-13 13:45:29,2038
125,BEKINS MOVING & STORAGE CO.,rkwan,2000-02-28 09:15:44,98
126,BENIYA SHOKUDO,rkwan,1998-08-28 12:00:08,2260
127,"BENJAMIN ALONZO, SR",RKWAN,1998-10-28 15:29:41,1066
128,"BERGER'S AUTOHAUS, INC.",rkwan,1998-09-29 12:01:52,99
129,BETTY SHINTAKU TOMORI,SUP,1993-10-20 00:00:00,1769
130,"BFI, INC",rkwan,2000-02-28 09:32:58,1679
131,BHP HAWAII INC.,esadoyama,1997-08-18 15:43:42,1291
132,"BHP PETROLEUM AMERICAS TERMINALS, INC",SUP,1993-04-12 00:00:00,811
133,BIG ISLAND BRAKE AND FRONT REPAIR,rkwan,2002-04-24 09:53:34,2433
134,BIG ISLE MOVING & DRAYING,SUP,1993-05-03 00:00:00,1739
135,BIG ISLE MOVING & DRAYING INC.,,,102
136,BIG SAVE CORP.,rkwan,2000-02-02 14:46:14,103
137,"BIG THREE INDUSTRIES, INC.",SUP,1993-04-01 00:00:00,104
138,"BILL'S CRANE SERVICE, INC.",,,105
139,BILS FAMILY PARTNEERSHIP,rkwan,1999-03-03 10:22:14,2333
140,BLANCO INVESTMENTS,EJS,1996-02-29 00:00:00,1781
141,"BLUE & WHITE BUS LINE, LTD.",,,107
142,BOBO'S AUTO SERVICE,,,1302
143,BOISE CASCADE OFFICE PRODUCTS,EJS,1996-02-29 00:00:00,1411
144,"BORDEN, INC",SUP,1993-05-12 00:00:00,1756
145,BORTHWICK KAUAI MORTUARY,SUP,1992-08-06 00:00:00,1649
146,BORTHWICK MEMORIAL SERVICES,,,1217
147,BOY SCOUTS OF AMERICA,SUP,1992-01-31 00:00:00,1384
148,BRAIN WHITTAKER,,,240
149,BREWER ENVIRONMENTAL INDUSTRIES,rkwan,2003-11-28 13:48:33,1399
150,BRIGHAM YOUNG UNIVERSITY,rkwan,2001-05-18 09:12:14,1613
151,BROWNING-FERRIS INDUSTRIES OF HI,SUP,1993-01-21 00:00:00,113
152,BUCHANAN & CO. INC.,,,114
153,"BUCHANAN & COMPANY, INC.",SUP,1994-04-04 00:00:00,1947
154,"BUDGET RENT-A-CAR SYSTEMS, INC.",rkwan,1999-05-27 16:27:29,117
157,BURLINGTON AIR EXPRESS,EJS,1996-02-29 00:00:00,1345
158,"BUSINESS INVESTMENT, LTD",,,1427
159,C AND F MACHINERY CORP.,,,137
160,C&C HNL,rkwan,2000-10-30 14:34:15,1780
162,C&C HNL - DEPT OF ENVIRONMENTAL SERVICES,RKWAN,2006-11-24 13:58:26,2451
163,C&C HNL - DEPT OF FACILITY MAINTENANCE,RKWAN,2004-09-07 16:27:51,2477
164,C&C HNL - DEPT OF TRANSPORTATION,RKWAN,2004-09-07 16:44:52,2479
165,C&C HNL - DEPT. OF FACILITY MAINTENANCE,RKWAN,2004-09-07 16:30:32,2478
166,C&C of HNL,rkwan,2004-06-14 09:47:27,2471
167,C&C OF HNL - ALA WAI GOLF COURSE,rkwan,2000-10-30 14:36:35,1927
168,C&C OF HNL - BOARD OF WATER SUPPLY,rkwan,2000-10-30 14:33:55,109
169,C&C OF HNL - DEPT OF COMMUNITY SERVICES,rkwan,2000-10-30 14:39:01,2340
170,C&C OF HNL - DEPT OF DESIGN & CONSTRUCTION,RKWAN,2004-09-07 16:26:15,124
172,C&C OF HNL - DEPT OF DESIGN AND CONSTRUCTION,RKWAN,2002-08-19 11:40:52,272
173,C&C OF HNL - DEPT OF ENTERPRISE SERVICES,RKWAN,2004-09-07 16:21:32,2204
174,C&C OF HNL - DEPT OF ENVIRONMENTAL SERVICES,rkwan,2002-02-22 10:36:40,2394
176,C&C OF HNL - DEPT OF FACILITY MAINTENANCE,RKWAN,2002-08-19 11:34:02,1381
177,"C&C OF HNL - DEPT OF FACILITY MAINTENANCE, AES",RKWAN,2004-09-07 16:40:04,2303
178,C&C OF HNL - DEPT OF HOUSING AND COMM DEVELOPMENT,rkwan,2000-10-30 14:34:38,1784
179,C&C OF HNL - DEPT OF PARKS AND RECREATION,rkwan,2000-10-30 14:37:42,1745
180,C&C OF HNL - DEPT OF TRANSPORTATION SERV,RKWAN,2004-09-07 16:36:34,2375
181,C&C OF HNL - DIVISION OF WASTEWATER MANAGEMENT,rkwan,2002-09-05 16:33:30,125
182,C&C OF HNL - HONOLULU FIRE DEPARATMENT,rkwan,2006-04-28 10:02:37,130
183,C&C OF HNL - OAHU CIVIL DEFENSE AGENCY,rkwan,2000-10-30 14:40:18,1554
184,C&C OF HNL - POLICE DEPT,RKWAN,2003-05-07 15:57:31,132
185,C. BREWER HOMES,CCLARK,1997-01-23 15:26:48,2150
186,"C. Q. YEE HOP & CO., LTD.",,,139
187,C.K. CASH,SUP,1992-10-09 00:00:00,1659
188,C.M. COOKE III,,,140
190,C.Q. YEE HOP,SUP,1994-04-06 00:00:00,1786
191,"C.W. ASSOCIATES, INC. DBA GEOLABS HAWAII",,,1487
192,CA. ASSOC.-RESEARCH IN ASTRONOMY,,,141
194,CAESAR L. SILVA,,,142
195,"CAFE 100, INC.",,,143
197,CALASA SERVICE,,,144
198,CALIFORNIA & HAWAIIAN SUGAR CO.,sli,2000-07-12 08:05:22,145
199,CALVIN S. NEMOTO TRUST,esadoyama,1998-07-15 08:02:56,1625
200,CANADA FRANCE HAWAII TELSCOPE CORP,rkwan,1998-10-07 10:21:59,2274
201,CANADIAN AIRLINES INTERNATIONAL,,,147
202,CANCER RESEARCH CENTER OF HAWAII,rkwan,1999-05-05 09:58:31,2344
203,CAP'S INC.,EJS,1996-02-29 00:00:00,148
204,CASTLE & COOKE INC,RKWAN,2003-07-10 11:30:42,1422
205,"CASTLE & COOKE, INC",SUP,1993-08-11 00:00:00,1797
206,"CASTLE AND COOKE PROPERTIES, INC",rkwan,2002-12-06 12:10:44,2443
207,"CASTLE AND COOKE RESORTS, LLC",bquinland-francis,2002-09-19 15:44:20,2411
208,CASTLE MEDICAL CENTER,rkwan,2000-02-22 15:07:48,2339
209,CATERAIR INTERNATIONAL,EJS,1996-03-01 00:00:00,678
210,"CBI, INC",rkwan,1996-12-27 13:39:38,1582
211,CCHH MAUI LLC,rilaga,2006-09-27 09:58:33,1935
212,CCL HOLDINGS,rkwan,2001-09-07 10:04:40,2236
213,CEC HAWAII INC,RKWAN,2002-02-08 15:59:47,2432
214,CENDANT CAR RENTAL GROUP,RKWAN,2003-09-03 09:33:37,2293
215,CENPAC PROPERTIES,rkwan,1999-06-02 12:04:24,2265
216,CENTRAL SUPPLY,RSK,1995-10-12 00:00:00,2116
217,CENTURY AVIATION,SUP,1993-03-05 00:00:00,1707
218,CHANG CHOW PROPERTIES,rkwan,1999-10-27 09:02:38,2122
219,CHARLES AND JANET FUJII,SUP,1993-04-26 00:00:00,1560
220,CHARLES R. SASAKI,SUP,1992-10-09 00:00:00,1660
221,"CHARLEY'S AUTO SERVICE, INC.",EJS,1996-03-01 00:00:00,152
761,JOHN TAIRA,,,552
222,CHEVRON PRODUCTS COMPANY,rkwan,2005-04-11 15:59:10,179
223,"CHEVRON U.S.A., INC",rkwan,1998-10-19 15:25:53,1404
224,"CHIKA NAKANO REPAIR SHOP, INC.",RKWAN,1998-08-27 15:53:14,182
225,"CHING TONG LEONG, INC.",EJS,1996-02-29 00:00:00,183
226,CHING YOUNG VILLAGE,rkwan,1998-10-16 11:23:54,2278
227,CHOCK WAIMEA PARTNERS,rkwan,1996-12-05 15:43:33,2168
228,CHORAL LLC,rkwan,2002-08-07 11:29:53,2438
229,CHRISTIAN BROADCASTING,knatarajan,2000-01-12 15:36:53,184
230,CHRYSLER REALTY CORPORATION,esadoyama,1997-08-25 10:36:26,1999
231,"CHUEI SOKOH, INC",rkwan,1999-01-29 09:54:27,2307
232,"CIRCLE K HAWAII, INC.",,,186
233,CITIZENS UTILITIES COMPANY,,,189
234,City and County of Honolulu,rkwan,2005-12-12 14:22:48,2505
235,CKSS ASSOCIATES,rkwan,2000-06-05 10:28:54,2353
236,CLARA TAKEKUCHI,SUP,1992-01-15 00:00:00,1638
237,CLARKLIFT PACIFIC,RKWAN,1998-08-26 14:43:53,195
238,CLASSIC PROPERTIES,SUP,1993-05-12 00:00:00,196
239,CLEANWELL CLEANERS,,,197
240,Clifford Koki,rkwan,2005-01-05 12:12:16,2486
241,CLIFFORD'S FERREIRA,,,325
242,COALITION FOR SPECIALIZED HOUSING,SUP,1994-02-15 00:00:00,1937
243,COAST & COAST SERVICE,,,198
244,COCA-COLA BOTTLING CO. OF HILO,,,199
245,COCA-COLA BOTTLING CO. OF HONOLULU,,,200
246,COCA-COLA BOTTLING CO. OF KAUAI,,,201
247,COCA-COLA USA,,,202
248,COCO PALMS HOTEL,RKWAN,1998-08-05 11:11:27,2252
249,COLIN YOKOYAMA,rkwan,2004-10-19 16:37:47,2484
250,COMMAND CONSTRUCTION CO.,rkwan,2000-03-20 11:45:59,526
251,COMMANDING OFFICER,EJS,1996-02-29 00:00:00,205
253,COMMANDING OFFICER NAVAL STATION,,,209
254,COMMANDING OFFICIER,rkwan,2000-04-10 17:04:53,2093
255,"COMMERCIAL ELECTRIC, INC.",rkwan,2001-05-08 16:26:10,210
256,"COMMERCIAL SHEETMETAL CO, INC.",rkwan,2001-12-04 09:09:49,211
257,COMMERCIAL SHELVING INC.,,,212
258,CONOCOPHILLIPS COMPANY,RKWAN,2004-10-06 16:27:55,2446
259,"CONTINENTAL AIRLINES, INC.",SUP,1994-01-06 00:00:00,216
260,"Corporation AOK Enterprises, Inc",RKWAN,2004-09-23 14:24:57,2482
261,COSTCO WHOLESALE,RKWAN,2003-04-28 15:15:23,2381
262,COUNTY  OF MAUI - FIRE DEPT,,,1559
263,COUNTY OF HAWAII,RSK,1995-05-31 00:00:00,1488
264,COUNTY OF HAWAII -  DEPT OF PARKS AND RECREATION,SUP,1992-12-04 00:00:00,269
265,COUNTY OF HAWAII -  DEPT OF PUBLIC WORKS,rkwan,2004-10-26 14:08:56,1327
266,COUNTY OF HAWAII -  DEPT OF WATER SUPPLY,SUP,1992-04-08 00:00:00,266
267,COUNTY OF HAWAII -  FIRE DEPT,CJR,1995-04-19 00:00:00,410
268,COUNTY OF HAWAII -  POLICE DEPARTMENT,RKWAN,2003-05-21 09:43:50,1686
269,COUNTY of Kauai -  FIRE DEPT.,RKWAN,2004-10-13 17:13:39,223
270,COUNTY OF MAUI,,,225
271,COUNTY OF MAUI  -  POLICE DEPT,rkwan,1998-12-31 14:17:02,233
272,COUNTY OF MAUI -  BOARD OF WATER SUPPLY,rkwan,1998-10-26 15:13:03,2286
273,COUNTY OF MAUI  - DEPT OF PARKS AND RECREATION,rkwan,2001-07-11 09:40:19,1230
274,COUNTY OF MAUI  - DEPT OF WATER SUPPLY,rkwan,1998-10-30 16:51:51,263
275,COUNTY OF MAUI  - PUBLIC WORKS & WASTE MANAGEMENT,rkwan,2001-07-25 16:40:00,226
276,COUNTY OF MAUI - DEPT OF PUBLIC WORKS,SUP,1993-03-03 00:00:00,1702
277,COUNTY OF MAUI - FIRE PREVENTION BUREAU,rkwan,2001-07-11 09:51:42,1788
278,COUNTY OF MAUI - HIGHWAYS DIVISION,rkwan,2000-01-18 11:24:27,2374
279,COUNTY OF MAUI - MOLOKAI FIRE STATION #4,EJS,1996-02-29 00:00:00,2033
280,"COURTESY PONTIAC & AMC, JEEP",,,235
281,"COVIC CONSTRUCTIONS CO., INC",RSK,1996-02-07 00:00:00,2130
282,"COYNE MATTRESS CO, LTD.",,,236
283,CPB PROPERTIES,SUP,1994-06-24 00:00:00,1989
284,"CPM & F, INC.",,,237
285,"CUMMINS HAWAII DIESEL POWER, INC.",rkwan,1999-05-10 13:24:25,238
286,CUTTER MANAGEMENT,SUP,1993-04-05 00:00:00,1713
287,CUTTER MITSUBISHI,,,239
288,"CUTTER MOTOR CARS, LTD",RKWAN,2004-01-14 13:52:28,1164
289,"CUTTER OF MAUI, INC",RKWAN,1998-12-24 12:12:37,1661
290,D C ELECTRIC INC.,,,241
291,D/E HAWAII c/o EQUITABLE LIFE,EJS,1996-02-29 00:00:00,927
292,DAGS - DEPT OF EDUCATION,RKWAN,2002-12-19 08:56:40,2444
293,DAIO USA CORP,SUP,1991-12-22 00:00:00,1396
294,DAIRY ROAD PARTNERS,rkwan,2002-10-07 10:41:50,245
295,DALEICO RANCH,EJS,1996-02-29 00:00:00,246
296,DANA LABELS,,,1221
297,DANDI'S SERVICE,,,248
298,DANIEL P.S. FONG,,,247
299,"DAVENROYE ENTRPRISES, LTD",rkwan,2000-06-28 14:08:39,249
300,DAVID PICO,,,250
301,DCL - HONOLULU SHIP SUPPLY CO.,rkwan,2001-05-11 10:12:50,251
302,"DEEN MORITA PLUMBING, INC.",,,252
303,DEFENSE FINANCE AND ACCOUNTING SERVICE,rkwan,2000-05-01 10:52:23,1581
304,DEG LLC,rkwan,2006-07-05 12:51:11,1525
305,DEKALB PFIZER GENETICS,,,253
307,DEL MONTE CORPORATION,SUP,1992-05-13 00:00:00,1546
308,"DEL MONTE FRESH PRODUCE (HI), INC.",RKWAN,2003-11-18 11:57:07,1547
309,"DELTA AIRLINES, INC. - HNL",RKWAN,1998-08-26 13:24:04,1186
310,DELTA CONSTRUCTION CORPORATION,,,257
311,"DELUXE SHEET METAL WORKS, INC",,,1619
312,DENNIS & DAYLE KUROKAWA,SUP,1992-04-14 00:00:00,1429
313,DENNIS FUNAI,rkwan,1999-10-25 09:06:11,1293
314,DENNY'S REPAIR & SERVICE,SUP,1992-04-24 00:00:00,1498
315,DEPARTMENT OF DEFENSE,rkwan,1997-07-09 08:32:12,2109
316,Dept of Army - USA Corps of Engineer,RKWAN,2006-08-30 09:13:34,2518
317,DEPT OF LOGISTIC,RKWAN,1998-10-01 15:36:07,2272
318,DETROIT DIESEL CORP.,EJS,1996-03-01 00:00:00,1357
319,Devine Trust,rkwan,2005-06-20 09:30:31,2490
320,DI MAURO PROPERTIES,esadoyama,1998-12-28 10:03:37,2267
321,DIAMOND HEAD AMBASSADOR HOTEL,,,273
322,DIAMOND HEAD MEMORIAL PARK,,,274
323,DIAMOND HEAD PETROLEUM,RKWAN,2005-07-25 11:50:09,1943
324,DICK CHUN,rkwan,2001-10-12 09:03:26,2393
325,DILLINGHAM CONSTRUCTION PACIFIC LTD,rkwan,2002-05-29 10:40:25,2431
326,DILLINGHAM PARTNERS,SUP,1992-07-16 00:00:00,1642
327,DISCOUNT RENT-A-CAR,rkwan,1999-02-17 12:36:16,1687
328,DISCOVERY BAY,,,1233
329,DIVISION OF REFUSE COLLECTION AND DISPOSAL,rkwan,2000-03-21 13:14:33,2379
330,DMM CB HOLDINGS LLC,rkwan,2005-09-06 11:01:13,2498
331,"DOBBS INTERNATIONAL SERVICES,INC",,,280
332,"DOLE FOOD COMPANY HAWAII, INC",RKWAN,2002-11-07 09:32:10,151
333,DOLE K. YI (TONY),rkwan,2002-04-02 11:27:05,2387
334,DOLE PACKAGED FOODS CO.,rkwan,2000-06-13 16:27:47,281
335,DOLLAR RENT A CAR,rkwan,2000-07-25 08:50:21,2390
336,DON DETRICH,SUP,1993-04-05 00:00:00,1712
337,DON LUCAS HONDA WINDWARD,,,289
338,DON ROSSITER,EJS,1996-02-29 00:00:00,1444
339,Donald Graham-TRUSTEE OF THE ESTATE OF RUTH GRAHAM,knatarajan,2000-11-27 12:27:43,2310
340,"DON'S BUS CO., LTD.",,,290
341,DOROTHY TANAKA,SUP,1993-05-04 00:00:00,292
342,"DORVIN LEIS CO., INC",SUP,1992-02-20 00:00:00,1409
343,"DOTY EQUITIES, INC",rkwan,1999-10-21 16:58:50,296
344,DOUGLAS TAKATA EQUIPMENT,rkwan,1998-12-21 11:13:57,2311
345,DOWN TO EARTH NATURAL FOODSTORE,EJS,1996-02-29 00:00:00,2022
346,DTG OPERATION INC,rkwan,2005-05-27 11:09:10,2463
347,DTG Operations Inc DBA THRIFTY CAR RENTAL,rkwan,2006-07-27 15:40:26,2407
348,DURANT REALTY CORP,,,1349
349,DURATE & SONS BUILDING AND PLUMBING INC,RKWAN,1999-04-20 13:43:19,2337
350,"DUVAUCHELLE'S, INC.",SUP,1994-04-04 00:00:00,1948
351,E.E. BLACK LTD.,,,293
352,"E.K. FERNANDEZ SHOWS, INC.",,,294
353,"E.M. RIVERA & SONS, INC.",SUP,1991-11-14 00:00:00,295
354,"E.S. GLENWOOD, INC. DBA HIRANO STORE",rkwan,2000-01-18 14:57:40,1181
355,EARLE M. JORGENSEN CO.,SUP,1993-08-28 00:00:00,297
356,EASLEY CORPORATION,rkwan,2003-12-23 09:50:03,2461
357,East Bay Tire Company,RKWAN,2003-10-20 09:55:16,2455
358,"EAST MAUI IRRIGATION CO., LTD.",,,298
359,"ECONOMY PLUMBING & SHEETMETAL, INC",rkwan,1997-10-02 11:14:22,299
360,"ED DANG MACHINE WORKS, INC.",RSK,1995-09-06 00:00:00,300
361,ED'S AUTO REPAIR,,,301
362,EDSUNG FOOD SERVICE CO,SUP,1992-02-05 00:00:00,1394
363,EDWARD E. CROOK,EJS,1996-03-01 00:00:00,302
365,EDWARD G. & JOAN E. EVONUK,,,303
366,EDWARD R. KUWAYE & CO.,rkwan,2000-01-18 15:07:10,62
367,"EDWARDS & SANDS CONSTRUCTION CO, INC.",,,304
368,EDWIN KAGEHIRO,RKWAN,1998-07-28 09:52:55,2071
369,ELAINE O. LOO,,,305
370,ELEANOR PACK,RKWAN,2004-03-24 14:15:12,2466
371,"ELECTRICANS, INC",akatsura,1997-09-12 09:10:20,1464
372,ELEELE CHEVRON STATION,SUP,1994-07-20 00:00:00,2020
373,ELFRIEDE T. PUGA,SUP,1992-06-26 00:00:00,1467
374,ENDO PAINTING SERVICE,,,306
375,ENOKI PARTNERSHIP,rkwan,2000-05-17 09:17:09,2062
376,"EQUILON ENTERPRISES, LLC DBA SHELL OIL PRODUCTS US",rilaga,2005-02-17 09:03:06,2308
377,EQUITY-RICHARDS VENTURE,rkwan,1998-08-14 16:51:35,1351
378,"ERNEST K.F. LUM CONSTRUCTION, INC",RKWAN,2001-05-09 13:49:49,2405
379,ESTATE OF HARRY WEINBERG,SUP,1994-02-25 00:00:00,1939
380,ESTATE OF JAMES CAMPBELL,LNAGATOSHI,1996-08-07 15:15:10,1811
381,ESTATE OF MARY HELELA,,,1614
382,ESTATE OF SAMUEL MILLS DAMON,rkwan,1997-11-18 09:28:43,307
383,EVA WINONA PASCHOAL,EJS,1996-03-01 00:00:00,1462
384,"EXCELSIOR DIARY, INC",sli,2002-02-21 11:13:50,2343
385,"EXPERIMENT STATION, HSPA",SUP,1994-04-06 00:00:00,1961
386,"F & M CONTRACTORS, INC.",,,309
387,F. T. OPPERMAN COMPANY,cclark,1996-12-27 09:19:43,310
389,F.R. PETER GREENWELL,SUP,1994-03-07 00:00:00,1941
390,FAA HAWAII-PACIFIC SMO,ajohn,2000-01-27 11:56:57,323
391,"FAA, HNL AFS, HILO SFO",,,1544
392,"FAA, KAALA SFO",,,1545
393,FAIN FOOD INC.,rkwan,2004-06-01 09:43:08,737
394,"FAIR CONTRACTING CO., LTD.",akatsura,1997-09-12 08:57:56,320
395,"FASTOP PETROLEUM MARKETING, INC.",rkwan,2001-05-16 09:09:07,1264
396,FAY INVESTMENT ASSOCIATES,,,322
398,FAY INVESTMENTS ASSOCIATES,SUP,1992-08-06 00:00:00,1648
399,FDASA,CJR,1995-08-24 00:00:00,2104
400,FEDERAL AVIATION ADMINISTRATION,RKWAN,2001-08-03 09:46:21,1543
402,FEDERAL EMERGENCY MANAGEMENT AGENCY,rkwan,1999-03-15 09:19:04,2336
403,"FEDERATED DEPARTMENT STORES, INC.",jishihara,2004-02-11 15:48:23,647
404,"FHR (ml) hOTEL HOLDINGS, LLC",rkwan,2005-09-20 10:37:00,2068
405,FIFTY ASSOCIATION,EJS,1996-02-29 00:00:00,1572
406,FIRST DISCOUNT AUTO LEASING CORP,,,326
407,FIRST HAWAIIAN BANK,rilaga,2006-06-16 13:57:47,327
409,FIRST INTERSTATE BANK CENTER,EJS,1996-03-01 00:00:00,1367
410,FKS RENTALS & SALES,SUP,1992-09-25 00:00:00,328
411,"FLAMINGO ENTERPRISES, INC.",,,329
412,"FLAVORS OF HAWAII, INC.",,,330
413,FLEET AVIATION SPEC.,EJS,1996-02-29 00:00:00,331
