FacilityID,TankID,TankName,TankLocation,FederallyRegulated,FieldConstructed,EmergencyGenerator,AirportHydrant System,MultipleTanks,TankClosureDate,TankInstallationDate,CompartmentalizedUST,TankStatus,NumberOfCompartments,TankMaterialDescription,TankCorrosionProtectionSacrificialAnode,TankCorrosionProtectionImpressedCurrent,TankCorrosionProtectionCathodicNotRequired,TankCorrosionProtectionInteriorLining,TankCorrosionProtectionOther,TankCorrosionProtectionUnknown,TankSecondaryContainment,CertOfInstallation,CertOfInstallationOther
5010016,5010016-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-08-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010016,5010016-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-08-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010016,5010016-6,6,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-08-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010016,5010016-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-08-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
6010024,6010024-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-12-12,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
6010024,6010024-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2020-01-06,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
7010006,7010006-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-09-07,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
6010034,6010034-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2022-03-11,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1010025,1010025-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
3010016,3010016-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2001-01-01,1959-04-25,No,Closed (in place),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
6010018,6010018-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-06-26,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
6010018,6010018-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-07-16,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1010009,1010009-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2017-06-15,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
8010007,8010007-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-04-04,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
2010006,2010006-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-02-09,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
2010006,2010006-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-02-09,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
6010021,6010021-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
6010021,6010021-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
6010021,6010021-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010005,8010005-11,11,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010005,8010005-10,10,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010005,8010005-6,6,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010005,8010005-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010005,8010005-7,7,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010005,8010005-8,8,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010005,8010005-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010005,8010005-5,5,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010005,8010005-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010005,8010005-9,9,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010005,8010005-12,12,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010005,8010005-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
1010021,1010021-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2023-03-07,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010008,5010008-6,6,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-07-22,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010008,5010008-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-07-22,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010008,5010008-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-07-22,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010008,5010008-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-07-22,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010008,5010008-5,5,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-07-22,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010008,5010008-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-07-22,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
4010007,4010007-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-10-16,,No,Temporarily out of service,1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
4010007,4010007-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-10-16,,No,Temporarily out of service,1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010023,5010023-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-05-22,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010023,5010023-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-06-27,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
6010005,6010005-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2017-02-24,1992-01-01,No,Closed (removed from ground),1,Fiberglass reinforced plastic,No,No,No,No,No,Yes,Single wall,,
6010005,6010005-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2017-02-22,1992-01-01,No,Closed (removed from ground),1,Fiberglass reinforced plastic,No,No,No,No,No,Yes,Single wall,,
6010005,6010005-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2017-02-22,1992-01-01,No,Closed (removed from ground),1,Fiberglass reinforced plastic,No,No,No,No,No,Yes,Single wall,,
5010017,5010017-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-09-17,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
5010017,5010017-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-09-17,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
5010004,5010004-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-07-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010004,5010004-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-07-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010004,5010004-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-07-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
4010001,4010001-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2018-10-09,1997-11-01,No,Closed (removed from ground),1,Fiberglass reinforced plastic,No,No,No,No,Yes,No,Double-Walled,,
6010022,6010022-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,2021-04-14,No,Currently in use,1,Fiberglass reinforced plastic,No,No,No,No,Yes,No,Double-Walled,Installer certified by tank and piping manufacturers,
6010022,6010022-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,2021-04-14,No,Currently in use,1,Fiberglass reinforced plastic,No,No,No,No,Yes,No,Double-Walled,Installer certified by tank and piping manufacturers,
5010003,5010003-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (in place),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010003,5010003-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (in place),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010003,5010003-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (in place),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
7010004,7010004-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2017-05-28,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010030,5010030-5,5,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2023-09-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,No,Single wall,,
5010030,5010030-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2023-09-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,No,Single wall,,
5010030,5010030-6,6,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2023-09-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,No,Single wall,,
5010030,5010030-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2023-09-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,No,Single wall,,
5010030,5010030-7,7,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2023-09-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,No,Single wall,,
5010030,5010030-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2023-09-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,No,Single wall,,
5010030,5010030-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2023-09-18,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,No,Single wall,,
1010023,1010023-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2023-11-13,1989-12-01,No,Closed (in place),1,Fiberglass reinforced plastic,No,No,No,No,No,Yes,Single wall,,
8010011,8010011-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010011,8010011-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010011,8010011-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010011,8010011-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
8010017,8010017-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,,No,Closed (removed from ground),1,,No,No,No,No,No,Yes,Single wall,,
6010035,6010035-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2022-05-31,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
6010023,6010023-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,2020-02-01,No,Other,1,Fiberglass reinforced plastic,No,No,Yes,No,No,No,Double-Walled,,
6010023,6010023-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,2020-02-01,No,Other,1,Fiberglass reinforced plastic,No,No,Yes,No,No,No,Double-Walled,,
5010022,5010022-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-05-07,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010022,5010022-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-05-07,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
5010022,5010022-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2019-05-07,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000002,1000002-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1982-01-01,1956-01-01,No,Closed (in place),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000002,1000002-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1982-01-01,1956-01-01,No,Closed (in place),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000002,1000002-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1970-01-01,1956-01-01,No,Closed (in place),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000002,1000002-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1970-01-01,1956-01-01,No,Closed (in place),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000006,1000006-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2010-05-04,1988-05-08,No,Closed (removed from ground),1,Fiberglass reinforced plastic,No,No,Yes,No,No,No,Single wall,,
1000006,1000006-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2010-05-04,1988-05-08,No,Closed (removed from ground),1,Fiberglass reinforced plastic,No,No,Yes,No,No,No,Single wall,,
1000007,1000007-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1988-01-01,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000011,1000011-1,1,Underground (entirely buried),Yes,Unknown,Yes,Unknown,No,1995-04-04,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000011,1000011-2,2,Underground (entirely buried),Yes,Unknown,Yes,Unknown,No,,1995-04-01,No,Currently in use,1,Fiberglass reinforced plastic,No,No,Yes,No,No,No,Double-Walled,Manufacturer's installation checklists aave been completed,
1000012,1000012-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1990-07-25,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000012,1000012-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1990-07-25,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000012,1000012-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1990-07-25,,No,Closed (removed from ground),1,Fiberglass reinforced plastic,No,No,Yes,No,No,No,Single wall,,
1000012,1000012-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1990-07-25,,No,Closed (removed from ground),1,Fiberglass reinforced plastic,No,No,Yes,No,No,No,Single wall,,
1000012,1000012-5,5,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1990-07-25,,No,Closed (removed from ground),1,Fiberglass reinforced plastic,No,No,Yes,No,No,No,Single wall,,
1000012,1000012-6,6,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1990-07-25,,No,Closed (removed from ground),1,Fiberglass reinforced plastic,No,No,Yes,No,No,No,Single wall,,
1000012,1000012-8,8,Underground (entirely buried),Yes,Unknown,No,Unknown,No,2006-06-15,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000014,1000014-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1993-03-17,1971-01-15,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000014,1000014-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1993-03-17,1971-01-15,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000014,1000014-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1993-03-17,1971-01-15,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000014,1000014-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1993-03-17,1971-01-15,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000014,1000014-5,5,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1993-03-13,1971-01-15,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000014,1000014-6,6,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1993-03-13,1971-01-01,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000015,1000015-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1995-04-11,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000018,1000018-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1994-01-01,1972-01-03,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000018,1000018-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1994-01-01,1972-01-03,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000018,1000018-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1994-01-01,1972-01-03,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000018,1000018-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1994-01-01,1972-01-03,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000018,1000018-5,5,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1994-01-01,1970-01-03,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000018,1000018-6,6,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,1994-03-01,No,Currently in use,1,Fiberglass reinforced plastic,No,No,Yes,No,No,No,Double-Walled,Installer certified by tank and piping manufacturers,
1000018,1000018-7,7,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,1994-03-01,No,Currently in use,1,Fiberglass reinforced plastic,No,No,Yes,No,No,No,Double-Walled,Installer certified by tank and piping manufacturers,
1000018,1000018-8,8,Underground (entirely buried),Yes,Unknown,No,Unknown,No,,1994-01-01,No,Currently in use,1,Fiberglass reinforced plastic,No,No,Yes,No,No,No,Double-Walled,Installer certified by tank and piping manufacturers,
1000031,1000031-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1990-04-23,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000031,1000031-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1990-04-23,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000031,1000031-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1990-04-23,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000031,1000031-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1990-04-23,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000031,1000031-5,5,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1990-04-23,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000031,1000031-6,6,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1999-07-29,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000040,1000040-1,1,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1994-05-10,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000040,1000040-2,2,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1994-05-10,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000040,1000040-3,3,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1994-05-10,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000040,1000040-4,4,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1994-05-10,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
1000040,1000040-5,5,Underground (entirely buried),Yes,Unknown,No,Unknown,No,1994-05-10,,No,Closed (removed from ground),1,Asphalt coated or bare steel,No,No,No,No,No,Yes,Single wall,,
