FacilityID,Dispenser ID,Dispenser UDC,Dispenser UDCWall Type
4000616,4000616-1,Yes,Unknown
4000616,4000616-2,Yes,Unknown
4000622,4000622-1,Yes,Unknown
4000622,4000622-3,Yes,Unknown
4000622,4000622-2,Yes,Unknown
4000622,4000622-4,Yes,Unknown
4000650,4000650-1,Yes,Unknown
4000650,4000650-2,Yes,Unknown
4000650,4000650-3,Yes,Unknown
4000650,4000650-4,Yes,Unknown
4000656,4000656-2,Yes,Unknown
4000656,4000656-3,Yes,Unknown
4000656,4000656-1,Yes,Unknown
4000674,4000674-1,Yes,Unknown
4000674,4000674-2,Yes,Unknown
4000674,4000674-3,Yes,Unknown
1000018,1000018-1,Yes,Unknown
1000018,1000018-2,Yes,Unknown
1000018,1000018-3,Yes,Unknown
1000018,1000018-4,Yes,Unknown
4000678,4000678-1,Yes,Unknown
4000678,4000678-2,Yes,Unknown
4000678,4000678-3,Yes,Unknown
4000678,4000678-4,Yes,Unknown
4000678,4000678-5,Yes,Unknown
4000678,4000678-6,Yes,Unknown
1000075,1000075-1,Yes,Unknown
1000075,1000075-2,Yes,Unknown
1000075,1000075-3,Yes,Unknown
1000075,1000075-4,Yes,Unknown
1000098,1000098-1,Yes,Unknown
1000098,1000098-2,Yes,Unknown
1000098,1000098-3,Yes,Unknown
1000098,1000098-4,Yes,Unknown
1000106,1000106-1,Yes,Unknown
1000106,1000106-2,Yes,Unknown
1000106,1000106-3,Yes,Unknown
1000106,1000106-4,Yes,Unknown
1000109,1000109-1,Yes,Unknown
1000109,1000109-2,Yes,Unknown
1000109,1000109-3,Yes,Unknown
1000109,1000109-4,Yes,Unknown
1000111,1000111-1,Yes,Unknown
1000111,1000111-2,Yes,Unknown
1000111,1000111-3,Yes,Unknown
1000111,1000111-4,Yes,Unknown
6000651,6000651-1,Yes,Unknown
6000651,6000651-2,Yes,Unknown
6000651,6000651-3,Yes,Unknown
6000651,6000651-4,Yes,Unknown
6000651,6000651-5,Yes,Unknown
3005511,3005511-1,Yes,Unknown
3000071,3000071-1,Yes,Unknown
3000071,3000071-2,Yes,Unknown
3000071,3000071-3,Yes,Unknown
3000071,3000071-4,Yes,Unknown
6000731,6000731-2,Yes,Unknown
6000731,6000731-1,Yes,Unknown
6000731,6000731-3,Yes,Unknown
6000731,6000731-4,Yes,Unknown
8000648,8000648-1,Yes,Unknown
8000648,8000648-2,Yes,Unknown
8000648,8000648-3,Yes,Unknown
8000648,8000648-4,Yes,Unknown
8000648,8000648-5,Yes,Unknown
3000165,3000165-1,Yes,Unknown
3000165,3000165-2,Yes,Unknown
3000165,3000165-3,Yes,Unknown
3000165,3000165-4,Yes,Unknown
1000348,1000348-1,Yes,Unknown
1000348,1000348-2,Yes,Unknown
1000348,1000348-4,Yes,Unknown
1000348,1000348-5,Yes,Unknown
1000348,1000348-3,Yes,Unknown
5000017,5000017-3,Yes,Unknown
5000017,5000017-1,Yes,Unknown
5000017,5000017-2,Yes,Unknown
5000017,5000017-4,Yes,Unknown
5000021,5000021-1,Yes,Unknown
5000021,5000021-2,Yes,Unknown
3000202,3000202-1,Yes,Unknown
3000202,3000202-2,Yes,Unknown
3000202,3000202-3,Yes,Unknown
5000035,5000035-1,Yes,Unknown
5000035,5000035-2,Yes,Unknown
5000035,5000035-4,Yes,Unknown
5000035,5000035-5,Yes,Unknown
5000035,5000035-3,Yes,Unknown
5000049,5000049-1,Yes,Unknown
5000049,5000049-4,Yes,Unknown
5000049,5000049-2,Yes,Unknown
5000049,5000049-3,Yes,Unknown
5000073,5000073-2,Yes,Unknown
5000073,5000073-4,Yes,Unknown
5000073,5000073-1,Yes,Unknown
5000073,5000073-3,Yes,Unknown
5000077,5000077-1,Yes,Unknown
5000077,5000077-2,Yes,Unknown
5000077,5000077-3,Yes,Unknown
5000077,5000077-4,Yes,Unknown
3000248,3000248-1,Yes,Unknown
3000248,3000248-2,Yes,Unknown
3000248,3000248-3,Yes,Unknown
3000248,3000248-4,Yes,Unknown
3000248,3000248-5,Yes,Unknown
3000248,3000248-6,Yes,Unknown
5000087,5000087-1,Yes,Unknown
5000087,5000087-2,Yes,Unknown
5000087,5000087-3,Yes,Unknown
5000087,5000087-4,Yes,Unknown
5000087,5000087-5,Yes,Unknown
5000087,5000087-6,Yes,Unknown
5000093,5000093-1,Yes,Unknown
5000093,5000093-5,Yes,Unknown
5000093,5000093-4,Yes,Unknown
5000093,5000093-2,Yes,Unknown
5000093,5000093-3,Yes,Unknown
5000097,5000097-4,Yes,Unknown
5000097,5000097-1,Yes,Unknown
5000097,5000097-2,Yes,Unknown
5000097,5000097-3,Yes,Unknown
5003757,5003757-1,Yes,Unknown
5003757,5003757-2,Yes,Unknown
5003757,5003757-3,Yes,Unknown
5003757,5003757-4,Yes,Unknown
5000114,5000114-1,Yes,Unknown
5000114,5000114-2,Yes,Unknown
5000114,5000114-3,Yes,Unknown
5000114,5000114-4,Yes,Unknown
5000114,5000114-5,Yes,Unknown
5000114,5000114-6,Yes,Unknown
7001887,7001887-1,Yes,Unknown
7001887,7001887-2,Yes,Unknown
7001887,7001887-3,Yes,Unknown
7000065,7000065-1,Yes,Unknown
7000065,7000065-2,Yes,Unknown
7000065,7000065-3,Yes,Unknown
7000065,7000065-4,Yes,Unknown
7000065,7000065-5,Yes,Unknown
7000065,7000065-6,Yes,Unknown
5000252,5000252-1,Yes,Unknown
5000252,5000252-2,Yes,Unknown
5000252,5000252-3,Yes,Unknown
5000252,5000252-4,Yes,Unknown
1000595,1000595-2,Yes,Unknown
1000595,1000595-3,Yes,Unknown
1000595,1000595-1,Yes,Unknown
5000270,5000270-1,Yes,Unknown
7000102,7000102-1,Yes,Unknown
7000102,7000102-4,Yes,Unknown
7000102,7000102-3,Yes,Unknown
7000102,7000102-2,Yes,Unknown
7000123,7000123-2,Yes,Unknown
7000123,7000123-5,Yes,Unknown
7000123,7000123-3,Yes,Unknown
7000123,7000123-1,Yes,Unknown
7000123,7000123-4,Yes,Unknown
7000123,7000123-6,Yes,Unknown
5000329,5000329-1,Yes,Unknown
5000329,5000329-2,Yes,Unknown
5000329,5000329-3,Yes,Unknown
5000329,5000329-4,Yes,Unknown
3000325,3000325-1,Yes,Unknown
3000325,3000325-2,Yes,Unknown
3000325,3000325-3,Yes,Unknown
5000162,5000162-1,Yes,Unknown
5000162,5000162-2,Yes,Unknown
5000162,5000162-3,Yes,Unknown
5000162,5000162-4,Yes,Unknown
3000337,3000337-1,Yes,Unknown
3000337,3000337-2,Yes,Unknown
3000337,3000337-3,Yes,Unknown
3000337,3000337-4,Yes,Unknown
7000001,7000001-1,Yes,Unknown
7000001,7000001-2,Yes,Unknown
1000509,1000509-1,Yes,Unknown
7000011,7000011-1,Yes,Unknown
7000011,7000011-2,Yes,Unknown
7000011,7000011-3,Yes,Unknown
7000011,7000011-4,Yes,Unknown
7000011,7000011-5,Yes,Unknown
5000201,5000201-4,Yes,Unknown
5000201,5000201-5,Yes,Unknown
5000201,5000201-6,Yes,Unknown
5000201,5000201-1,Yes,Unknown
5000201,5000201-3,Yes,Unknown
5000201,5000201-2,Yes,Unknown
3000372,3000372-1,Yes,Unknown
3000372,3000372-2,Yes,Unknown
3000372,3000372-3,Yes,Unknown
3000372,3000372-4,Yes,Unknown
3000374,3000374-1,Yes,Unknown
3000374,3000374-2,Yes,Unknown
3000374,3000374-3,Yes,Unknown
5000211,5000211-1,Yes,Unknown
5000211,5000211-2,Yes,Unknown
5000211,5000211-3,Yes,Unknown
5000211,5000211-4,Yes,Unknown
7002008,7002008-1,Yes,Unknown
7002008,7002008-2,Yes,Unknown
7002008,7002008-3,Yes,Unknown
7002008,7002008-4,Yes,Unknown
5000360,5000360-1,Yes,Unknown
5000360,5000360-2,Yes,Unknown
5000360,5000360-3,Yes,Unknown
5000360,5000360-4,Yes,Unknown
5000360,5000360-5,Yes,Unknown
5000362,5000362-1,Yes,Unknown
5000362,5000362-2,Yes,Unknown
5000362,5000362-3,Yes,Unknown
5000362,5000362-4,Yes,Unknown
5000362,5000362-5,Yes,Unknown
5000362,5000362-6,Yes,Unknown
5000362,5000362-6,Yes,Unknown
5000362,5000362-5,Yes,Unknown
5000363,5000363-1,Yes,Unknown
5000363,5000363-2,Yes,Unknown
5000363,5000363-3,Yes,Unknown
5000363,5000363-4,Yes,Unknown
5000363,5000363-5,Yes,Unknown
5000363,5000363-6,Yes,Unknown
5000363,5000363-7,Yes,Unknown
7000200,7000200-1,Yes,Unknown
7000200,7000200-2,Yes,Unknown
7000200,7000200-3,Yes,Unknown
7000200,7000200-4,Yes,Unknown
5000376,5000376-1,Yes,Unknown
5000376,5000376-2,Yes,Unknown
5000376,5000376-3,Yes,Unknown
7000208,7000208-1,Yes,Unknown
7000208,7000208-2,Yes,Unknown
7000208,7000208-3,Yes,Unknown
7000208,7000208-4,Yes,Unknown
1000727,1000727-1,Yes,Unknown
1000727,1000727-2,Yes,Unknown
3000596,3000596-1,Yes,Unknown
3000596,3000596-2,Yes,Unknown
3000596,3000596-4,Yes,Unknown
3000596,3000596-3,Yes,Unknown
7000267,7000267-1,Yes,Unknown
7000267,7000267-2,Yes,Unknown
6001281,6001281-1,Yes,Unknown
6001281,6001281-2,Yes,Unknown
7000330,7000330-1,Yes,Unknown
7000330,7000330-2,Yes,Unknown
7000330,7000330-3,Yes,Unknown
7000332,7000332-1,Yes,Unknown
7000332,7000332-2,Yes,Unknown
7000332,7000332-3,Yes,Unknown
7000332,7000332-4,Yes,Unknown
7000333,7000333-1,Yes,Unknown
7000333,7000333-2,Yes,Unknown
7000333,7000333-3,Yes,Unknown
5000533,5000533-1,Yes,Unknown
5000533,5000533-2,Yes,Unknown
5000533,5000533-3,Yes,Unknown
5000533,5000533-4,Yes,Unknown
5000533,5000533-5,Yes,Unknown
5000535,5000535-1,Yes,Unknown
5000535,5000535-2,Yes,Unknown
5000535,5000535-3,Yes,Unknown
5000535,5000535-4,Yes,Unknown
5000535,5000535-5,Yes,Unknown
5000535,5000535-6,Yes,Unknown
5000535,5000535-7,Yes,Unknown
3000711,3000711-1,Yes,Unknown
3000715,3000715-1,Yes,Unknown
3000715,3000715-2,Yes,Unknown
3000715,3000715-3,Yes,Unknown
3000715,3000715-4,Yes,Unknown
7002286,7002286-1,Yes,Unknown
7002286,7002286-2,Yes,Unknown
7002286,7002286-3,Yes,Unknown
7002286,7002286-4,Yes,Unknown
5000647,5000647-1,Yes,Unknown
5000647,5000647-2,Yes,Unknown
5000647,5000647-3,Yes,Unknown
5000647,5000647-4,Yes,Unknown
2000022,2000022-1,Yes,Unknown
2000022,2000022-2,Yes,Unknown
2000022,2000022-3,Yes,Unknown
2000022,2000022-4,Yes,Unknown
2000022,2000022-5,Yes,Unknown
5000684,5000684-1,Yes,Unknown
5000684,5000684-2,Yes,Unknown
5000684,5000684-3,Yes,Unknown
5000684,5000684-4,Yes,Unknown
2000028,2000028-1,Yes,Unknown
2000028,2000028-2,Yes,Unknown
2000028,2000028-3,Yes,Unknown
2000028,2000028-4,Yes,Unknown
5000688,5000688-1,Yes,Unknown
5000688,5000688-2,Yes,Unknown
5000710,5000710-1,Yes,Unknown
2000057,2000057-1,Yes,Unknown
2000057,2000057-2,Yes,Unknown
5000726,5000726-1,Yes,Unknown
5000726,5000726-2,Yes,Unknown
5000726,5000726-3,Yes,Unknown
2000079,2000079-1,Yes,Unknown
2000079,2000079-2,Yes,Unknown
2000079,2000079-3,Yes,Unknown
2000095,2000095-1,Yes,Unknown
2000095,2000095-2,Yes,Unknown
7000585,7000585-1,Yes,Unknown
7000585,7000585-2,Yes,Unknown
7000585,7000585-3,Yes,Unknown
5000767,5000767-1,Yes,Unknown
5000767,5000767-3,Yes,Unknown
5000767,5000767-4,Yes,Unknown
5000767,5000767-2,Yes,Unknown
3000936,3000936-1,Yes,Unknown
3000936,3000936-2,Yes,Unknown
7000624,7000624-1,Yes,Unknown
7000624,7000624-2,Yes,Unknown
7000624,7000624-3,Yes,Unknown
7000624,7000624-4,Yes,Unknown
8000066,8000066-2,Yes,Unknown
8000066,8000066-1,Yes,Unknown
2000680,2000680-1,Yes,Unknown
2000680,2000680-2,Yes,Unknown
2000680,2000680-3,Yes,Unknown
9000146,9000146-1,Yes,Unknown
9000146,9000146-2,Yes,Unknown
9000146,9000146-3,Yes,Unknown
9000146,9000146-4,Yes,Unknown
9000263,9000263-1,Yes,Unknown
9000263,9000263-2,Yes,Unknown
9000423,9000423-1,Yes,Unknown
9000423,9000423-2,Yes,Unknown
9000423,9000423-3,Yes,Unknown
9000423,9000423-4,Yes,Unknown
9000655,9000655-1,Yes,Unknown
9000655,9000655-3,Yes,Unknown
9000655,9000655-2,Yes,Unknown
9000672,9000672-1,Yes,Unknown
9000672,9000672-2,Yes,Unknown
9000672,9000672-3,Yes,Unknown
9000672,9000672-4,Yes,Unknown
5003398,5003398-1,Yes,Unknown
5003398,5003398-2,Yes,Unknown
9000822,9000822-1,Yes,Unknown
9000822,9000822-2,Yes,Unknown
9000822,9000822-3,Yes,Unknown
9000822,9000822-4,Yes,Unknown
9000867,9000867-1,Yes,Unknown
9000867,9000867-2,Yes,Unknown
9000867,9000867-3,Yes,Unknown
9000867,9000867-4,Yes,Unknown
9000867,9000867-5,Yes,Unknown
9000867,9000867-6,Yes,Unknown
9000891,9000891-1,Yes,Unknown
9000891,9000891-2,Yes,Unknown
9000916,9000916-1,Yes,Unknown
9000916,9000916-2,Yes,Unknown
9000916,9000916-3,Yes,Unknown
9000916,9000916-4,Yes,Unknown
9000916,9000916-5,Yes,Unknown
9000916,9000916-6,Yes,Unknown
9000916,9000916-7,Yes,Unknown
9000916,9000916-8,Yes,Unknown
7000028,7000028-3,Yes,Unknown
7000028,7000028-1,Yes,Unknown
7000028,7000028-4,Yes,Unknown
7000028,7000028-2,Yes,Unknown
6010022,6010022-2,Yes,Unknown
6010022,6010022-1,Yes,Unknown
