ï»¿OBJECTID,LUSTKEY,DERRID,PROJECTMAN,NOTIFICATI,DATECLOSE,CLOSURETYPE,DEPTHGW,GWFLOWDIR1,GWFLOWDIR2,CAPSOILTRE,CAPH2OTREA,PSTFUNDSTA,PSTFUNDPER,DEDUCTIBLE,FACILITYID,NFAFORM,MAPLABEL,BLUESTAKES,ENVCOV,RESIDUALCONTAMMAP
26,25,JCU,Michael Pecorelli,9/8/1995 12:00:00 AM,8/16/2004 12:00:00 AM,< Tier 1,8.5-12,SE,,,,,0.0,0.0,34,Tier 1 Worksheet w/ Supp. Info,JCU - MAVERIK #144 TREMONTON,No,No,No
27,26,IAS,[Pete Stewart],6/4/1993 12:00:00 AM,8/2/1995 12:00:00 AM,Int. CO Files to UST,,,,,,,0.0,0.0,37,<blank>,IAS - CARRIAGE STOP,No,No,No
28,27,KBN,Michael Pecorelli,6/18/1997 12:00:00 AM,9/11/1998 12:00:00 AM,< Tier 1,9.6-10.0 ft,S,SE,,,Eligible (100),100.0,10000.0,38,Tier 1 Worksheet,KBN - BOX ELDER SCHOOL DISTRICT TREMONTON,No,No,No
29,28,FUQ,[Shelly Quick],6/12/1990 12:00:00 AM,4/11/1995 12:00:00 AM,<blank>,,,,,,,,,39,<blank>,FUQ - BOX ELDER SCHOOL DISTRICT BRIGHAM CITY,No,No,No
30,29,JDL,[Dale Urban],9/22/1995 12:00:00 AM,4/3/1996 12:00:00 AM,<blank>,,,,,,,,,40,Closeout Checklist,"JDL - CENTRAL MILLING CO., INC.",No,No,No
31,30,ICU,[Pete Stewart],6/4/1993 12:00:00 AM,12/30/1994 12:00:00 AM,<blank>,,,,,,,,,41,<blank>,ICU - HYRUM GLASS,No,No,No
32,31,HFL,[Pete Stewart],11/18/1991 12:00:00 AM,2/25/1992 12:00:00 AM,<blank>,,,,,,,,,45,<blank>,HFL - COCA-COLA OF LOGAN,No,No,No
33,32,IAA,[Pete Stewart],2/22/1993 12:00:00 AM,7/10/1995 12:00:00 AM,<blank>,,,,,,,,,46,<blank>,IAA - CONTINENTAL BAKING,No,No,No
34,33,FQB,[Dale Urban],4/5/1990 12:00:00 AM,8/20/2002 12:00:00 AM,< Tier 1,7.5,,,,,,,,47,Tier 1 Worksheet w/ Supp. Info,FQB - COOK TRANSPORTATION CO,No,No,No
35,3841,LBG,UST,9/22/1999 12:00:00 AM,9/22/1999 12:00:00 AM,< RCL/MCL,,,,0.0,0.0,,0.0,0.0,48,UST NFA,LBG - WOODRUFF CORNER STORE,No,No,No
36,34,FRF,[Shelly Quick],4/18/1990 12:00:00 AM,11/2/1994 12:00:00 AM,<blank>,,,,,,,,,51,<blank>,FRF - CHEVRON #7-3004,No,No,No
37,35,FZO,[Dale Urban],8/8/1990 12:00:00 AM,12/1/2003 12:00:00 AM,< Tier 1,9 ft,W,SW,,,Ineligible (0),0.0,0.0,52,Tier 1 Worksheet,FZO - NYLA'S CHEVRON,No,No,No
38,4884,MKJ,Michael Pecorelli,9/8/2008 12:00:00 AM,5/27/2009 12:00:00 AM,< Tier 1,12.3-14.7 ft,W,,0.0,0.0,,0.0,0.0,52,Tier 1 Worksheet w/ Supp. Info,MKJ - NYLA'S CHEVRON,No,No,No
39,5973,NZO,UST,12/22/2020 12:00:00 AM,1/5/2021 12:00:00 AM,Int. CO Files to UST,,,,0.0,0.0,,0.0,0.0,52,UST NFA,NZO - NYLA'S CHEVRON,No,No,No
40,36,HFK,[Pete Stewart],11/21/1991 12:00:00 AM,5/25/1995 12:00:00 AM,<blank>,,,,,,,,,55,<blank>,HFK - DON LIMBS SERVICE,No,No,No
41,37,JIV,[Dale Urban],4/2/1993 12:00:00 AM,7/11/1996 12:00:00 AM,Int. CO Files to LUST,~3-5ft,,,,,,,,57,<Blank>,JIV - HAYCOCK PETROLEUM,No,No,No
42,38,FNY,[Dale Urban],2/28/1990 12:00:00 AM,4/10/2000 12:00:00 AM,< Tier 1,8-9 ft,NW,NW,,,,,,58,Tier 1 Worksheet,FNY - LW'S CONOCO,No,No,No
43,5582,NKH,Porter Henze,5/19/2016 12:00:00 AM,5/9/2022 12:00:00 AM,Transfer - DWQ,,,,0.0,0.0,,0.0,0.0,59,Internal Closeout Memo,NKH - JBS CARRIERS  INC.,No,No,No
44,3860,LBZ,[Dale Urban],11/8/1999 12:00:00 AM,3/20/2001 12:00:00 AM,< Tier 1,5-6 ft,,,20.0,0.0,,0.0,0.0,59,Tier 1 Worksheet,LBZ - JBS CARRIERS  INC.,No,No,No
45,4509,LXP,[Dale Urban],11/17/2004 12:00:00 AM,2/1/2005 12:00:00 AM,Transfer - DWQ,,,,0.0,0.0,,0.0,0.0,59,Internal Closeout Memo,LXP - JBS CARRIERS  INC.,No,No,No
46,6179,OHQ,Eileen Brennan,5/1/2023 12:00:00 AM,7/25/2023 12:00:00 AM,Int. CO Files to LUST,,,,0.0,0.0,,0.0,0.0,59,Internal Closeout Memo,OHQ - JBS CARRIERS  INC.,No,No,No
47,39,JHK,[Pete Stewart],1/2/1996 12:00:00 AM,2/1/1996 12:00:00 AM,<blank>,12ft,S,,,,,0.0,0.0,60,Tier 1 Worksheet,JHK - EARLS' GROCERY,No,No,No
48,42,IPJ,[Pete Stewart],6/13/1994 12:00:00 AM,10/19/1995 12:00:00 AM,<blank>,70ft,,,,,,0.0,0.0,64,<blank>,IPJ - FLYING J,No,No,No
49,43,GRN,[Dale Urban],4/2/1991 12:00:00 AM,10/8/1998 12:00:00 AM,< Tier 1,10-15 ft,E,E,,,,0.0,0.0,65,Tier 1 Worksheet,GRN - FLYING J - SMITHFIELD,No,No,No
50,3872,LCK,[Dale Urban],12/9/1999 12:00:00 AM,2/9/2006 12:00:00 AM,< Tier 1,>50 ',,,0.0,0.0,,0.0,0.0,65,Tier 1 Worksheet,LCK - FLYING J - SMITHFIELD,No,No,No
51,44,III,Michael Pecorelli,10/22/1993 12:00:00 AM,2/9/1998 12:00:00 AM,< RCL,8ft,W,NW,,,,0.0,0.0,66,Tier 1 Worksheet,III - JARDINE'S TEXACO,No,No,No
52,45,GDX,[Shelly Quick],9/28/1990 12:00:00 AM,11/30/1995 12:00:00 AM,<blank>,>50ft,,,,,,,,67,<blank>,GDX - FRANK'S SERVICE,No,No,No
53,4236,LOZ,Hillary Mason,7/29/2002 12:00:00 AM,3/21/2003 12:00:00 AM,< Tier 1,8-16ft,,,0.0,0.0,,0.0,0.0,68,Tier 1 Worksheet w/ Supp. Info,LOZ - FRONK CHEVROLET CO.,No,No,No
54,3585,KSE,[Dale Urban],10/22/1998 12:00:00 AM,5/13/1999 12:00:00 AM,< Tier 1,Unknown,,,0.0,0.0,,0.0,0.0,72,Tier 1 Worksheet,KSE - GOODYEAR TIRE CENTER 5298,No,No,No
55,46,FZL,[Kimberly Shelley],8/6/1990 12:00:00 AM,12/5/1995 12:00:00 AM,<blank>,10-16ft,W,,,,,,,76,<blank>,FZL - HANSEN CHEV and OLDS,No,No,No
56,47,ITI,[Jim Martin],11/1/1994 12:00:00 AM,5/22/1995 12:00:00 AM,<blank>,,,,,,,0.0,0.0,78,<blank>,ITI - FAST STOP 1122,No,No,No
57,3800,GOT,Hillary Mason,2/6/1991 12:00:00 AM,3/23/2005 12:00:00 AM,Transfer - DSHW,,,,0.0,0.0,,0.0,0.0,79,Internal Closeout Memo,"GOT - HERFF JONES, INC.",No,No,No
58,48,JLU,UST,4/25/1996 12:00:00 AM,4/25/1996 12:00:00 AM,< RCL/MCL,,,,,,,,,81,UST NFA,JLU - JACKS TIRE and OIL INC.,No,No,No
59,49,GGK,Hillary Mason,11/5/1990 12:00:00 AM,1/19/1999 12:00:00 AM,< Tier 1,>15ft,S,SE,,,,,,84,Tier 1 Worksheet w/ Supp. Info,GGK - MARLINS MAINSTREET SERVICE,No,No,No
60,4143,LLS,[J.D. Keetley],11/6/2001 12:00:00 AM,11/30/2010 12:00:00 AM,< Tier 1,   7,W,,0.0,0.0,Eligible (100),100.0,10000.0,86,Tier 1 Worksheet,LLS - NEW LOGAN MARKET,No,No,No
61,5825,NTU,Kevin Beery,12/13/2018 12:00:00 AM,6/30/2021 12:00:00 AM,< Tier 1,7,W,SW,0.0,0.0,Eligible (100),100.0,10000.0,86,Tier 1 Worksheet,NTU - NEW LOGAN MARKET,No,No,No
62,50,IBZ,[Pete Stewart],4/27/1993 12:00:00 AM,6/3/1994 12:00:00 AM,<blank>,9ft,W,,,,,0.0,0.0,87,<blank>,IBZ - KARREN CONOCO,No,No,No
63,3870,LCI,Kevin Beery,12/3/1999 12:00:00 AM,3/6/2000 12:00:00 AM,< RCL,8ft,,,0.0,0.0,,0.0,0.0,87,Internal Closeout Memo,LCI - KARREN CONOCO,No,No,No
64,52,FLM,[Dale Urban],1/5/1990 12:00:00 AM,12/28/1998 12:00:00 AM,< Tier 1,9,,,,,,,,92,Tier 1 Worksheet,FLM - LAKES GARAGE,No,No,No
65,53,FAB,[Dale Urban],2/11/1988 12:00:00 AM,11/1/1998 12:00:00 AM,Int. CO Files to LUST,16.09-17.5ft,E,SE,,,Ineligible (0),0.0,0.0,95,Internal Closeout Memo,FAB - KREY'S SERVICE LLC,No,No,No
66,54,JWE,Michael Pecorelli,8/28/1996 12:00:00 AM,9/18/2018 12:00:00 AM,> Tier 1,18-23,SE,,,,Eligible (100),100.0,10000.0,95,Tier 1 Worksheet w/ Supp. Info,JWE - KREY'S SERVICE LLC,No,No,No
67,55,FSG,[Dale Urban],5/3/1990 12:00:00 AM,3/17/1997 12:00:00 AM,<blank>,,,,,,,,,97,Tier 1 Worksheet,FSG - LEGRAND JOHNSON SOUTH MAIN SHOP,No,No,No
68,56,GIJ,[Dale Urban],11/20/1990 12:00:00 AM,11/7/1996 12:00:00 AM,< RCL/MCL,1ft,SW,,,,,,,98,Tier 1 Worksheet,GIJ - CONSOLIDATED FREIGHTWAYS,No,No,No
69,57,GLE,[Shelly Quick],12/7/1990 12:00:00 AM,4/11/1995 12:00:00 AM,<blank>,,,,,,,,,102,<blank>,GLE - LOGAN CITY SERVICE CENTER,No,No,No
70,58,JYA,UST,1/28/1997 12:00:00 AM,1/28/1997 12:00:00 AM,< RCL/MCL,,,,,,,,,113,UST NFA,JYA - LOGAN STOREHOUSE,No,No,No
71,59,GZN,[Dale Urban],7/23/1991 12:00:00 AM,7/2/1998 12:00:00 AM,< Tier 1,9,NE,NE,,,,,,115,Tier 1 Worksheet,GZN - MILLER BROTHERS,No,No,No
72,60,FLV,Kevin Beery,1/9/1990 12:00:00 AM,10/22/1999 12:00:00 AM,Internal Close-out,12ft,W,,,,,0.0,0.0,116,Internal Closeout Memo,FLV - KARREN CONOCO SERVICE,No,No,No
73,61,HYO,[Lenora Bishop],1/12/1992 12:00:00 AM,3/5/1998 12:00:00 AM,< RCL/MCL,~10fft,W,,,,,,,116,Tier 1 Worksheet,HYO - KARREN CONOCO SERVICE,No,No,No
74,62,JWV,Kevin Beery,12/31/1996 12:00:00 AM,11/14/2006 12:00:00 AM,< RCL/MCL,10,W,,670.0,0.0,Eligible (100),100.0,10000.0,116,Tier 1 Worksheet w/ Supp. Info,JWV - KARREN CONOCO SERVICE,No,No,No
75,63,JYU,UST,3/12/1997 12:00:00 AM,3/12/1997 12:00:00 AM,< RCL/MCL,,,,,,,,,118,UST NFA,JYU - M and M SERVICE,No,No,No
76,5214,MVW,Hong-Lei Tao,10/20/2011 12:00:00 AM,6/21/2022 12:00:00 AM,< Tier 1,>45 ft,,,2556.0,0.0,Eligible (100),100.0,10000.0,122,Tier 1 Worksheet,MVW - Fast Stop 1109 Inc,No,No,No
77,3463,KNC,Michael Pecorelli,6/24/1998 12:00:00 AM,12/10/1998 12:00:00 AM,< Tier 1,> 20,SW,SW,0.0,0.0,,0.0,0.0,122,Tier 1 Worksheet,KNC - Fast Stop 1109 Inc,No,No,No
78,4278,LQL,Michael Pecorelli,12/5/2002 12:00:00 AM,4/2/2003 12:00:00 AM,< Tier 1,>20 ft,SW,,0.0,0.0,,0.0,0.0,122,Tier 1 Worksheet w/ Supp. Info,LQL - Fast Stop 1109 Inc,No,No,No
79,5418,NDU,Hong-Lei Tao,7/14/2014 12:00:00 AM,6/21/2022 12:00:00 AM,< Tier 1,>25 ft,,,100.0,0.0,Eligible (100),100.0,10000.0,122,Tier 1 Worksheet,NDU - Fast Stop 1109 Inc,No,No,No
80,5349,NBD,Hong-Lei Tao,7/8/2013 12:00:00 AM,6/21/2022 12:00:00 AM,< Tier 1,>25 ft,,,2556.0,0.0,,,0.0,122,Tier 1 Worksheet,NBD - Fast Stop 1109 Inc,No,No,No
81,64,HAK,Kevin Beery,8/15/1991 12:00:00 AM,3/15/1999 12:00:00 AM,< Tier 1,Unknown,,,,,,0.0,0.0,124,Tier 1 Worksheet,HAK - CACHE VALLEY CHEESE,No,No,No
82,65,GPO,Kevin Beery,3/1/1991 12:00:00 AM,11/5/1999 12:00:00 AM,< RCL,,,,,,,0.0,0.0,126,Tier 1 Worksheet,GPO - MINIT LUBE #1021-1,No,No,No
83,66,FPF,[Shelly Quick],3/21/1990 12:00:00 AM,4/11/1995 12:00:00 AM,<blank>,,,,,,,,,128,<blank>,FPF - U.S.WEST 672139,No,No,No
84,67,KFW,UST,9/22/1997 12:00:00 AM,9/26/1997 12:00:00 AM,< RCL/MCL,,,,,,,,,130,UST NFA,KFW - U.S.WEST 672638,No,No,No
85,68,FAO,[Alex Pashley],3/13/1987 12:00:00 AM,10/13/1988 12:00:00 AM,<blank>,,,,,,,,,131,<blank>,FAO - ATK LAUNCH SYSTEMS,No,No,No
86,69,FJC,[Dale Urban],11/14/1989 12:00:00 AM,10/6/1998 12:00:00 AM,< Tier 1,175 ft.,SW,,,,,,,131,Tier 1 Worksheet,FJC - ATK LAUNCH SYSTEMS,No,No,No
87,5714,NPM,UST,11/3/2017 12:00:00 AM,11/15/2017 12:00:00 AM,< ISL,,,,0.0,0.0,,,0.0,131,UST NFA,NPM - ATK LAUNCH SYSTEMS,No,No,No
88,71,HLM,[Pete Stewart],3/27/1992 12:00:00 AM,2/18/1993 12:00:00 AM,<blank>,,,,,,,,,133,<blank>,HLM - TOOL LIQUIDATOR,No,No,No
89,72,HML,[Pete Stewart],4/13/1992 12:00:00 AM,5/13/1992 12:00:00 AM,<blank>,600ft,,,,,,0.0,0.0,134,<blank>,HML - MOUNTAIN MEADOW CAMP,No,No,No
90,3974,LFU,Kevin Beery,6/28/2000 12:00:00 AM,7/20/2000 12:00:00 AM,< Tier 1,5-6 ft.,SW,,0.0,0.0,,0.0,0.0,136,Tier 1 Worksheet,LFU - QUESTAR GAS,No,No,No
91,73,KGV,Hillary Mason,11/10/1997 12:00:00 AM,2/11/1998 12:00:00 AM,< Tier 1,approx 70 feet,E,E,,,,,,139,Tier 1 Worksheet,"KGV - NUCOR STEEL, DIV OF NUCOR CORP.",No,No,No
92,74,HIC,[Pete Stewart],1/8/1992 12:00:00 AM,2/7/1992 12:00:00 AM,<blank>,,,,,,,0.0,0.0,141,<blank>,HIC - PARDISCO,No,No,No
93,75,IUP,[Pete Stewart],12/2/1992 12:00:00 AM,12/14/1994 12:00:00 AM,Int. CO Files to LUST,100ft,,,,,,0.0,0.0,141,<Blank>,IUP - PARDISCO,No,No,No
94,76,HKA,[Kirsten Kelly],2/27/1992 12:00:00 AM,1/5/1996 12:00:00 AM,<blank>,100-150ft,,,,,,,,142,<blank>,HKA - STAKER PARSONS LOCATION # F480901 / BRIGHAM SHOP PIT,No,No,No
95,77,IDL,[Pete Stewart],6/18/1993 12:00:00 AM,7/15/1996 12:00:00 AM,< RCL,,,,,,,0.0,0.0,147,<blank>,IDL - HYRUM FOOD TOWN,No,No,No
96,78,JHL,[Edward Fall],1/2/1996 12:00:00 AM,1/15/1997 12:00:00 AM,<blank>,>17.5ft,N,,,,,0.0,0.0,147,Tier 1 Worksheet,JHL - HYRUM FOOD TOWN,No,No,No
97,79,JPH,UST,7/8/1996 12:00:00 AM,7/8/1996 12:00:00 AM,< RCL/MCL,,,,,,,,,150,UST NFA,JPH - PETERSEN ROCKY MTN SERVICE,No,No,No
99,5297,MZC,Eileen Brennan,11/1/2012 12:00:00 AM,1/3/2013 12:00:00 AM,Transfer - DWQ,<10,W,,0.0,0.0,,,0.0,153,Internal Closeout Memo,MZC - SCHREIBER FOODS INC.,No,No,No
100,80,GDY,[Dale Urban],10/1/1990 12:00:00 AM,3/17/1997 12:00:00 AM,<blank>,,,,,,,,,154,Tier 1 Worksheet,GDY - SMITHFIELD CITY CORPORATION,No,No,No
101,81,KGO,Hillary Mason,11/3/1997 12:00:00 AM,11/18/1997 12:00:00 AM,< tier 1,10 ft,,,,,,0.0,0.0,155,tier 1 Worksheet,KGO - LUCIN,No,No,No
102,82,KGN,Michael Pecorelli,11/3/1997 12:00:00 AM,1/28/1998 12:00:00 AM,< Tier 1,unknown,,,,,,0.0,0.0,157,Tier 1 Worksheet,KGN - PROMONTORY POINT TRAILER PARK,No,No,No
103,83,IGX,Michael Pecorelli,9/29/1993 12:00:00 AM,8/2/2002 12:00:00 AM,< Tier 1,7.5 feet,W,NW,537.0,,Ineligible (0),0.0,0.0,159,Tier 1 Worksheet w/ Supp. Info,IGX - NYLA'S SHELL,No,No,No
104,84,JPE,Michael Pecorelli,7/1/1996 12:00:00 AM,10/18/1996 12:00:00 AM,Int. CO Files to UST,,,,,,,0.0,0.0,159,Internal Closeout Memo,JPE - NYLA'S SHELL,No,No,No
105,3892,LDB,Molly Parker,2/9/2000 12:00:00 AM,3/17/2021 12:00:00 AM,> Tier 1,5-8,W,NW,285.0,0.0,Eligible (100),100.0,10000.0,159,Tier 1 Worksheet w/ Supp. Info,LDB - NYLA'S SHELL,No,No,No
106,85,GXK,[Shelly Quick],6/24/1991 12:00:00 AM,12/1/1995 12:00:00 AM,<blank>,,,,,,,,,160,<blank>,GXK - K AND B SERVICE,No,No,No
107,3964,LFK,Kevin Beery,6/1/2000 12:00:00 AM,8/10/2000 12:00:00 AM,Transfer - DSHW,,,,0.0,0.0,,0.0,0.0,160,Internal Closeout Memo,LFK - K AND B SERVICE,No,No,No
109,4136,LLL,Michael Pecorelli,10/29/2001 12:00:00 AM,6/28/2002 12:00:00 AM,< Tier 1,> 4 feet,W,,0.0,0.0,,0.0,0.0,162,Tier 1 Worksheet,LLL - 7-ELEVEN 1851-20169,No,No,No
110,5063,MQI,UST,6/23/2010 12:00:00 AM,7/13/2010 12:00:00 AM,< ISL,,,,0.0,0.0,,0.0,0.0,162,UST NFA,MQI - 7-ELEVEN 1851-20169,No,No,No
111,86,KFM,[Edward Fall],10/1/1997 12:00:00 AM,9/2/1998 12:00:00 AM,< Tier 1,Unknown,,,,,,0.0,0.0,163,Tier 1 Worksheet w/ Supp. Info,KFM - 7-ELEVEN 1851-22378,No,No,No
112,4184,LND,Kevin Beery,2/11/2002 12:00:00 AM,7/1/2003 12:00:00 AM,< Tier 1,12,NW,NW,0.0,0.0,Eligible (100),100.0,10000.0,163,Tier 1 Worksheet w/ Supp. Info,LND - 7-ELEVEN 1851-22378,No,No,No
113,5064,MQJ,UST,6/23/2010 12:00:00 AM,7/13/2010 12:00:00 AM,< ISL,,,,0.0,0.0,,0.0,0.0,164,UST NFA,MQJ - 7-ELEVEN 1851-23291,No,No,No
114,87,INH,Molly Parker,3/28/1994 12:00:00 AM,6/21/2021 12:00:00 AM,> Tier 1,6-10,W,NW,1175.0,,Eligible (100),100.0,25000.0,165,Tier 1 Worksheet,INH - 7-ELEVEN 1851-25472,No,No,No
115,3819,LAQ,Kevin Beery,8/18/1999 12:00:00 AM,5/10/2001 12:00:00 AM,Internal Close-out,,,,0.0,0.0,,0.0,0.0,165,Internal Closeout Memo,LAQ - 7-ELEVEN 1851-25472,No,No,No
116,4896,MKV,Michael Pecorelli,10/15/2008 12:00:00 AM,6/21/2021 12:00:00 AM,< Tier 1,6-10,W,NW,0.0,0.0,Partial (1-99),5.0,10000.0,165,Tier 1 Worksheet,MKV - 7-ELEVEN 1851-25472,No,No,No
117,88,JLZ,Kevin Beery,4/30/1996 12:00:00 AM,10/13/2006 12:00:00 AM,< Tier 1,13,NW,NW,,,Eligible (100),100.0,10000.0,166,Tier 1 Worksheet,JLZ - 7-ELEVEN 1851-26577,No,No,No
118,4171,LMR,Kevin Beery,1/9/2002 12:00:00 AM,7/3/2002 12:00:00 AM,< Tier 1,,,,0.0,0.0,,0.0,0.0,166,Tier 1 Worksheet,LMR - 7-ELEVEN 1851-26577,No,No,No
119,3797,KZS,Kevin Beery,7/28/1999 12:00:00 AM,5/10/2001 12:00:00 AM,Internal Close-out,,,,0.0,0.0,,0.0,0.0,166,Internal Closeout Memo,KZS - 7-ELEVEN 1851-26577,No,No,No
120,5509,NHI,Kevin Beery,7/29/2015 12:00:00 AM,8/31/2016 12:00:00 AM,< Tier 1,5-6,NW,,0.0,0.0,Eligible (100),100.0,10000.0,166,Tier 1 Worksheet w/ Supp. Info,NHI - 7-ELEVEN 1851-26577,No,No,No
121,89,HPU,[Pete Stewart],6/22/1992 12:00:00 AM,11/13/1995 12:00:00 AM,<blank>,~6ft,,,,,,0.0,0.0,167,<blank>,HPU - TOP STOP C-34,No,No,No
122,90,JJM,[Dale Urban],2/29/1996 12:00:00 AM,7/29/1996 12:00:00 AM,<blank>,,,,,,,0.0,0.0,167,Tier 1 Worksheet,JJM - TOP STOP C-34,No,No,No
123,3565,KQY,Kevin Beery,9/10/1998 12:00:00 AM,11/23/2016 12:00:00 AM,> Tier 1,5-6,NW,W,1000.0,5000.0,Eligible (100),100.0,10000.0,167,Tier 1 Worksheet w/ Supp. Info,KQY - TOP STOP C-34,Yes,No,No
124,3593,KRZ,Kevin Beery,10/30/1998 12:00:00 AM,7/1/1999 12:00:00 AM,< Tier 1,9 ft,W,NW,0.0,0.0,,0.0,0.0,169,Tier 1 Worksheet,KRZ - TED'S SERVICE,No,No,No
