release_id,land_location_id,facility_id,tank_system_id,end_type,note,project_manager,agency_lead,hist_source_of_funding,responsible_party_obs,product_type_released_old,impacted_media_old,chemicals_of_concern,hist_lust_approval,closed_resid_contam,closed_w_followup_needed,nhpa_done,nhpa_date,esa_done,esa_date,created_by,created_date,updated_by,updated_date,sampling_schedule,other_sampling_schedule,fyr_required,release_name,suspected_causes,how_discovered,product_type_released,substance_comments,impacted_media_new,impacted_media_comments,state_lust_id_number
296,314,313.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,N,Release 1,,,,,,,
297,426,425.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,N,Release 1,,,,,,,
298,323,322.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),State Gov,,,,No,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
299,380,380.0,,Conditional,,98.0,EPA,RP/Tribe/State Lead (no TF),Federal Gov-BIA,Gasoline,soil,"""TPH, benzene""",No,Y,N,,,,,,2014-02-11 10:52:21,GBIGGS,2022-09-28 16:00:45,None,,N,Release 1,,,1,,3,,
300,381,381.0,,,,12.0,EPA,RP/Tribe/State Lead (no TF),Tribe,Gasoline,soil/gw,"""Free product, MTBE, BTEX""",No,,,,,,,,2014-02-11 10:52:21,AFONG,2022-10-11 16:51:19,,,Y,Release 1,,,1,,3:2,,
301,394,394.0,,Conditional,,3.0,EPA,RP/Tribe/State Lead (no TF),Private,Gasoline,Soil & GW,"""GRO, BTEX""",No,Y,Y,,,,,,2014-02-11 10:52:21,,2021-12-16 11:12:50,,,,Release 1,,,1,,3:2,,
302,429,428.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
303,500,499.0,,Conditional,,10.0,EPA,Region Lead w/TF,No Viable,Gasoline / Diesel,soil,"""TPH, BTEX""",Yes,Y,Y,,,,,,2014-02-11 10:52:21,,2021-12-16 11:12:50,,,Y,Release 1,,,2:1,,3,,
304,622,623.0,,,,12.0,EPA,RP/Tribe/State Lead (no TF),Private,Gasoline,soil/gw,"""Free product, MTBE, benzene""",No,,,,,,,,2014-02-11 10:52:21,AFONG,2022-10-11 16:52:04,,,Y,Release 1,,,1,,3:2,,
305,670,670.0,,Conditional,9/14/2017- Call between ADEQ and EPA agreed to change lead to EPA. ,98.0,EPA,RP/Tribe/State Lead (no TF),Private,Gasoline / Diesel,Soil & GW,"""benzene, MTBE""",No,Y,,,,,,,2014-02-11 10:52:21,GBIGGS,2022-10-12 12:49:58,,,N,Release 1,,,2:1,,3:2,,
306,388,388.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
307,390,390.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Federal Gov-IHS,,,,No,,,,,,,,2014-02-11 10:52:21,,2021-04-28 08:29:54,,,N,Release 1,,,,,,,
308,419,418.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),State Gov,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
309,421,420.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
310,452,451.0,,Unconditional,,10.0,EPA,Region Lead w/TF,Private,NA,soil,unk,No,,,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,,Release 1,,,11,,3,,
311,325,324.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
312,333,332.0,,Unconditional,,11.0,EPA,RP/Tribe/State Lead (no TF),Tribe,Gasoline / Diesel,soil/gw,MTBE,No,N,N,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,,Release 1,,,2:1,,3:2,,
313,334,333.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
314,600,600.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Tribe,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
315,330,329.0,,Unconditional,,10.0,EPA,RP/Tribe/State Lead (no TF),Tribal Gov,gasoline,Soil,BTEX,Yes,N,N,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,Quarterly,,N,Release 1,,,1,,3,,
316,536,536.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
317,185,185.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
318,195,195.0,,Unconditional,,3.0,EPA,RP/Tribe/State Lead (no TF),Tribe,,,,No,Y,N,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
319,190,190.0,,,,1.0,EPA,RP/Tribe/State Lead (no TF),Tribe,Gasoline / Diesel,soil,"""TPH, BTEX, PAHs""",No,,,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,Y,Release 1,,,2:1,,3,,
320,190,190.0,,,,3.0,EPA,RP/Tribe/State Lead (no TF),Tribe,Gasoline / Diesel,soil,"""TPH, BTEX, PAHs""",No,,,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,Y,Release 2,,,2:1,,3,,
321,391,391.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Federal Gov-BIA,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
322,391,391.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Federal Gov-BIA,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 2,,,,,,,
323,632,633.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
324,192,192.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
325,196,196.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Tribe,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
326,198,198.0,,Conditional,,3.0,EPA,Region Lead w/TF,No Viable,Gasoline,soil/gw,"""BTEX, TPH""",Yes,Y,Y,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,,Release 1,,,1,,3:2,,
327,201,201.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
328,202,202.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
329,203,203.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
330,205,205.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
331,207,207.0,,Unconditional,,3.0,EPA,RP/Tribe/State Lead (no TF),Tribe,Gasoline,soil/gw,"""BTEX, naphthalene""",NA,Y,N,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,,Release 1,,,1,,3:2,,
332,208,208.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
333,210,210.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
334,348,347.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
335,367,367.0,,,,13.0,EPA,Region Lead w/TF,No Viable,,,,Yes,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
336,213,213.0,,,,7.0,EPA,RP/Tribe/State Lead (no TF),,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
337,492,491.0,,Unconditional,"October 20-21, 2014, EPA's contractor, Enviro Compliance Solutions, Inc. (""ECS""), conducted a
site assessment at the Site which included the f~llowing: 1) properly removing the UST to permit
sampling of the soil beneath it; 2) collecting five samples from in-situ soil; 3) arranging for all soil
samples to be analyzed for volatile organic compounds (""VOCs"") and gasoline-range organics (""ORO"") ",3.0,EPA,Region Lead w/TF,No Viable,Gasoline,unk,unk,Yes,Y,N,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,,Release 1,,,1,,6,,
338,361,361.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Federal Gov-BIA,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
339,181,181.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Tribe,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,N,Release 1,,,,,,,
340,182,182.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
341,183,183.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
342,184,184.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
343,177,177.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
344,178,178.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
345,178,178.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 2,,,,,,,
346,350,349.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
347,351,350.0,,Conditional,,12.0,EPA,Region Lead w/TF,No Viable,Gasoline / Diesel,soil/gw,"""DRO, GRO, BTEX""",Yes,Y,Y,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,Y,Release 1,,,2:1,,3:2,,
348,504,503.0,,,,13.0,EPA,Region Lead w/TF,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
349,505,504.0,,,,13.0,EPA,Region Lead w/TF,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
350,506,505.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
351,507,506.0,,,,13.0,EPA,RP/Tribe/State Lead (no TF),,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
353,503,502.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
354,651,651.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
355,750,706.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
356,763,714.0,,,,7.0,EPA,RP/Tribe/State Lead (no TF),No Viable,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
357,806,,,,,13.0,EPA,Region Lead w/TF,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
358,807,,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
359,808,,,,,13.0,EPA,Region Lead w/TF,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
360,783,728.0,,Unconditional,,8.0,EPA,Region Lead w/TF,No Viable,Gasoline,soil,"""DRO, GRO, BTEX""",Yes,,,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,Y,Release 1,,,1,,3,,
361,809,730.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
362,810,731.0,,,,8.0,EPA,Region Lead w/TF,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
363,216,216.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Federal Gov-BIA,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,N,Release 1,,,,,,,
364,217,217.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,N,Release 1,,,,,,,
365,218,218.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
366,219,219.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
367,436,435.0,,,,8.0,EPA,RP/Tribe/State Lead (no TF),Tribe,unk,unk,unk,No,,,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,,Release 1,,,11,,6,,
369,139,140.0,,,,15.0,EPA,RP/Tribe/State Lead (no TF),Private,Gasoline,soil/gw,"""BTEX, TPH, MTBE""",No,,,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,Y,Release 1,,,1,,3:2,,
370,139,140.0,,,,15.0,EPA,RP/Tribe/State Lead (no TF),Private,Gasoline,soil/gw,"""BTEX, TPH, MTBE""",No,,,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,Y,Release 3,,,1,,3:2,,
371,424,423.0,,,,3.0,EPA,RP/Tribe/State Lead (no TF),,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
372,24,24.0,,Unconditional,,8.0,EPA,RP/Tribe/State Lead (no TF),,,,,No,Y,N,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,N,Release 1,,,,,,,
373,14,14.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Federal Gov-BIA,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
374,578,578.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
375,101,101.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
376,539,539.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
377,397,397.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Tribe,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,N,Release 1,,,,,,,
378,397,397.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,N,Release 2,,,,,,,
379,704,693.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
380,100,100.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
381,123,124.0,,Conditional,NNEPA 20195-year review noted closure based on Nov 11 2014 Phase II Investigation by Biotech. Showed no contamination,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,No,N,N,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,None,,N,Release 1,,,,,,,
382,67,67.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
383,133,134.0,,,,15.0,EPA,RP/Tribe/State Lead (no TF),Private,Gasoline,soil/gw,"""BTEX, MTBE, TPH""",No,,,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,Y,Release 1,,,1,,3:2,,
385,137,138.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
386,697,,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
387,602,602.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
388,120,120.0,,Unconditional,,15.0,EPA,RP/Tribe/State Lead (no TF),Private,,soil/gw,"""free product, benzene, MTBE""",No,,N,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,Y,Release 1,,,,,3:2,,
389,347,346.0,,Unconditional,,10.0,EPA,Region Lead w/TF,No Viable,,soil,MTBE,Yes,N,N,,,Y,2015-12-11,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,N,Release 1,,,,,3,,
390,457,456.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
391,142,143.0,,Conditional,May 2010 cathodic protection upgrade led to discovery of petroleum-contaminated soil/tank pit water.,11.0,EPA,RP/Tribe/State Lead (no TF),Private,Gasoline,"Soil, Groundwater","BTEX, MTBE, Naphthalene",No,Y,Y,N,,N,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,,,Y,Release 1,,,1,,3:2,,
392,605,605.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
393,550,550.0,,Unconditional,,13.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,N,N,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,N,Release 1,,,,,,,
394,551,551.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
395,146,147.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
396,411,410.0,,Unconditional,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,,N,N,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,N,Release 1,,,,,,,
397,22,22.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
398,357,357.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
399,85,85.0,,,Lead changed to NNEPA from EPA on 4-13-17 subsequent to call with NNEPA.,15.0,Tribe,Tribal Lead w/TF,No Viable,"""Gasoline, used oil""",soil/gw,"""GRO, DRO, BTEX""",Yes,,,,,,,,2014-02-11 10:52:22,,2021-12-16 11:12:50,Quarterly,,Y,Release 1,,,1:6,,3:2,,
400,496,495.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
401,435,434.0,,,"Tribe secured a $2m settlement in October 2017 with ONHIR.  Future work to be paid with settlement not federal LUST,",98.0,Tribe,Tribal Lead w/TF,No Viable,Gasoline,soil/gw,"""GRO, benzene, napthalene""",Yes,,,,,,,,2014-02-11 10:52:22,GBIGGS,2022-11-16 17:26:41,Quarterly,,Y,Release 1,,,1,,3:2,,
402,537,537.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
403,44,44.0,,,,98.0,Tribe,RP/Tribe/State Lead (no TF),Private,Gasoline,soil/gw,"""BTEX, MTBE""",No,,,,,,,,2014-02-11 10:52:22,SPLATUK,2023-04-25 17:37:20,,,Y,Release 1,,,1,,3:2,,
404,41,41.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
405,604,604.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
406,43,43.0,,Unconditional,"R Jamison- NFA mentions setp 30 1998 Basin Report & it is in EPA's ""Other LUST files""
",9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,,N,N,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,None,,N,Release 1,,,,,,,
407,43,43.0,,Unconditional,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,,Y,N,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,N,Release 2,,,,,,,
408,60,60.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
409,553,553.0,,,,,,,,,,,,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,,Release 1,,,,,,,
410,558,558.0,,,,9.0,EPA,RP/Tribe/State Lead (no TF),Private,,,,No,,,,,,,,2014-02-11 10:52:22,,2021-04-28 08:29:54,,,Y,Release 1,,,,,,,
