land_location_id,site_id,drnk_water_well_within_14,location_name,address_1,address_2,city,county,state,zip,phone,tribe_owned,tribe,land_status,potential_abandoned,latitude,longitude,lat_lon_source,location_desc,created_by,created_date,updated_by,updated_date,region_id,tribe_id,geo_location
19,NAV236,,PAINTED HILLS TRADING POST,1 M. NORTH OF U.S. I-40,,Sanders,Apache,AZ,86512.0,(520) 688-2777,FALSE,NAVAJO,Indian Land,Y,35.208611,-109.330556,,1 M. NORTH OF U.S. I-40,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8222dd0>
20,NAV219,yes,PALMER MERCANTILE CO.(original site),CHACO Blvd NE of Church road,,Crownpoint,Mckinley,NM,87301.0,,FALSE,NAVAJO,Indian Land,Y,35.682015,-108.154398,,"""CROWNPOINT, NMNO STREET ADDRESS""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8221c10>
21,NAV169,,CEDAR RIDGE TRADING POST,U.S. RTE. 89  - 50 MILES N. OF CAMERON,,Cameron,Coconino,AZ,86020.0,(520) 283-3011,FALSE,NAVAJO,Indian Land,,36.393056,-111.525278,,U.S. RTE. 89  - 50 MILES N. OF CAMERON,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8220e50>
22,NAV044,,NASCHITTI SCHOOL,"""558 ROAD 6100
NASCHITTI""",,Naschitti,San Juan,NM,87325.0,(505) 598-5834,FALSE,NAVAJO,Indian Land,,36.064444,-108.684444,,"""558 ROAD 6100
NASCHITTI""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8223bd0>
23,NAV456,,CCSD #22 NEWCOMB BUS BARN,HWY 491,,Newcomb,San Juan,NM,87455.0,(505) 696-3422,FALSE,NAVAJO,Indian Land,,36.28175,-108.708072,OnlineMapGoogle,RTE 66,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe757fad0>
24,NAV003,,CHEVRON - SAINT MICHAEL'S,WHY 264,,Saint Michaels,Apache,AZ,86511.0,(602) 871-4529,FALSE,NAVAJO,Indian Land,,35.655907,-109.093976,,WHY 264,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe757c5d0>
25,NAV246,,TSALIE LAKE PRE SCHOOL,I.R. 12,,Tsaile,Apache,AZ,86556.0,(520) 724-3331,FALSE,NAVAJO,Indian Land,,36.30904,-109.21857,Geocode,I.R. 12,,2014-02-10 18:37:20,,2022-10-06 09:03:01,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe757c290>
26,NAV225,,MANY FARMS ELEMENTARY SCHOOL,US RTE. 191 and I.R. 59,,Many Farms,Apache,AZ,86538.0,(520) 674-9711,FALSE,NAVAJO,Indian Land,,36.348611,-109.617778,,US RTE. 191 and I.R. 59,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe757d4d0>
27,NAV226,,"""CHINLE Unified School District 24, Transportation, Dept.""",U.S. RT. 191 and I.R. 7,,Chinle,Apache,AZ,86503.0,(602) 674-3481,FALSE,NAVAJO,Indian Land,,36.147932,-109.553238,,U.S. RT. 191 and I.R. 7,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe757ee90>
28,NAV221,,CIRCLE K 1042,HWYS. 160 AND 163,,Kayenta,Navajo,AZ,86033.0,(520) 437-0600,FALSE,NAVAJO,Indian Land,,36.708477,-110.246052,OnlineMapGoogle,HWYS. 160 AND 163,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe757f510>
29,SALT015,,CIRCLE K STORE 1068,10410 E. MCDOWELL,,Mesa,Maricopa,AZ,85207.0,(602) 437-0600,FALSE,SALT RIVER,Indian Land,,33.4655,-111.8564,OnlineMapGoogle,10410 E. MCDOWELL,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,105.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe757eb90>
30,NAV209,,Red Mesa Store #511 (Former Red Mesa Trading Co.),CORNER HWY. 491 AND ROUTE 134,,Sheep Springs,San Juan,NM,87364.0,(505) 732-4211,FALSE,NAVAJO,Indian Land,,36.143611,-108.7075,,CORNER HWY. 491 AND ROUTE 134,,2014-02-10 18:37:20,LBRANDT,2022-09-27 13:31:55,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe757edd0>
31,NAV211,unk,CHIEF CONOCO,HWY 491/64,,Shiprock,San Juan,NM,87420.0,(505) 368-4535,FALSE,NAVAJO,Indian Land,,36.789202,-108.687324,,P.O. BOX 250,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe757f610>
32,NAV227,,SWIRE COCA COLA,HWY 191 INDUSTRIAL PARK,,Chinle,Apache,AZ,86503.0,(520) 674-5442,FALSE,NAVAJO,Indian Land,,36.165506,-109.58416,OnlineMapGoogle,HWY 191 INDUSTRIAL PARK,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe757f810>
33,NAV307,,CONSOLIDATE COAL - BURNHAM MINE,P.O. BOX 1350,,Farmington,San Juan,NM,87499.0,(618) 625-2041,FALSE,NAVAJO,Indian Land,,36.371747,-108.496887,,P.O. BOX 1350,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe757fd10>
34,NAV183,,COPPERMINE TRADING POST,ROUTE 6210/ROUTE 201,,Tuba City,Coconino,AZ,86045.0,(520) 645-9491,FALSE,NAVAJO,Indian Land,Y,36.630735,-111.44762,OnlineMapGoogle,ROUTE 6210/ROUTE 201,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe757f390>
35,NAV166,,COVE TRADING POST,HWY 13,,Red Valley,Apache,AZ,86544.0,(520) 653-4555,FALSE,NAVAJO,Indian Land,Y,36.557789,-109.217944,,HWY 13,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe757f990>
36,NAV293,,TSAILE FINA,JUNCTION I.R. 12 and 64,,Tsaile,Apache,AZ,86556.0,(520) 724-3297,FALSE,NAVAJO,Indian Land,,36.311944,-109.215,,JUNCTION I.R. 12 and 64,,2014-02-10 18:37:20,SPLATUK,2021-05-10 17:18:15,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8177790>
37,NAV301,,CHETO MINES,"Clay Mine Road, 5.5 mile SE of Sanders",,Sanders,Apache,AZ,86512.0,(928) 521-5418,TRUE,NAVAJO,Indian Land,,35.201857,-109.23943,OnlineMapGoogle,"Clay Mine Road, 5.5 mile SE of Sanders",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8177810>
38,NAV157,,"""Fort Courage, Inc.""","""US RTE. I-40, HOUCK EXIT""",,Houck,Apache,AZ,86506.0,(520) 688-2723,N,NAVAJO,Indian Land,,35.283333,-109.208611,,"""US RTE. I-40, HOUCK EXIT""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8177a90>
39,NAV238,,THRIFTWAY 504 aka INDIAN WELLS TRADING POST,30 MILES N. US RTE. I-40 ON HWY 77,,Indian Wells,Navajo,AZ,86031.0,(505) 326-5571,N,NAVAJO,Indian Land,,35.403889,-110.075833,,30 MILES N. US RTE. I-40 ON HWY 77,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8177e10>
40,NAV214,,RED MESA #507 aka NASCHITTI TRADING POST,"""HCR 330HWY 666""",,Naschitti,San Juan,NM,87325.0,(505) 327-5156,FALSE,NAVAJO,Indian Land,,36.0631905283506,-108.68359238700799,,"""HCR 330HWY 666""",,2014-02-10 18:37:20,GBIGGS,2023-06-30 15:47:56,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8174890>
41,NAV055,,GANADO UNIFED SCHOOL DISTRICT,HWY 264 AT SERVICE ROAD LOOP,,Ganado,Apache,AZ,86505.0,(928) 755-1219,FALSE,NAVAJO,Indian Land,,35.713056,-109.5375,OnlineMapGoogle,HWY 264 AT SERVICE ROAD LOOP,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8174810>
42,NAV228,,GOULDING TRADING POST,"""P.O. Box 360001
1000 Main Street""",,Monument Valley,San Juan,UT,84536.0,(435) 727-3225,FALSE,NAVAJO,Indian Land,,37.009722,-110.203611,,P.O. BOX 3,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8176850>
43,NAV057,,Kayenta Fina Station,"""NW CORNER JCT US HWY 160 AND 163PO Box 652""",,Kayenta,Navajo,AZ,86033.0,(928) 697-8421,FALSE,NAVAJO,Indian Land,,36.708091,-110.248462,OnlineMapGoogle,"""NW CORNER JCT US HWY 160 AND 163PO Box 652""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8176f90>
44,NAV052,No (within 1/2 mile),"Speedway 2880 (aka Giant Four Corners, Ft Defiance Fina #108)",I.R. #12 at IR #7,,Fort Defiance,Apache,AZ,86504.0,(505) 564-3866,FALSE,NAVAJO,Indian Land,,35.734773,-109.059434,OnlineMapGoogle,I.R. #12 at IR #7,,2014-02-10 18:37:20,KDIXON,2021-01-12 21:49:40,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8176a90>
45,NAV224,,TSAILE ELEMENTARY SCHOOL,I.R. 12 AND HWY 64,,Tsaile,Apache,AZ,86556.0,(520) 674-9711,FALSE,NAVAJO,Indian Land,,36.301652,-109.21038,,I.R. 12 AND HWY 64,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8174250>
46,NAV247,,DINE' COLLEGE,HWY 64 and I.R. 12,,Tsaile,Apache,AZ,86556.0,(505) 724-6770,FALSE,NAVAJO,Indian Land,,36.291001,-109.217223,OnlineMapGoogle,HWY 64 and I.R. 12,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe81773d0>
47,NAV321,,CASTLE BUTTE TRADING POST,IR 60,,Dilkon,Navajo,AZ,86047.0,,TRUE,NAVAJO,Indian Land,,35.304728,-110.348869,,IR 60,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe81761d0>
48,NAV334,,RAYTHEON MISSILE SYSTEMS CO,ST. HWY 371 6 MI. S. OF FARMINGTON,,Farmington,San Juan,NM,87401.0,(505) 325-8197,FALSE,NAVAJO,Indian Land,,36.65621,-108.22715,,ST. HWY 371 6 MI. S. OF FARMINGTON,,2014-02-10 18:37:20,LDANOS,2021-05-13 19:21:54,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8176d10>
49,NAV068,,IHS - KAYENTA PUBLIC HEALTH SERVICE,P.O. BOX 368,,Kayenta,Navajo,AZ,86033.0,(520) 697-3211,FALSE,NAVAJO,Indian Land,,36.727606,-110.251818,,P.O. BOX 368,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8176390>
50,NAV071,,NORTHERN NAVAJO MEDICAL CENTER,"""P.O. BOX 160
NORTH HWY 491""",,Shiprock,San Juan,NM,87420.0,(505) 368-6152,FALSE,NAVAJO,Indian Land,,36.806239,-108.692175,,"""P.O. BOX 160
NORTH HWY 666""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8174310>
51,NAV179,,JUNCTION ENTERPRISES (CHEVRON) aka Cameron Mini Mart/EXXON,JUNCTION U.S. 89 & S.R. 64,,Cameron,Coconino,AZ,86020.0,(928) 679-2281,FALSE,NAVAJO,Indian Land,,35.853224,-111.425654,OnlineMapGoogle,JUNCTION U.S. 89 & S.R. 64,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8176d50>
52,NAV364,,KAIBETO MARKET/KAIBITO MARKET/PATTERSON FACILITY,1 MILE SO. HWY 98,,Kaibito,Coconino,AZ,86053.0,(928) 673-3453,FALSE,NAVAJO,Indian Land,,36.597881,-111.0702,,1 MILE SO. HWY 98,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8250910>
53,NAV308,,KAYENTA UNIFIED SCHOOL DISTRICT BUS BARN,N. HWY 163,,Kayenta,Navajo,AZ,86033.0,(928) 697-2012,FALSE,NAVAJO,Indian Land,,36.728056,-110.238889,,N. HWY 163,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8252f50>
54,NAV231,yes,RIVER VIEW TEXACO SERVICE STATION,Philip's Camp Rd (Hway 162),,Montezuma Creek,San Juan,UT,84534.0,(435) 651-3516,N,NAVAJO,Indian Land,,37.26031,-109.30772,GPS_EPA,"BOX 39, Address was BOX 676",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8250bd0>
55,NAV237,,SUPER K CHEVRON,"""U.S. Hwy. 160
P.O. Box 2080""",,Tuba City,Coconino,AZ,86045.0,(928) 283-4938,FALSE,NAVAJO,Indian Land,,36.121579,-111.224607,,"""U.S. Hwy. 160
P.O. Box 2080""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8251b50>
56,NAV217,,MARIANO LAKE TRADING POST,Navajo Service Route 49,,Thoreau,Mckinley,NM,87301.0,,FALSE,NAVAJO,Indian Land,Y,35.582468,-108.305853,,,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8250790>
57,NAV338,,TEEC NOS POS TRADING POST,JUNCTION HWY 160 AND HWY 64,,Teec Nos Pos,Apache,AZ,86514.0,(928) 656-3224,FALSE,NAVAJO,Indian Land,,36.919672,-109.084109,OnlineMapGoogle,JUNCTION HWY 160 AND HWY 64,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8253a50>
58,NAV286,,"""MILTON MONTANO, LESSEE""",S. Hway 400 #286a,,Fort Wingate,McKinley,NM,87020.0,(505) 488-5569,N,NAVAJO,Not Indian Country,Y,35.471389,-108.542778,,S. Hway 400 #286a,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe82520d0>
59,NAV124,,MEXICAN WATER TRADING POST aka THRIFTWAY 901 or 511,HWY 160 AT MEXICAN WATER,,Mexican Water,Apache,AZ,86514.0,(505) 327-5156,FALSE,NAVAJO,Indian Land,,36.923846,-109.602713,OnlineMapGoogle,HWY 160 AT MEXICAN WATER,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8250b10>
60,NAV059,,Shiprock Express #523 (Former Navajo Country Express),HWY 62 AND HWY 491,,Shiprock,San Juan,NM,87420.0,(505) 368-4625,FALSE,NAVAJO,Indian Land,,36.777625,-108.696326,null,HWY 64 AND HWY 666,,2014-02-10 18:37:20,LBRANDT,2022-10-05 12:26:36,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8251110>
61,NAV223,,MONUMENT VALLEY ADVENTIST HOSPITAL,P.O.BOX 4,,Monument Valley,San Juan,UT,84536.0,(435) 727-3241,FALSE,NAVAJO,Indian Land,,37.007778,-110.21,,P.O.BOX 4,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8253810>
62,NAV205,,TWO GREY HILLS TRADING POST,"""Physical Jct of HWY 5000 and Hwy 5001
7 M. W. OF NEWCOMB""",,Two Grey Hills,San Juan,NM,87325.0,(505) 789-3270,FALSE,NAVAJO,Indian Land,,36.236117,-108.801762,OnlineMapGoogle,7 M. W. OF NEWCOMB,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8252450>
63,NAV163,,MORA'S CONOCO,HWY 191 & 264,,Ganado,Apache,AZ,86505.0,(928) 755-3244,FALSE,NAVAJO,Indian Land,,35.708489,-109.541824,,HWY 191 & 264,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8253190>
64,NAV240,,SALINA SPRINGS TRADING POST,Indian Route 251,,Salina Springs,Apache,AZ,86503.0,(602) 725-3253,N,NAVAJO,Indian Land,,36.025351,-109.871275,,"""BIA HWY 25,  30 MI SW OF CHINLE""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe82503d0>
65,NAV160,,NAPCO,580 AZ-264,,Saint Michaels,Apache,AZ,86511.0,,FALSE,NAVAJO,Indian Land,,35.655528,-109.101835,,HWY 264,,2014-02-10 18:37:20,AFAN,2021-05-12 22:25:09,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8253390>
66,NAV268,,CANYON DE CHELLY MAINT.YARD,1/2 MILE S. OF PARK HQ,,Chinle,Apache,AZ,86503.0,(520) 674-5510,FALSE,NAVAJO,Indian Land,,36.147577,-109.541868,,1/2 MILE S. OF PARK HQ,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8252310>
67,NAV017,,NAVAJO GOSPEL MISSION -- HARDROCK,"""DINEBITO ROAD
HARDROCK""",,Hardrocks,Navajo,AZ,86039.0,(602) 526-4043,FALSE,NAVAJO,Indian Land,,36.033667,-110.507017,,"""DINEBITO ROAD
HARDROCK""",,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8251010>
68,NAV186,yes,NAVAJO FLEET MANAGEMENT,P.O. BOX 3047,,Tuba City,Coconino,AZ,86045.0,(928) 283-3368,N,NAVAJO,Indian Land,,36.128466,-111.235378,,P.O. BOX 3047,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8250410>
69,NAV337,,NAVAJO TRAVEL CENTER,I-40 near Exit 325,,Navajo,Apache,AZ,86509.0,(928) 688-2334,TRUE,NAVAJO,Indian Land,,35.128251,-109.540913,,I-40 near Exit 325,,2014-02-10 18:37:20,,2020-06-27 10:25:32,1,80.0,<oracledb.Object MDSYS.SDO_GEOMETRY at 0x23fe8252ed0>
