financial_responsibility_id,facility_id,fr_type,issuer,policy_no,effective_start_date,effective_end_date,created_by,created_date,updated_by,updated_date,third_party,first_dollar,occurrence_amount,aggregate_amount,cleanup
252,2959,State Fund,,,,,bnear,2002-12-12 00:00:00,,,,,,,
253,2965,Insurance,,,,,bnear,2003-03-17 00:00:00,,,,,,,
254,2967,Trust Fund,,,,,bnear,2003-02-19 00:00:00,,,,,,,
255,2968,State Fund,,,,,BNEAR,2006-06-22 00:00:00,,,,,,,
256,2969,Trust Fund,,,,,bnear,2003-04-15 00:00:00,,,,,,,
257,2978,Self Insured,,,,,bnear,2002-12-20 00:00:00,,,,,,,
258,2978,State Fund,,,,,bnear,2002-12-20 00:00:00,,,,,,,
259,2987,Self Insured,,,,,bnear,2003-01-03 00:00:00,,,,,,,
260,2988,Self Insured,,,,,bnear,2002-12-30 00:00:00,,,,,,,
261,2990,Self Insured,,,,,bnear,2003-03-17 00:00:00,,,,,,,
262,2992,State Fund,,,,,Admin,2004-08-13 00:00:00,,,,,,,
263,2993,State Fund,,,,,Admin,2004-11-09 00:00:00,,,,,,,
264,2994,State Fund,,,,,bnear,2003-01-17 00:00:00,,,,,,,
265,2996,State Fund,,,,,Admin,2004-10-29 00:00:00,,,,,,,
266,2997,Self Insured,,,,,Admin,2004-11-04 00:00:00,,,,,,,
267,2997,State Fund,,,,,Admin,2004-11-04 00:00:00,,,,,,,
268,2998,Not Listed,,,,,bnear,2002-12-30 00:00:00,,,,,,,
269,2998,State Fund,,,,,BNEAR,2010-10-07 00:00:00,,,,,,,
270,3000,State Fund,,,,,bnear,2002-12-31 00:00:00,,,,,,,
271,3001,State Fund,,,,,BNEAR,2006-02-17 00:00:00,,,,,,,
272,3002,State Fund,,,,,Admin,2004-08-13 00:00:00,,,,,,,
273,3003,State Fund,,,,,bnear,2003-01-02 00:00:00,,,,,,,
274,3004,State Fund,,,,,bnear,2003-09-04 00:00:00,,,,,,,
275,3005,State Fund,,,,,Cambria,2006-03-09 00:00:00,,,,,,,
276,3008,State Fund,,,,,Cambria,2006-04-06 00:00:00,,,,,,,
277,3009,State Fund,,,,,bnear,2003-01-27 00:00:00,,,,,,,
278,3010,State Fund,,,,,BNEAR,2006-02-17 00:00:00,,,,,,,
279,3011,State Fund,,,,,Admin,2005-04-08 00:00:00,,,,,,,
280,3012,State Fund,,,,,BNEAR,2006-04-18 00:00:00,,,,,,,
281,3012,Insurance,Montana Municipal,,,,BNEAR,2006-08-23 00:00:00,,,,,,,
282,3013,State Fund,,,,,Cambria,2006-04-04 00:00:00,,,,,,,
283,3014,State Fund,,,,,bnear,2003-01-27 00:00:00,,,,,,,
284,3015,State Fund,,,,,Cambria,2006-04-04 00:00:00,,,,,,,
285,3016,State Fund,,,,,Cambria,2006-04-04 00:00:00,,,,,,,
286,3017,State Fund,,,,,BNEAR,2006-08-23 00:00:00,,,,,,,
287,3017,State Fund,,,,,BNEAR,2006-08-23 00:00:00,,,,,,,
288,3018,State Fund,,,,,Admin,2005-03-17 00:00:00,,,,,,,
289,3019,State Fund,,,,,Admin,2004-08-30 00:00:00,,,,,,,
290,3020,State Fund,,,,,BNEAR,2008-10-09 00:00:00,,,,,,,
291,3021,State Fund,,,,,bnear,2003-01-28 00:00:00,,,,,,,
292,3022,Self Insured,,,,,BNEAR,2007-02-12 00:00:00,,,,,,,
293,3023,State Fund,,,,,bnear,2003-01-30 00:00:00,,,,,,,
294,3024,State Fund,,,,,BNEAR,2006-03-06 00:00:00,,,,,,,
295,3025,State Fund,,,,,Cambria,2006-04-04 00:00:00,,,,,,,
296,3026,Self Insured,,,,,bnear,2003-10-01 00:00:00,,,,,,,
297,3027,Insurance,,,,,Admin,2005-07-01 00:00:00,,,,,,,
298,3027,Other,Tribal Government,,,,BNEAR,2010-07-30 00:00:00,,,,,,,
299,3028,State Fund,,,,,Bnear,2005-12-19 00:00:00,,,,,,,
300,3029,Self Insured,,,,,Cambria,2006-02-02 00:00:00,,,,,,,
301,3029,State Fund,,,,,Cambria,2006-02-02 00:00:00,,,,,,,
302,3030,Insurance,,,,,bnear,2003-07-08 00:00:00,,,,,,,
303,3030,State Fund,,,,,bnear,2003-07-08 00:00:00,,,,,,,
304,3031,Self Insured,,,,,BNEAR,2007-02-13 00:00:00,,,,,,,
305,3032,State Fund,,,,,BNEAR,2008-02-26 00:00:00,,,,,,,
306,3033,Trust Fund,,,,,bnear,2003-01-31 00:00:00,,,,,,,
307,3033,State Fund,,,,,BNEAR,2010-10-14 00:00:00,,,,,,,
308,3034,State Fund,,,,,BNEAR,2008-02-28 00:00:00,,,,,,,
309,3038,Self Insured,,,,,bnear,2003-02-03 00:00:00,,,,,,,
310,3038,Insurance,,,,,bnear,2003-02-03 00:00:00,,,,,,,
311,3038,State Fund,,,,,bnear,2003-02-03 00:00:00,,,,,,,
312,3046,State Fund,,,,,bnear,2003-02-03 00:00:00,,,,,,,
313,3057,Other,,,,,bnear,2003-02-12 00:00:00,,,,,,,
314,3058,Not Listed,,,,,Admin,2004-05-04 00:00:00,,,,,,,
315,3060,Insurance,,,,,Admin,2005-06-23 00:00:00,,,,,,,
316,3060,State Fund,,,,,Admin,2005-06-23 00:00:00,,,,,,,
317,3071,State Fund,,,,,Cambria,2006-04-10 00:00:00,,,,,,,
318,3074,State Fund,,,,,bnear,2003-03-04 00:00:00,,,,,,,
319,3077,Self Insured,,,,,bnear,2003-02-05 00:00:00,,,,,,,
320,3077,State Fund,,,,,bnear,2003-02-05 00:00:00,,,,,,,
321,3080,Insurance,,,,,bnear,2003-02-06 00:00:00,,,,,,,
322,3080,Trust Fund,,,,,bnear,2003-02-06 00:00:00,,,,,,,
323,3086,State Fund,,,,,bnear,2003-02-06 00:00:00,,,,,,,
324,3088,Trust Fund,,,,,bnear,2003-02-06 00:00:00,,,,,,,
325,3089,State Fund,,,,,bnear,2003-02-06 00:00:00,,,,,,,
326,3092,State Fund,,,,,bnear,2003-02-06 00:00:00,,,,,,,
327,3093,State Fund,,,,,bnear,2003-07-10 00:00:00,,,,,,,
328,3094,State Fund,,,,,bnear,2003-02-07 00:00:00,,,,,,,
329,3095,State Fund,,,,,BNEAR,2006-05-04 00:00:00,,,,,,,
330,3096,Other,,,,,BNEAR,2007-06-14 00:00:00,,,,,,,
331,3097,State Fund,,,,,Cambria,2006-04-06 00:00:00,,,,,,,
332,3099,Self Insured,,,,,Admin,2004-07-12 00:00:00,,,,,,,
333,3099,Insurance,,,,,Admin,2004-07-12 00:00:00,,,,,,,
334,3100,Self Insured,,,,,bnear,2003-02-12 00:00:00,,,,,,,
335,3100,State Fund,,,,,bnear,2003-02-12 00:00:00,,,,,,,
336,3107,State Fund,,,,,Cambria,2006-06-30 00:00:00,,,,,,,
337,3110,State Fund,,,,,bnear,2003-03-13 00:00:00,,,,,,,
338,3111,State Fund,,,,,bnear,2003-02-14 00:00:00,,,,,,,
339,3113,State Fund,,,,,bnear,2003-02-14 00:00:00,,,,,,,
340,3114,State Fund,,,,,Admin,2004-10-06 00:00:00,,,,,,,
341,3115,Self Insured,,,,,Admin,2004-05-13 00:00:00,,,,,,,
342,3116,Self Insured,,,,,BNEAR,2007-06-14 00:00:00,,,,,,,
343,3117,State Fund,,,,,Admin,2004-10-21 00:00:00,,,,,,,
344,3118,State Fund,,,,,Admin,2004-05-13 00:00:00,,,,,,,
345,3119,State Fund,,,,,BNEAR,2007-02-09 00:00:00,,,,,,,
346,3120,State Fund,,,,,bnear,2003-02-18 00:00:00,,,,,,,
347,3121,State Fund,,,,,Admin,2004-11-05 00:00:00,,,,,,,
348,3122,State Fund,,,,,BNEAR,2008-01-08 00:00:00,,,,,,,
349,3123,Insurance,,,,,Admin,2005-05-13 00:00:00,,,,,,,
350,3123,State Fund,,,,,Admin,2005-05-13 00:00:00,,,,,,,
351,3124,Insurance,Western States,,,,bnear,2003-08-19 00:00:00,,,,,,,
352,3124,State Fund,,,,,bnear,2003-08-19 00:00:00,,,,,,,
353,3125,State Fund,,,,,Cambria,2006-01-03 00:00:00,,,,,,,
354,3132,Not Listed,,,,,bnear,2003-02-19 00:00:00,,,,,,,
355,3135,State Fund,,,,,bnear,2003-02-19 00:00:00,,,,,,,
356,3141,State Fund,,,,,bnear,2003-02-21 00:00:00,,,,,,,
357,3169,State Fund,,,,,bnear,2003-03-11 00:00:00,,,,,,,
358,3179,State Fund,,,,,bnear,2003-02-26 00:00:00,,,,,,,
359,3182,State Fund,,,,,Cambria,2006-03-23 00:00:00,,,,,,,
360,3183,Self Insured,,,,,bnear,2003-02-26 00:00:00,,,,,,,
361,3183,Insurance,,,,,bnear,2003-02-26 00:00:00,,,,,,,
362,3183,State Fund,,,,,bnear,2003-02-26 00:00:00,,,,,,,
363,3188,State Fund,,,,,bnear,2003-03-04 00:00:00,,,,,,,
364,3192,Self Insured,,,,,BNEAR,2007-06-14 00:00:00,,,,,,,
365,3192,Other,MDEQ Tag Program,,,,BNEAR,2010-10-12 00:00:00,,,,,,,
366,3193,Insurance,,,,,bnear,2003-03-07 00:00:00,,,,,,,
367,3193,Guarantee,,,,,bnear,2003-03-07 00:00:00,,,,,,,
368,3193,State Fund,,,,,bnear,2003-03-07 00:00:00,,,,,,,
369,3193,Trust Fund,,,,,bnear,2003-03-07 00:00:00,,,,,,,
370,3194,State Fund,,,,,bnear,2003-03-07 00:00:00,,,,,,,
371,3195,State Fund,,,,,bnear,2003-03-07 00:00:00,,,,,,,
3335,8141,Insurance,Colony Insurance Co.,WA673145-5,2006-02-24,2007-02-24,cboulind,2004-07-16 00:00:00,,,,,,,
3336,8146,Insurance,Colony Insurance Co.,,2018-08-10,2019-08-10,JGreeves,2018-08-31 00:00:00,,,,,,,
3337,8146,Insurance,Colony Insurance Co.,WA629745-8,2010-04-30,2011-04-30,cbertani,2010-06-03 00:00:00,,,,,,,
3338,8155,Govt. Entity: Federal Covered,,,,,CBoulind,2017-02-14 00:00:00,,,,,,,
3339,8159,Insurance,Colony,,2005-06-24,2006-06-24,jgreeves,2005-08-30 00:00:00,,,,,,,
3340,8160,Insurance,ACE American Insurance Co.,PLI G21711457,2005-01-01,2006-01-01,CBoulind,2008-03-11 00:00:00,,,,,,,
3341,8160,Insurance,ACE American Insurance Co.,PLI G23717311,2008-01-01,2009-01-01,CBoulind,2008-03-11 00:00:00,,,,,,,
3342,8160,Self Insured,,,,,cboulind,2005-09-01 00:00:00,,,,,,,
3343,8161,Insurance,Ironshore,003968801,2020-01-01,2021-01-01,showell,2020-12-15 00:00:00,,,,,,,
3344,8161,Insurance,Illinois Union Insurance Co.,UST G23895791 001,2008-01-01,2009-01-01,CBoulind,2008-04-01 00:00:00,,,,,,,
3345,8161,Insurance,Great American E&S Insurance Co.,BTA 5279848,2004-08-18,2005-08-18,CBoulind,2008-04-01 00:00:00,,,,,,,
3346,8162,Govt. Entity: Federal Covered,,,,,CBoulind,2008-04-01 00:00:00,,,,,,,
3347,8163,Other,,,,,cboulind,2002-10-30 00:00:00,,,,,,,
3348,8164,Govt. Entity: Federal Covered,,,,,JGreeves,2006-12-14 00:00:00,,,,,,,
3349,8165,Insurance,,,,,cboulind,2005-05-18 00:00:00,,,,,,,
3350,8166,Insurance,Colony,,2007-08-19,2008-02-19,JGreeves,2008-02-04 00:00:00,,,,,,,
3351,8166,Insurance,Colony,,2017-07-18,2018-07-18,JGreeves,2020-09-25 00:00:00,,,,,,,
3352,8166,Insurance,Colony,,2020-07-18,2020-07-18,JGreeves,2020-09-25 00:00:00,,,,,,,
3353,8167,Insurance,Colony Insurance Co.,,2017-11-17,2018-11-17,JGreeves,2018-08-31 00:00:00,,,,,,,
3354,8167,Insurance,Zurich American Insurance Co.,USC5863896,2009-11-17,2010-11-17,cbertani,2009-10-01 00:00:00,,,,,,,
3355,8167,Insurance,Zurich American Insurance Co.,USC5863896,2011-11-17,2012-11-17,pnenninger,2012-07-30 00:00:00,,,,,,,
3356,8167,Insurance,Zurich American Insurance Co.,USC5863896,2005-11-17,2006-11-17,jgreeves,2004-04-19 00:00:00,,,,,,,
3357,8168,Insurance,Colony Insurance Co.,WA629095-7,2006-02-01,2007-02-01,CBoulind,2007-02-01 00:00:00,,,,,,,
3358,8169,Insurance,Colony Insurance Co.,WA629658-5,2005-12-15,2006-12-15,CBoulind,2017-09-21 00:00:00,,,,,,,
3359,8169,Insurance,Ironshore Specialty Insurance Co.,001518604,,,CBoulind,2017-09-21 00:00:00,,,,,,,
3360,8169,Insurance,Colony Insurance Co.,WA641970-7,2020-07-01,2021-07-01,showell,2020-11-30 00:00:00,,,,,,,
3361,8169,Insurance,Colony Insurance Co.,WA629658-8,2008-12-15,2009-12-15,CBoulind,2017-09-21 00:00:00,,,,,,,
3362,8170,Insurance,Ironshore Specialty Insurance Co.,001518604,2016-12-01,2017-12-01,CBoulind,2017-09-21 00:00:00,,,,,,,
3363,8170,Insurance,Colony Insurance Co.,WA629658-7,2008-12-15,2009-12-15,CBoulind,2017-09-21 00:00:00,,,,,,,
3364,8170,Insurance,Colony Insurance Co.,WA629658-5,2005-12-15,2006-12-15,CBoulind,2017-09-21 00:00:00,,,,,,,
3365,8177,Insurance,Colony,,2015-10-01,2016-10-01,JGreeves,2016-05-26 00:00:00,,,,,,,
3366,8177,Insurance,Colony Insurance Co.,WA629830-3,2006-11-18,2007-11-18,CBoulind,2007-06-04 00:00:00,,,,,,,
3367,8177,Insurance,Colony Insurance Co.,WA629830-6,2009-10-01,2010-10-01,cbertani,2010-06-02 00:00:00,,,,,,,
3368,8177,Insurance,Colony Insurance Co.,WA629830,2003-11-18,2004-11-18,CBoulind,2007-06-04 00:00:00,,,,,,,
3369,8178,Govt. Entity: Federal Covered,,,,,CBoulind,2014-01-10 00:00:00,,,,,,,
3370,8182,Govt. Entity: Federal Covered,,,,,CBoulind,2014-01-13 00:00:00,,,,,,,
3371,8183,Insurance,Colony Insurance Co.,WA673623,2000-02-12,2001-02-12,CBoulind,2007-06-05 00:00:00,,,,,,,
3372,8183,Insurance,Colony,,2015-10-01,2016-10-10,JGreeves,2016-05-25 00:00:00,,,,,,,
3373,8183,Insurance,Colony Insurance Co.,WA673623-7,2007-02-12,2008-02-12,CBoulind,2007-06-05 00:00:00,,,,,,,
3374,8183,Insurance,Colony Insurance Co.,WA673623-4,2004-02-12,2005-02-12,CBoulind,2007-06-05 00:00:00,,,,,,,
3375,8183,Insurance,Commerce & Industry Insurance Co.,ST6168006,1998-02-12,1999-02-12,CBoulind,2007-06-05 00:00:00,,,,,,,
3376,8183,Insurance,Colony Insurance Co.,WA640872-1,2009-11-20,2010-11-20,DEBUG,2010-06-02 00:00:00,,,,,,,
3377,8189,State Fund,,,,,cboulind,2005-03-03 00:00:00,,,,,,,
3378,8190,Insurance,Colony Insurance Co.,WA629830-6,2009-10-01,2010-10-01,cbertani,2010-06-02 00:00:00,,,,,,,
3379,8190,Insurance,Colony,,2015-10-01,2016-10-01,JGreeves,2016-05-25 00:00:00,,,,,,,
3380,8190,Insurance,Colony,WA629830-15,2018-10-01,2019-10-01,showell,2019-05-31 00:00:00,,,,,,,
3381,8191,Insurance,Colony Insurance Co.,,2002-07-06,2003-07-06,CBoulind,2013-01-04 00:00:00,,,,,,,
3382,8195,Insurance,Colony Insurance Co.,,2002-10-01,2003-10-01,CBoulind,2013-01-04 00:00:00,,,,,,,
3383,8195,Insurance,Colony Insurance Co,,2017-07-01,2018-07-01,JGreeves,2017-06-26 00:00:00,,,,,,,
3384,8196,Govt. Entity: State Covered,,,,,CBoulind,2014-01-14 00:00:00,,,,,,,
3385,8197,Insurance,,,,,mshepherd,2003-01-21 00:00:00,,,,,,,
3386,8202,Insurance,Colony Ins,,2016-03-15,2016-03-15,JGreeves,2016-06-20 00:00:00,,,,,,,
3387,8202,Insurance,,,,,JGreeves,2007-08-06 00:00:00,,,,,,,
3388,8206,Insurance,Colony,,2004-10-01,2005-10-01,DEBUG,2005-09-28 00:00:00,,,,,,,
3389,8206,Insurance,Colony,,2016-03-01,2017-03-01,JGreeves,2016-06-20 00:00:00,,,,,,,
3390,8206,Insurance,Colony,,2006-10-01,2007-10-01,JGreeves,2016-06-20 00:00:00,,,,,,,
3391,8207,Insurance,Zurich,,2005-03-15,2005-03-15,DEBUG,2005-09-28 00:00:00,,,,,,,
3392,8207,Insurance,Colony Ins Co,,2016-03-15,2017-03-15,JGreeves,2016-06-20 00:00:00,,,,,,,
3393,8207,Insurance,Zurich,,2007-03-15,2008-03-15,JGreeves,2007-08-06 00:00:00,,,,,,,
3394,8209,Insurance,Colony Insurance Co.,WA673401-4,2004-10-01,2005-10-01,JGreeves,2017-03-09 00:00:00,,,,,,,
3395,8209,Insurance,Great American,,2017-02-04,2018-02-04,JGreeves,2017-03-09 00:00:00,,,,,,,
3396,8211,Insurance,Colony Insurance Co.,WA727215,2003-08-20,2004-08-20,CBoulind,2007-01-30 00:00:00,,,,,,,
3397,8211,Insurance,Colony Insurance Co.,WA640480,2007-01-12,2008-01-12,CBoulind,2007-02-23 00:00:00,,,,,,,
3398,8213,Insurance,Colony Insurance Co.,WA629837,2006-01-14,2007-01-14,CBoulind,2007-02-23 00:00:00,,,,,,,
3399,8213,Insurance,Colony Insurance Co.,WA629837,2007-01-14,2008-01-14,CBoulind,2007-02-23 00:00:00,,,,,,,
3400,8214,Insurance,Colony Insurance Co.,,,,CBoulind,2006-09-28 00:00:00,,,,,,,
3401,8216,Insurance,Colony Insurance Co.,WA629832-1,2004-11-13,2005-11-13,CBoulind,2005-09-29 00:00:00,,,,,,,
3402,8216,Insurance,Colony Insurance Co.,WA629832-15,2018-11-13,2019-11-13,showell,2019-09-23 00:00:00,,,,,,,
3403,8216,Insurance,Colony Insurance Co.,WA628832-4,2007-11-13,2008-11-13,CBoulind,2008-04-01 00:00:00,,,,,,,
3404,8218,Insurance,Colony Insurance Co.,,,,CBoulind,2014-01-16 00:00:00,,,,,,,
3405,8219,Self Insured,The Boeing Company,,1994-04-28,1995-04-28,CBoulind,2014-01-24 00:00:00,,,,,,,
3406,8221,Govt. Entity: Federal Covered,,,,,eorzech,2014-01-16 00:00:00,,,,,,,
3407,8222,Insurance,Colony Insurance Co.,WA673555-3,2003-01-14,2004-01-14,CBoulind,2006-08-23 00:00:00,,,,,,,
3408,8222,Insurance,Colony Insurance Co.,WA673555-6,2006-01-14,2007-01-14,CBoulind,2006-08-23 00:00:00,,,,,,,
3409,8222,Insurance,Colony Insurance Co.,WA673555-9,2009-01-14,2010-01-14,cbertani,2009-09-16 00:00:00,,,,,,,
3410,8222,Insurance,Great American,BTA9988842-0,2012-01-14,2013-01-14,pnenninger,2012-07-30 00:00:00,,,,,,,
3411,8223,Self Insured,,,2006-04-30,2007-04-30,CBoulind,2006-08-23 00:00:00,,,,,,,
3412,8223,Insurance,Colony Insurance,WA640875,2008-11-25,2009-11-25,cbertani,2009-09-21 00:00:00,,,,,,,
3413,8223,Insurance,Colony Insurance,WA640875,2011-11-25,2012-11-25,pnenninger,2012-07-30 00:00:00,,,,,,,
3414,8224,Insurance,,,,,cboulind,2002-10-09 00:00:00,,,,,,,
3415,8225,Insurance,Colony Insurance Co.,WA640298,2006-08-15,2006-08-15,CBoulind,2006-08-15 00:00:00,,,,,,,
3416,8225,Insurance,Colony Insurance Co.,WA640425-2,2008-11-24,2009-11-24,cbertani,2009-09-16 00:00:00,,,,,,,
3417,8229,Govt. Entity: State Covered,,,,,CBoulind,2006-08-15 00:00:00,,,,,,,
3418,8230,Self Insured,,,2006-03-13,2007-03-13,CBoulind,2013-01-04 00:00:00,,,,,,,
3419,8230,Self Insured,,,2009-03-21,2010-03-21,cbertani,2009-10-01 00:00:00,,,,,,,
3420,8230,Self Insured,,,2012-03-29,2013-03-29,pnenninger,2012-07-30 00:00:00,,,,,,,
3421,8231,Insurance,Colony Insurance Co.,,2004-02-04,2005-02-04,CBoulind,2013-01-04 00:00:00,,,,,,,
3422,8231,Insurance,Colony Insurance Co.,,2006-07-20,2007-07-20,CBoulind,2013-01-04 00:00:00,,,,,,,
3423,8238,Insurance,,,,,chong,2001-02-08 00:00:00,,,,,,,
3424,8250,Insurance,,,,,cboulind,2003-10-31 00:00:00,,,,,,,
1,1694,Not Listed,,,,,FBecker,2013-10-31 00:00:00,,,,,,,
2,1722,Self Insured,Marathon Petroleum Company LLC,,2006-04-25,,wpua,2007-04-16 00:00:00,,,,,,,
3,1722,Guarantee,,,,,wpua,2007-04-17 00:00:00,,,,,,,
4,1722,Trust Fund,,,,,wpua,2007-04-17 00:00:00,,,,,,,
5,1723,Self Insured,Marathon Oil Company LLc,,,,wpua,2007-04-17 00:00:00,,,,,,,
6,1723,Guarantee,,,,,wpua,2007-04-17 00:00:00,,,,,,,
7,1723,Trust Fund,,,,,wpua,2007-04-17 00:00:00,,,,,,,
8,1774,Self Insured,,,,,FBecker,2013-07-29 00:00:00,,,,,,,
9,1774,Insurance,,,,,FBecker,2013-07-29 00:00:00,,,,,,,
3890,8879,Self Insured,,,,,UT,1993-05-26 00:00:00,,,,,,,
3891,8881,Insurance,PSTF,126,2004-12-01,2005-12-01,htimothy,1999-01-21 00:00:00,,,,,,,
3892,8881,Insurance,PTSF,126,2007-12-01,2008-12-01,eorzech,2011-10-11 00:00:00,,,,,,,
3893,8882,State Fund,PSTF,505,2005-03-01,2006-03-01,CBoulind,2011-10-27 00:00:00,,,,,,,
3894,8884,State Fund,PSTF,532,2006-06-01,2007-06-01,CBoulind,2011-11-15 00:00:00,,,,,,,
3895,8885,State Fund,,,,,htimothy,1999-01-21 00:00:00,,,,,,,
3896,8886,State Fund,PSTF,,1995-08-01,1996-08-01,CBoulind,2011-09-13 00:00:00,,,,,,,
3897,8887,State Fund,PSTF,353,2011-06-01,2012-06-01,CBoulind,2011-11-15 00:00:00,,,,,,,
3898,8888,Insurance,PSTF,,,,htimothy,1999-01-21 00:00:00,,,,,,,
3899,8889,Self Insured,,,,,KHolt,2007-01-10 00:00:00,,,,,,,
3900,8890,Insurance,,,,,dgray,1998-01-07 00:00:00,,,,,,,
3901,8892,State Fund,,,,,dgray,1999-01-06 00:00:00,,,,,,,
3902,8893,State Fund,PSTF,9,1998-07-01,1999-07-01,CBoulind,2011-06-24 00:00:00,,,,,,,
3903,8894,State Fund,PTSF,9,1998-07-01,1999-07-01,eorzech,2012-02-23 00:00:00,,,,,,,
3904,8895,State Fund,PSTF,9,1998-07-01,1999-07-01,CBoulind,2011-10-27 00:00:00,,,,,,,
3905,8895,State Fund,PSTF,,2004-08-01,2005-08-01,eorzech,2012-01-30 00:00:00,,,,,,,
3906,8896,Other,,,,,dgray,1998-01-23 00:00:00,,,,,,,
3907,8898,Self Insured,,,,,dgray,1997-12-22 00:00:00,,,,,,,
3908,8898,Insurance,PTSF,11,1998-11-01,1999-11-01,eorzech,2011-09-28 00:00:00,,,,,,,
3909,8900,Insurance,PSTF,,,,KHolt,2007-01-10 00:00:00,,,,,,,
3910,8901,State Fund,PTSF,3,1998-08-01,1999-08-01,eorzech,2011-09-28 00:00:00,,,,,,,
3911,8902,State Fund,PTSF,3,1998-08-01,1999-08-01,eorzech,2011-09-28 00:00:00,,,,,,,
3912,8903,State Fund,,,,,htimothy,1999-01-21 00:00:00,,,,,,,
3913,8904,State Fund,PSTF,9,2004-07-01,2005-07-01,CBoulind,2011-10-27 00:00:00,,,,,,,
3914,8905,Self Insured,,,,,dgray,1998-01-30 00:00:00,,,,,,,
3915,8906,Insurance,PSTF,,2005-01-01,2006-01-01,htimothy,1999-04-14 00:00:00,,,,,,,
3916,8906,State Fund,,,,,htimothy,1999-04-14 00:00:00,,,,,,,
3917,8910,State Fund,PSTF,,2005-11-01,2006-11-01,CBoulind,2011-11-15 00:00:00,,,,,,,
