facility_owner_id,facility_owner_name,address_1,address_2,city,county,state,zip,phone,fax,owner_comment,contact_name,tax_id,created_by,created_date,updated_by,updated_date,email_addr,ownership
18,COCA COLA OF N. ARIZONA,3825 E. HUNTINGTON DR.,,Flagstaff,Coconino,AZ,86004.0,(602) 526-2239,,,WILLIAM ATTSON,,,2014-02-10 19:05:28,,,,
19,CONSOLIDATION COAL CO.,12755 OLIVE BLVD.,,Saint Louis,Saint Louis,MO,63141.0,(314) 275-2300,,,JOHN GEFFERTH,,,2014-02-10 19:05:28,,,,
20,COPPERMINE TRADING POST,P.O. BOX 1416,,Page,Coconino,AZ,86040.0,,,,ANNA JEAN BLACK,,,2014-02-10 19:05:28,,,,
21,COVE TRADING POST,P.O. BOX 110,,Red Valley,Apache,AZ,86544.0,(602) 653-4514,,,TROY KENNEDY,,,2014-02-10 19:05:28,,,,
22,SANDIA OIL CO.,P. O. BOX 13630,,Albuquerque,Bernalillo,NM,87192.0,(505) 292-5494,(505) 294-4821,"""3/02:

Site has never been inspected. Called Sandia Oil (owner).  Mr. Steve Bettenfield requested information be made by letter.  Letter prepared by MCK and mailed on 3/22/02. Site is on  the Ramah Navajo Reservation sourth of Highway 53.  (MCK)""",L.S. BEDDINGFIELD,,,2014-02-10 19:05:28,,,,
23,ENGELHARD CORP.,MENLO PARK (CN40),,Edison,Middlesex,NJ,8818.0,(201) 321-5000,,,PERRY SKERSICK,,,2014-02-10 19:05:28,,,,
24,ARMAND ORTEGA,"""RTE. I-40, HOUCK EXIT
P.O. BOX 219""",,Houck,Apache,AZ,86506.0,(520) 688-2787,,SAME AS OWNER NUMBER 159,ARMAND ORTEGA,,,2014-02-10 19:05:28,,,,
25,BRIAN & PHIL FOUTZ,P.O. BOX 786,,Holbrook,Navajo,AZ,86025.0,(602) 654-3347,,,BRIAN FOUTZ,,,2014-02-10 19:05:28,,,,
26,GANADO UNIFIED SCHOOL DISTRICT,P.O. BOX 1757,,Ganado,Apache,AZ,86505.0,(602) 755-3436,,,JESSE APACHE,,,2014-02-10 19:05:28,,,,
27,GOULDING TRADING POST,P.O. BOX 3,,Monument Valley,San Juan,UT,84536.0,,,,DENNIS BUCKMAN,,,2014-02-10 19:05:28,,,,
28,"""WESTERN REFINING, INC fmr GIANT INDUSTRIES""",23733 N. SCOTTSDALE ROAD,,SCOTTSDALE,Maricopa,AZ,85255.0,(480) 585-8870,,,Tim Littlewood,,,2014-02-10 19:05:28,RJAMISON,2019-04-05 17:12:04,tim.littlewood@wnr.com,
29,GRAVES OIL AND BUTANE,761 S. MILLER ST.,,Farmington,San Juan,NM,87401.0,(505) 325-4551,,,WILLIAM S. MAY,,,2014-02-10 19:05:28,,,,
30,ROBERT AND DORIS HAWLEY,DILKON CHAPTER (NAVAJO TRIBE),,Winslow,,AZ,86047.0,(602) 657-3376,,,SYLVIA JACKSON,,,2014-02-10 19:05:28,,,,
31,HUGHES MISSILE SYSTEMS CO. - NAPI,ST. HWY 371 6 MI. S. OF FARMINGTON,,Farmington,San Juan,NM,87401.0,(505) 566-1500,,,DON NATONI,,,2014-02-10 19:05:28,,,,
32,INDIAN HEALTH SERVICE (IHS),P.O. BOX G,,Window Rock,McKinley,AZ,86515.0,(928) 871-1331,,MCK--Called Candace Tsingine of the IHS in Window Rock @ (928) 871-1331.  I requested that she send me the closure (old tanks) and new tank installation paperwork.   The IHS and the school share the same property.,CANDACE TSINGINE,,,2014-02-10 19:05:28,,,,
33,JUNCTION ENTERPRISES INC.,JUNCTION US 89 & STATE ROUTE 64,,Cameron,,AZ,86020.0,(602) 679-2281,,,ROBERT SIMPSON,,,2014-02-10 19:05:28,,,,
34,JOHN AND SHIRLEY PATTERSON,P.O. BOX 1410,,Kaibito,Coconino,AZ,86053.0,(928) 673-3453,,,JOHN PATTERSON,,,2014-02-10 19:05:28,,,,
35,KAYENTA UNIFIED SCHOOL DISTRICT NO. 27,P.O. BOX 337,,Kayenta,Navajo,AZ,86033.0,(602) 697-3251,,,"""BILL CLY, TRANSPORTATION DIRECTOR""",,,2014-02-10 19:05:29,,,,
36,DONALD KEMNER,400 S 156 B # 8,,Blanding,San Juan,UT,84511.0,(801) 678-2001,,435-678-2318,PAUL & DIANE KEMNER,nav249,,2014-02-10 19:05:29,,,,
37,DAVE KHOW,P.O. BOX 2080,,Tuba City,,AZ,86045.0,(602) 283-4938,,,DAVE KHOW,,,2014-02-10 19:05:29,,,,
38,MERLE MOORE,"""MARIANO LAKE TRADING POST
P.O. BOX 520""",,Gallup,Mckinley,NM,87301.0,(505) 786-7339,,MCK. Site is locatied 15 milies east of Mariano Lake.  Tank notice dated 4/9/86 indiated Merle Moore as Owner and lesee is Marie Westmorland.,,,,2014-02-10 19:05:29,,,,
39,JOHN MC CULLOCH,"""TEEC NOS POS TRADING POST
JUNCTION HWY 160 + HWY 64""",,Teec Nos Pos,,AZ,86514.0,(928) 656-3224,,,,,,2014-02-10 19:05:29,,,,
40,PAUL MERRILL ENTERPRISES,P.O. BOX 255,,Fort Wingate,Mckinley,NM,87316.0,(505) 488-5646,,"""MCK. Is it Indian lands or State of New Mexico jurisdiction? Checking with Tom Gray of State of New Mexico. Letter to Boone from Scott Merrill, owner regarding tank removal and clean up (june 1992). Mr. Merril had been working with New Mexico State Ust group. See what New Mexico has on closure documents.""",PAUL MERRILL,,,2014-02-10 19:05:29,,,,
41,SHIPROCK EXPRESS LLC,"""501 AIRPORT DR
STE # 100""",,Farmington,San Juan,NM,87401.0,(505) 327-5156,,NEW SITE REPORTED BY BIOTECH,UNKNOWN,,,2014-02-10 19:05:29,,,,
42,MONUMENT VALLEY HOSPITAL,"""P.O. BOX 4
4 ROCK DOOR CANYON DRIVE""",,Monument Valley,San Juan,UT,84536.0,(801) 727-3271,,"""ABANDONED ??
CLOSED SINCE 1998.
 UST REMOVED?
NNEPA WILL FOLLOW UP.
2 ASTs ALSO PRESENT ON SITE.""",CARL SHILEY,,,2014-02-10 19:05:29,,,,
43,MARIE LEIGHTON (former),"""TWO GREY HILLS TRADING POST, PO Box 2639 (mailing address)""",,Farmington,San Juan,NM,87499.0,(505) 789-3270,,,,,,2014-02-10 19:05:29,,,,
44,u,P.O. BOX 207,,Ganado,Apache,AZ,86505.0,(520) 755-3244,,,JO ANN MORA,,,2014-02-10 19:05:29,,,,
45,JOE R. CLINE,SALINA SPRINGS TRADING POST,,Chinle,Apache,AZ,86503.0,(602) 725-3253,,"""LEASED FROM NAVAJO NATION DEPARTMENT OF ECONOMIC DEVELOPMENT
PRIOR LESSEE: DAVID G. MURRAY""",,,,2014-02-10 19:05:29,,,,
46,RICHARD BOWMAN,P.O. BOX 1279,,Saint Michaels,Apache,AZ,86511.0,(602) 871-2390,,,,,,2014-02-10 19:05:29,,,,
47,NATIONAL PARK SERVICE,"""CANYON DE CHELLY NATL. MONUMENT
P.O. BOX 588""",,Chinle,Apache,AZ,86503.0,(520) 674-5506,,,HERBERT YAZHE,,,2014-02-10 19:05:29,,,,
48,NAVAJO GOSPEL MISSION,"""3910 E. EL PASO DRIVE
P.O. BOX 3717""",,Flagstaff,Coconino,AZ,86004.0,(602) 526-0875,,,PAUL WALTON,,,2014-02-10 19:05:29,,,,
49,NAVAJO NATION,P.O. BOX 608,,Window Rock,McKinley,AZ,86515.0,(928) 871-6427,(928) 871-7038,Birdie Becenti also works under Ray Barton and handles UST issues (MCK),Raymond Barton,,,2014-02-10 19:05:29,,,,
50,NAVAJO NATION HOSPITALITY ENTERPRISE,P.O. BOX 2340,,Window Rock,McKinley,AZ,86515.0,(520) 871-4108,,,DONALD HUBBARD,,,2014-02-10 19:05:29,,,,
51,NAVAJO NATION HEALTH FOUNDATION,P.O. BOX 457,,Ganado,Apache,AZ,86505.0,(602) 755-3411,,,,,,2014-02-10 19:05:29,,,,
52,NAVAJO TRIBAL UTILITY AUTHORITY (NTUA),P.O. BOX 170,,Fort Defiance,Apache,AZ,86504.0,(602) 729-5721,,,KENNETH TODAKONZIE,,,2014-02-10 19:05:29,,,,
53,R. B. FOUTZ,NO ADDRESS GIVEN,,Newcomb,San Juan,NM,87455.0,(505) 696-9925,,,,,,2014-02-10 19:05:29,,,,
54,NAVAJO WESTERNERS,P.O. BOX 958,,Kayenta,Navajo,AZ,86033.0,(602) 697-8173,,,INDUSTRIAL DIST. INC.,,,2014-02-10 19:05:29,,,,
55,KEITH B. CODY & CO.,155 MAIN STREET,,Tuba City,,AZ,86045.0,(520) 283-5203,,FORMER PARTNER IN NAVAJO WESTERNERS,,,,2014-02-10 19:05:29,,,,
56,PERMCO,AIRPORT AND MAIN,,Farmington,San Juan,NM,87401.0,(505) 368-4448,,,CHARLES FOUTZ,,,2014-02-10 19:05:29,,,,
57,"""MOBIL, INC.""",P.O. BOX 633,,Midland,Midland,TX,79702.0,(915) 688-2036,,,DOUGLAS FANT,,,2014-02-10 19:05:29,,,,
58,PINON UNIFIED SCHOOL DIST. #4,P.O. BOX 839,,Pinon,Navajo,AZ,86510.0,(602) 725-3450,,,GEORGE BEN,,,2014-02-10 19:05:29,,,,
59,PGP CORPORATION,NO ADDRESS GIVEN,,Chinle,Apache,AZ,86503.0,(602) 728-3266,,,,,,2014-02-10 19:05:29,,,,
60,THRIFTWAY MARKETING CORP.,710 E. 20TH ST.,,Farmington,San Juan,NM,87401.0,(505) 326-5571,,,BETTY SWEARINGEN,,,2014-02-10 19:05:29,,,,
61,RED LAKE TRADING POST CO.,1515 EAST CEDAR AVE.,,Flagstaff,Coconino,AZ,86004.0,(520) 774-8711,,,HILTON HARRIS,,,2014-02-10 19:05:29,,,,
62,RED MESA UNIFIED SCHOOL DIST. #27,"""STAR ROUTE 1
P.O. BOX 40""",,Teec Nos Pos,,AZ,86514.0,(602) 656-3511,,,L. WILLIAM BUTLER,,,2014-02-10 19:05:29,,,,
63,ROUND TOP TRADING CO.,P.O. BOX 209,,Ganado,Apache,AZ,86505.0,(602) 755-3480,,,GORDON GORMAN,,,2014-02-10 19:05:29,,,,
64,SAN JUAN SCHOOL DIST.,200 NORTH MAIN,,Blanding,San Juan,UT,84511.0,(801) 587-2254,,,HERB FRAZIER or KENT TIBBITTS,,,2014-02-10 19:05:30,,,,
65,"""RED ROCK RETAILERS, LLC""",501 AIRPORT DRIVE,,Farmington,San Juan,NM,87401.0,(505) 327-5156,,,,,,2014-02-10 19:05:30,,,,
66,TOM SHIRLEY,P.O. BOX 44,,Lupton,Apache,AZ,86508.0,(520) 688-2637,,,TOM SHIRLEY,,,2014-02-10 19:05:30,,,,
67,DEFORREST SMOUSE,1070 N.500 E.,,Centerville,Davis,UT,84014.0,(801) 292-3800,,,DON SMOUSE,,,2014-02-10 19:05:30,,,,
68,H. JAY SPRINGER,"""C/O PETE DOMENICI JR
DOLAN & DOMENICI 
5801 OSUNA NE #107""",,Albuquerque,Bernalillo,NM,87105.0,(602) 686-6202,,,,,,2014-02-10 19:05:30,,,,
69,Western State Petroleum Co.,450 South 15th Ave.,,Phoenix,Maricopa,AZ,85007.0,(602) 252-4011,,INSPECTED 06/25/01 BY OJHA.,WENDELL MORTENSEN,,,2014-02-10 19:05:30,,,,
70,FRED & EDITH THOMPSON,P.O. BOX 85,,Church Rock,Mckinley,NM,87311.0,(505) 488-5374,,,IVAN THOMPSON,,,2014-02-10 19:05:30,,,,
71,"""NAVAJO CONVENIENT STORES, LLC""",710 E. 20TH STREET,,Farmington,San Juan,NM,87401.0,(480) 585-8870,,"""JOINT VENTURE BETWEEN GIANT FOUR CORNERS AND NAVAJO NATION; OWNERSHIP 66/30 IN 2000 BECOMING 50/50 IN 2010.
(505-326-5571).
INSPECTED 06/25/01 BY OJHA.
COMPLIANCE REQ'D. BY 07/25/01.""",,,,2014-02-10 19:05:30,,,,
72,"""Spartin Investments, LLC""",920 E. Hwy 66,,Gallup,Mckinley,NM,87301.0,(505) 722-5031 ext.5,,Contact title is listed as member manager,Mark Nicholson,,,2014-02-10 19:05:30,ACF,2014-10-02 13:03:23,,
73,ENRON CORP. SUBSIDIARY:TRANSWESTERN PIPELINE CO.,P.O. BOX 1188,,Houston,Harris,TX,77251.0,(713) 853-7305,,,,,,2014-02-10 19:05:31,,,,
74,TUBA CITY UNIFIED SCHOOL DISTRICT,P.O. BOX 67,,Tuba City,,AZ,86045.0,(602) 283-4211,,,GEORGE ADSON,,,2014-02-10 19:05:31,,,,
75,DON DAVIS,P. O. BOX 338,,Tuba City,,AZ,86045.0,(520) 526-6244,,,DON DAVIS,,,2014-02-10 19:05:31,,,,
76,DALE NICHOLSON TRUST,"""I-40, Exit 359Grants Road""",,Lupton,Apache,AZ,86508.0,(928) 688-2775,,RELATED TO SUNWEST STORES,MARK  NICHOLSON,,,2014-02-10 19:05:31,RJAMISON,2017-04-20 15:23:02,mark@spartin.net,
77,UNITED FOOD STORES OF ARIZONA,900 SCHOFIELD,,Farmington,San Juan,NM,87401.0,(505) 327-7211,,ALSO CONTACT ALAN FRAZER,BONNIE FRAZER,,,2014-02-10 19:05:31,,,,
78,VAN'S TRADING CO.,HWY 160,,Tuba City,,AZ,86045.0,(602) 283-5343,,,TOBY HUNSBERGER,,,2014-02-10 19:05:31,,,,
79,DANNY VAN KUELEN,P.O. BOX 2,,Tonalea,Coconino,AZ,86044.0,(602) 123-4567,,,DANNY VAN KUELEN,,,2014-02-10 19:05:31,,,,
80,HARRISON WILLIAMS,STAR RTE. 264,,Saint Michaels,Apache,AZ,86511.0,(520) 123-4567,,,HARRISON WILLIAMS,,,2014-02-10 19:05:31,,,,
81,C.G. WHEELER,SUNRISE TRADING POST,,Ganado,Apache,AZ,86505.0,(602) 755-3235,,,H. J. SPRINGER,,,2014-02-10 19:05:31,,,,
82,WHITING BROS. OIL CO.,816 W. HOPI DR.,,Holbrook,Navajo,AZ,86025.0,(602) 524-6281,,,GARY WHITING,,,2014-02-10 19:05:31,,,,
83,FRANK WILSON,P.O. BOX 931,,Teec Nos Pos,,AZ,86514.0,(928) 656-3419,,,FRANK WILSON,,,2014-02-10 19:05:31,,,,
84,WINDOW ROCK UNIFIED SCHOOL DISTRICT #8,"""P.O. BOX 559
NAVAJO RTE. 12""",,Fort Defiance,Apache,AZ,86504.0,(520) 729-5704,,,CHESTER MEGO,,,2014-02-10 19:05:31,,,,
85,NATIONAL SCIENCE FOUNDATION,"""KITT PEAK NATIONAL OBSERVATORY
950 N. CHERRY AVE""",,Tucson,Pima,AZ,85726.0,(520) 318-8211,(520) 318-8581,Note there is only one site here.  Numerous old tanks have been taken out at this location in the past.  Currently there are only 2 operating USTs.,Check Gessner,,,2014-02-10 19:05:31,,,,
86,BIA - PAPAGO INDIAN AGENCY,P. O. BOX 578,,Sells,Pima,AZ,85634.0,,,OUT OF SERVICE. OLD LUST SITE TANK REMOVED (When?) ARB VISITED IN 1999. NO TANKS FOUND.,MINNIE MANN,,,2014-02-10 19:05:31,,,,
87,FRANCISCAN FRIARS / SAN XAVIER MISSION,"""ROBERT VINT
620 N. COUNTRY CLUB RD.""",,Tucson,Pima,AZ,85716.0,(602) 795-0100,,,ROBERT VINT,,,2014-02-10 19:05:31,,,,
88,SAN XAVIER COOP ASSOCIATION,2018 W. SAN XAVIER ROAD,,Tucson,Pima,AZ,85746.0,(602) 294-5727,,,,,,2014-02-10 19:05:31,,,,
89,TOHONO O'ODHAM NATION (PAPAGO),P.O. BOX 500,,Sells,Pima,AZ,85634.0,(520) 361-2449,,,DONALD ROBINETTE,,,2014-02-10 19:05:31,,,,
90,INDIAN OASIS-BABOQUIVARI SCHOOL DIST.,P.O. BOX 248,,Sells,Pima,AZ,85634.0,(602) 383-2601,,,GABRIEL CACHORA,,,2014-02-10 19:05:31,,,,
91,GSA,300 W. CONGRESS FB-26,,Tucson,Pima,AZ,85701.0,(602) 629-6301,,,HOSS DONAHAY,,,2014-02-10 19:05:31,,,,
92,FRANCISCAN FRIARS,"""SAN SOLANO MISSIONS
1946 SAN XAVIER RD.""",,Yuma,Yuma,AZ,85369.0,(520) 361-2419,,THREE SITES WITH CLOSED TANKS.,"""THOMAS FROST, OFM""",,,2014-02-10 19:05:31,,,,
93,MOUNTAIN BELL,1801 CALIFORNIA ST.,,Denver,Denver,CO,80202.0,(303) 896-6504,,,JOHN FERGUSON,,,2014-02-10 19:05:31,,,,
94,NORANDA LAKESHORE MINES / CYPRUS SIERRITA CORP.,P.O. BOX C6,,Green Valley,Pima,AZ,85622.0,(520) 648-8500,,,JOHN KLINE,,,2014-02-10 19:05:31,,,,
95,U.S. ARMY CORPS OF ENGINEERS,26 N. MCDONALD,,Mesa,Maricopa,AZ,85201.0,(602) 833-7323,,,MELVIN WEISS,,,2014-02-10 19:05:32,,,,
96,TRAVIS ROBINETTE,PISINEMO RURAL BRANCH,,Sells,Pima,AZ,85634.0,(602) 362-2358,,,TRAVIS ROBINETTE,,,2014-02-10 19:05:32,,,,
97,Kykotsmovi Enterprise Board,112 Main St.,,Kykotsmovi,Maricopa,AZ,86039.0,(928) 734-2456,,,,,,2014-02-10 19:05:32,,,,
98,CEDAR UNIFIED SCHOOL DISTRICT,P.O. BOX 367,,Keams Canyon,Apache,AZ,86034.0,(928) 738-5527,,,HENRY NEZ,,,2014-02-10 19:05:32,,,,
99,"""MCGEE AND SON, INC.""",P.O. BOX 437,,Pinon,Navajo,AZ,86510.0,(520) 725-3335,,,FERRON MCGEE,,,2014-02-10 19:05:32,,,,
100,HOTEVILLA VILLAGE,P.O. BOX 706,,Hotevilla,,AZ,86030.0,(928) 734-2420,,,KENNETH QUANIMPTEWA,,,2014-02-10 19:05:32,,,,
101,HOPI TRIBE,P.O. BOX 123,,Kykotsmovi Village,Navajo,AZ,86039.0,(602) 734-2441,,,NORRIS ONSAE,,,2014-02-10 19:05:32,,,,
102,FREDERICKS EXXON,P.O. BOX 32,,Kykotsmovi Village,Navajo,AZ,86039.0,(602) 734-6638,,,ARVIN FREDERICKS,,,2014-02-10 19:05:32,,,,
103,RICHARD'S ENTERPRISE,P.O. BOX 390,,Polacca,Navajo,AZ,86042.0,(602) 737-2550,,,LORENZO FOWLER,,,2014-02-10 19:05:32,,,,
104,"""AJM FARMS, INC.""",6773 W. WILLIS ROAD,,Chandler,Maricopa,AZ,85226.0,(602) 961-1038,,,ED HOLDERNESS,,,2014-02-10 19:05:32,,,,
105,"""T & G AVIATION, INC.""",22000 S. PRICE ROAD,,Chandler,Maricopa,AZ,85248.0,(602) 796-5188,,,SERGIO TOMASSONI,,,2014-02-10 19:05:32,,,,
106,BIA   GILA RIVER/PIMA AGENCY,"""104 N. MAIN ST.
P.O. BOX 8""",,Sacaton,Maricopa,AZ,85247.0,(602) 562-3326,,,,,,2014-02-10 19:05:32,,,,
107,"""BLUE CIRCLE WEST, INC.""",2625 S. 19TH AVE.,,Phoenix,Maricopa,AZ,85009.0,(602) 253-2505,,,PAUL SMITH,,,2014-02-10 19:05:32,,,,
108,JOHN DEERE & CO.,JOHN DEERE ROAD,,Moline,Rock Island,IL,61265.0,(309) 765-4457,,,BRUCE KACER,,,2014-02-10 19:05:32,,,,
109,GILA RIVER BUSINESS ENTERPRISES,P.O. BOX 299,,Sacaton,Maricopa,AZ,85247.0,(520) 562-3391,,,JAMES HARRIMAN,,,2014-02-10 19:05:32,,,,
110,RAY BELL OIL CO. OF AZ,P.O. BOX 100,,Dewey,Yavapai,AZ,86327.0,(520) 632-4412,,,ROBERT TURNER,,,2014-02-10 19:05:32,,,,
111,"""SPECIALTY FOREST PRODUCTS, INC.""",6744 W. GERMANN ROAD,,Chandler,Maricopa,AZ,85226.0,(602) 264-2533,,,DALE MASSON,,,2014-02-10 19:05:32,,,,
112,OLBERG TRADING POST,P.O. BOX 130,,Sacaton,Maricopa,AZ,85247.0,(602) 562-3459,,,MONTY ELLIS,,,2014-02-10 19:05:32,,,,
113,SAINT PETER'S INDIAN MISSION,NO STREET ADDRESS,,Bapchule,Pinal,AZ,85221.0,(520) 315-3600,,,BROTHER ROLAND,,,2014-02-10 19:05:32,,,,
114,"""ARIZONA TRADERS, INC.""",109 PIMA ST.,,Sacaton,Maricopa,AZ,85247.0,(602) 562-3355,,,"""DAVID HARBISON, SR.""",,,2014-02-10 19:05:32,,,,
115,"""PAYLESS CASHWAY, INC.""",1509 N. ARIZONA AVE,,Gilbert,Maricopa,AZ,85234.0,(602) 961-1329,,,TOM GALLIN,,,2014-02-10 19:05:32,,,,
116,KACHINA REDI MIX,1976 E. PIMA ST.,,Tempe,Maricopa,AZ,85281.0,(602) 894-0613,,,RAYMOND BULKS,,,2014-02-10 19:05:32,,,,
117,J.I. CASE COMPANY,SR 87 AT SACATON ROAD,,Sacaton,Maricopa,AZ,85247.0,(602) 562-3363,,,ROBERT PFISTER,,,2014-02-10 19:05:32,,,,
118,SAN TAN LAND OWNER'S CORP.,NO STREET ADDRESS,,Sacaton,Maricopa,AZ,85247.0,(602) 562-3356,,,HARRINGTON LUNA,,,2014-02-10 19:05:32,,,,
119,GRANDE MACHINERY,P.O. BOX 549,,Maricopa,Pinal,AZ,85239.0,(602) 568-2256,,,EMERY SALTER,,,2014-02-10 19:05:32,,,,
120,DELA TEK,2000 N. VAVAGES AVE.,,Coolidge,Pinal,AZ,85228.0,(602) 723-5491,,,RON MCLAREN,,,2014-02-10 19:05:32,,,,
121,NORRIS TRIMBLE/PACIFIC LIVESTOCK,1380 S. PRICE ROAD,,Chandler,Maricopa,AZ,85226.0,(602) 839-2938,,,NORRIS TRIMBLE,,,2014-02-10 19:05:32,,,,
122,DIOCESE OF PHOENIX,400 E. MONROE STREET,,Phoenix,Maricopa,AZ,85004.0,(602) 257-0030,,,FRANCES ANSELMO,,,2014-02-10 19:05:32,,,,
123,GENSTAR CONSERVATION SYSTEMS,6733 W. WILLIS,,Chandler,Maricopa,AZ,85226.0,(602) 961-1490,,,C.A. ROCHELEAU,,,2014-02-10 19:05:32,,,,
124,"""TUBA CITY EXPRESS, LLC""",710 E. 20TH STREET,,Farmington,San Juan,NM,87401.0,(505) 327-4965,,,TERRY GRIFFIN,,,2014-02-10 19:05:32,,,,
125,HAVASUPAI INDIAN TRIBE,NO STREET ADDRESS,,Supai,Coconino,AZ,86435.0,(602) 448-2882,,,DON WATAHOIMIGIE,,,2014-02-10 19:05:32,,,,
126,"""HAVASU LAKE SERVICE , INC.""",3 HAVASU LAKE ROAD,,Havasu Lake,San Bernardino,CA,92363.0,(619) 858-4392,,ACTUAL LOCATION OF TANKS MAY BE IN ARIZONA. ONE TANK REMOVED 10/28/98. NFA 01/21/99. NO OF TANKS STILL IN GROUND UNKNOWN.,JAMES FRATUS,,,2014-02-10 19:05:32,,,,
127,TIMOTHY BUSSELL,P.O. BOX 103,,Hoopa,Humboldt,CA,95546.0,(916) 625-4347,,,TIMOTHY RUSSELL,,,2014-02-10 19:05:32,,,,
128,BUREAU OF LAND MANAGEMENT,"""LAS VEGAS DISTRICT OFFICE
P.O. BOX 26569""",,Las Vegas,Clark,NV,89126.0,(702) 647-5000,,,JACQUELINE GRATTON,,,2014-02-10 19:05:32,,,,
129,FEDERAL AVIATION ADMINISTRATION (FAA),2641 BUCKEYE ROAD,,Phoenix,Maricopa,AZ,85034.0,(602) 379-4315,,,JIMMIE BELL,,,2014-02-10 19:05:32,,,,
130,R.D.'S PIT STOP,"""888 HWY 66
P.O. BOX 60""",,Peach Springs,Mohave,AZ,86434.0,(602) 769-8250,,,LOVLON BEST,,,2014-02-10 19:05:32,,,,
131,HUALAPAI INDIAN TRIBE,P.O. BOX 178,,Peach Springs,Mohave,AZ,86434.0,(602) 769-2216,,,DALLAS QUASULA,,,2014-02-10 19:05:33,,,,
132,LA POSTA BAND OF MISSION INDIANS,1064 BERONA AVE.,,Lakeside,San Diego,CA,92040.0,(619) 561-9294,,,FRANK LACHAPPA,,,2014-02-10 19:05:33,,,,
133,KING AND JUDY FREEMAN,PALA MISSION ROAD,,Pala,San Diego,CA,92059.0,(619) 742-3262,,,KING FREEMAN,,,2014-02-10 19:05:33,,,,
