release_priority_id,release_id,rank_date,rank_score,soil_contam_observed,gw_contam_observed,primary_coc,limited_source_rem,gw_used,gw_assess_uncertainty,vapor_intrusion_pathway,vi_assess_uncertainty,direct_contact_pathway,direct_contact_uncertainty,other_pathway_desc,other_pathway_certainty,other_pathway_likelihood,closest_receptor_well_lat,closest_receptor_well_long,impacted_well,dw_exposure_control,future_use_impaired,future_use_5yr,residual_napl,napl_migrating,ranking_narrative,created_by,created_date,updated_by,updated_date,priority_for_tribe
119,299,2013-02-27,3,Y,Y,Benzene,N,Not Likely,Medium,Likely,Medium,Possible,High,surface water,High,Possible,,,,,Yes,No,Measurable,No,"Stable plume: plume is shrinking and COC levels are decreasing. Residual NAPL is present: less than 1” in one MW (12/2011). Edge of NAPL had the highest BTEX levels. AS/SVE in operation from 12/30/2010 to 1/6/2012 ~ one year. Future use of groundwater and land is currently impaired as there are other environmental problems at this site from hazardous waste release (solvents, pesticides, ASTs). 
",,2014-02-11 10:52:21,,,
120,300,2013-04-09,3,Y,Y,MtBE,N,Not Likely,Low,Likely,Medium,Possible,Medium,surface water,Medium,Possible,,,,,Yes,No,Measurable,Yes,"Potential exposure at receptor points based on current CSM: free product in groundwater, groundwater flow towards northeast, school within ¼ mile north of the site. Unknown if the plume is stable:  In 2000, consultant, DPE stated that it was estimated that the MTBE plume has migrated off site, to the west of the adjacent 2nd Avenue, towards drainage ditches and irrigation canal. No current exposure reported; release was reported about 14 years ago.
",,2014-02-11 10:52:21,,,
121,301,2013-03-22,5,N,N,TPH-G,N,Possible,Medium,Possible,Medium,Possible,Medium,,NA,NA,,,,,,,None,,"The most recent analytical results for groundwater samples from the 5 existing monitoring wells were ND. After I review some additional Army Corps data on the site, and checking with the Tribal EPA, I’ll probably close the enforcement action. On 6/14/99, EPA issued an NFA letter after the facility removed 4 USTs. However, groundwater contamination was subsequently discovered.
",,2014-02-11 10:52:21,,,
122,303,2013-02-27,5,Y,N,Benzene,Y,Not Likely,Medium,Not Likely,Low,Possible,Medium,surface water,Medium,Possible,,,,,No,No,None,No,"Groundwater is at 9-10’ bgs; may not be impacted because low level soil contamination below groundwater at UST location. Limited site characterization: benzene at 12.5’ bgs is at 0.36 ppm and TPH-GRO is at 43 ppm; benzene and TPH levels decrease with depth based on soil samples taken during the UST removal. Likely soil only case, although no groundwater sample was taken. 
",,2014-02-11 10:52:21,,,
123,304,2013-03-22,4,Y,Y,Benzene,N,Not Likely,Medium,Possible,Medium,Not Likely,Medium,,NA,NA,,,,,,,Measurable,,"The RP’s contractor has addressed most of the onsite PCS and GW contamination with dual phase extraction. Some offsite groundwater impacts are being assessed. Confirmatory soil and GW sampling should be conducted. Possible site closure in a year, or so.
",,2014-02-11 10:52:21,,,
124,305,2013-03-22,4,Y,Y,Benzene,N,Not Likely,Medium,Possible,Medium,Not Likely,Medium,,NA,NA,,,,,,,ERROR,,"ADEQ is the lead on the Site based on its old, historical involvement. The RP implemented SVE/AS for several years, but ADEQ is currently only requiring GW monitoring. Samples collected on 10/29/12 showed elevated benzene in 4 MWs (2,300 ppb in MW-6, also 630, 420 and 290 ppb in 3 other wells). Unknown when ADEQ will close the Site based on the elevated benzene concentrations.
",,2014-02-11 10:52:21,,,
125,310,2013-01-30,5,N,N,ERROR,,Not Likely,ERROR,Not Likely,Low,Not Likely,Low,,NA,NA,,,No,No,No,No,ERROR,No,3 small 500 gallon tanks under foundation.  Empty since 1998.  Abandon in place.  Closest receptor well within 1/2 mile. ,,2014-02-11 10:52:22,,,
126,312,2013-04-12,4,Y,Y,MtBE,N,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,Surface water,High,Possible,,,,,,,None,No,"2 USTs excavated and removed in 1991. The City of Phoenix (COP) production wells COP-9 and C0P-11 were shut down in early 1992 when low conc's of MTBE were identified in samples from the wells.  DPE system operated from Apr 1992 - Jan 1995.  An estimated 1,321 gal of fuel hydrocarbons were removed as vapor and 450 gal removed as liquid from the subsurface during that duration. Production wells COP-8 and COP-10 were turned off in Spring 1994 as result of low conc's of gasoline hydrocarbons and MTBE observed in samples from MWs in vicinity. AS system was operated from Aug 1995 - Sep 1996. As of 6/20/00. High MTBE in GW at MW-42 (6000 ppb, MW destroyed 1/16/03) and MW-43 (7600 ppb).  Former COP drinking water well COP-8 was reactivated in Dec 2008, and as of Apr 2009 was providing irrigation water for 2 tribal golf courses.  In Nov 2004, GW sampling from some wells and results included no MCL exceedences for BTEX, and only one well MW-34 with MTBE concentrations above PRG (110 ug/L).  ",,2014-02-11 10:52:22,,,
127,315,2013-10-16,E,Y,,Benzene,,Likely,High,Likely,ERROR,Not Likely,ERROR,,NA,Likely,,,,,,,ERROR,,"2,000 gallon Release August 2013

Site work began 10/14/13",,2014-02-11 10:52:22,,,
128,315,2013-10-23,E,Y,Y,Benzene,Y,Likely,Low,Possible,Medium,Not Likely,Low,,Low,Not Likely,,,,Yes,Yes,Yes,Measurable,Yes,Recent release from tank failure.  Estimated 2000gal release of gasoline.  Potable water wells within 250 feet of site.  Initial data showed moderate product in first well installed (mw-1).,,2014-02-11 10:52:22,,,
129,315,2014-01-14,2,Y,Y,Benzene,Y,Likely,Low,Likely,Low,Not Likely,Low,"inhalation, indirect ingestion of irrigation water if groundwater is contaminated by dissolved COCs
",Medium,Possible,,,,,Yes,No,Sheen,No,,,2014-02-11 10:52:22,,,
130,318,2013-02-14,4,,,ERROR,,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,,NA,NA,,,,,,,ERROR,,"Little is known about site, need to make contact with tribe. 4 monitoring wells at site. August 2012 GW sampling event indicated -TEX below MCL (for some reason missing benzene result) and only bis(2-Ethylhexyl)phthalate above MCL at 7.6 ug/L. ",,2014-02-11 10:52:22,,,
131,319,2013-04-12,4,Y,Y,ERROR,Y,Not Likely,High,ERROR,ERROR,ERROR,ERROR,,NA,NA,,,,,,,None,No,"One 10K UST containing gasoline and one 8K UST containing diesel were removed April 27-29, 1999. Composite soil taken from excavated sample indicated soil contamination - max concentrations in soil (mg/kg): B 240, T 1300, E 380, X 2100, C6-C10 Volatile Fuel Hydrocarbons 28000. A vertical soil boring was placed in the area of the UST excavation and showed various levels of contamination extending to GW. Because the owner operator of the site intends to consturc a building in this area, the decision was made to excavate and remove 400 cubic yards of soil. No water well located within 3/4 miles from site",,2014-02-11 10:52:22,,,
132,320,2013-04-12,4,Y,Y,ERROR,Y,Not Likely,High,ERROR,ERROR,ERROR,ERROR,,NA,NA,,,,,,,None,No,"One 10K UST containing gasoline and one 8K UST containing diesel were removed April 27-29, 1999. Composite soil taken from excavated sample indicated soil contamination - max concentrations in soil (mg/kg): B 240, T 1300, E 380, X 2100, C6-C10 Volatile Fuel Hydrocarbons 28000. A vertical soil boring was placed in the area of the UST excavation and showed various levels of contamination extending to GW. Because the owner operator of the site intends to consturc a building in this area, the decision was made to excavate and remove 400 cubic yards of soil. No water well located within 3/4 miles from site",,2014-02-11 10:52:22,,,
133,326,2013-04-11,3,Y,Y,Benzene,Y,Possible,Medium,Not Likely,Medium,Not Likely,Medium,,Medium,Not Likely,,,,,No,Yes,Sheen,No,"Approximately 1 million dollars have already been expended on the site in attempts to clean up impacted soils and groundwater. The  original approved federal LUST spending limit was $900,000 dollars. With respect to a path forward, it appears the most prudent approach for addressing this site would be to terminate further sampling and remedial activities at the site in favor of Institutional Controls being negotiated with GRIC. The rationale behind this recommendation is that the project site will most likely not experience any meaningful reduction in contamination onsite unless further significant monetary investment is made, which is not available. Plume is very deep (over 100'). Sampling and analysis as well as remedial activities have shown that after almost 15 years and 1 million dollars spent to date, levels of petroleum impact still exist. Using Institutional Controls to prevent future exposure from this plume appears to be the best way forward in dealing with this site.",,2014-02-11 10:52:22,,,
134,331,2013-02-14,4,Y,Y,Benzene,Y,Not Likely,Medium,Not Likely,Medium,Not Likely,Low,,NA,NA,,,,,No,Yes,None,No,"Hydrocarbon contamination was discovered in soil and GW in 1998 following the removal of UST. Gila River Diabetes Resource Center was constructed at site in Fall 2003 (USTfields and Brownfields grants). Vapor barrier was constructed over concrete foundation to prevent migration of hydrocarbon vapors into building. Analytical results of GW since 2003 indicate that only one monitoring well appears to be affected by contamination (MW-4), and benzene has been consistently above MCL since 2003 (ranking from 5.7-15 ug/L). Plume is stable. Lateral extent of contamination appears to be ~19,000 square feet. Passive remediation (BV/BS) was installed January 2007. Most recent monitoring results show Benzene concentrations of 5.7 ug/L (5/19/05) in MW-4, all other wells showed results below respective reporting limits for BTEX. ",,2014-02-11 10:52:22,,,
135,347,2013-02-27,5,Y,N,TPH-D,Y,Possible,Medium,Not Likely,Low,Not Likely,Low,,Low,Not Likely,,,No,Yes,No,No,None,No,"Soil contamination found at 10’ bgs under piping: TPH-DRO @4,700 ppm and GRO @1,600 ppm; BTEX detected but below RSLs. Soil boring extended to 45’ bgs; no contamination was detected. Groundwater was not encountered at 45’ bgs. 
",,2014-02-11 10:52:22,,,
136,360,2013-02-27,5,Y,,ERROR,,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,,NA,NA,,,,,,,ERROR,,"Soil contamination found at 12’ bgs, under tank: TPH-DRO @110 ppm and GRO @82 ppm; BTEX below RSLs. Groundwater not encountered at 12’ bgs. NFA recommended because only low level TPHs present and no BTEX above the RSLs. 
",,2014-02-11 10:52:22,,,
137,367,2013-04-09,3,,,ERROR,Y,Possible,High,Not Likely,Medium,Not Likely,Low,,NA,Not Likely,,,,,Yes,No,None,No,"Two 3K-gallon USTs may be present at this site. Site is currently abandoned but in-between the Post Office and a Tribal office. Potential receptors include workers in the adjacent buildings. File note indicates that this was a former BIA maintenance shop, but information from the Tribe indicated this was a gas station that was privately owned and turned over to the Tribe. The Tribe was the last known operator of the gas station. USTs may have been removed in 1995, but no UST removal report is found in the file. Geophysical survey is needed to confirm USTs.
",,2014-02-11 10:52:22,,,
138,369,2013-03-26,2,Y,Y,Benzene,Y,Possible,Medium,Possible,High,Possible,Medium,,Medium,NA,,,,,Yes,Yes,Measurable,No,"Not sure about well on-site. Multiple releases by multiple RP's. If on-site well can be sampled, ranking may go to a 3.",,2014-02-11 10:52:22,,,
139,370,2013-03-26,2,Y,Y,Benzene,Y,Possible,Medium,Possible,High,Possible,Medium,,Medium,NA,,,,,Yes,Yes,Measurable,No,"Not sure about well on-site. Multiple releases by multiple RP's. If on-site well can be sampled, ranking may go to a 3.",,2014-02-11 10:52:22,,,
140,383,2013-04-10,2,Y,Y,Benzene,Y,Likely,Low,Possible,Low,Possible,Low,,Low,Not Likely,,,,,Yes,Yes,None,No,"Stable Plume, ongoing remediation in conjunction with NAV 019. EPA Cleanup Orders in effect at site. Nearby springs not impacted.",,2014-02-11 10:52:22,,,
141,384,2013-04-10,2,Y,Y,Benzene,Y,Likely,Low,Possible,Low,ERROR,Low,,Low,Not Likely,,,,,Yes,Yes,None,No,"Stable Plume, ongoing remediation in conjunction with NAV 018. EPA Cleanup Orders in effect at site. Nearby springs not impacted.",,2014-02-11 10:52:22,,,
142,388,2013-01-30,3,N,Y,ERROR,N,Not Likely,Low,Not Likely,Low,Not Likely,Low,,NA,NA,,,No,No,No,No,Measurable,No,"5 monitoring wells show continued Benzene and MTBE contamination. Higher groundwater contamination is the result of vadose zone leaking contaminants into groundwaer. Free product in one well at leading edge of plume, 6 wells properly closed. Lots of seasonally dry wells. Drought has lowered groundwater levels leaving at least 3 wells dry. DPE still operating. Under last stage of cleanup.  10K+ gallons BTEX removed. Closest receptor ""well"" is an irrigation ditch, 1000 ft W.  ",,2014-02-11 10:52:22,ACF,2014-03-31 13:26:12,
143,389,2013-07-10,4,Y,Y,Other,Y,Possible,High,Possible,High,Not Likely,Low,Surface water,High,Possible,,,,,Yes,Yes,None,No,Re-ranked to a 4 on 7/10/13 after June 2013 site visit. Confirmed that there were no drinking water wells near the site. ,,2014-02-11 10:52:22,ACF,2014-03-06 13:13:19,
144,391,2013-01-30,3,Y,Y,ERROR,Y,Not Likely,Medium,ERROR,Medium,Not Likely,High,,NA,NA,,,,,No,No,Measurable,No,"GW Contamination in peagravel surrounding 3 operating USTs.  Standing water in the pea gravel is 2.5 ft which increased 0.12” between 10/10/12 and 12/18/12. NAPL removed from the water was 17.75gl. This is a very substantial 
decrease of water and BTEX from previous sampling events.  There is no clear picture of the origin of
the BTEX contaminants as the STP3 tanks and piping always tested OK since the installation in 1990. Thre is no record of tanks prior to 1960. If BTEX contamination continues to impact the tank pit it may become necessary to excavate the area around the tank location.  The installed 4 monitoring wells have always been ND. Benzene and MTBE are primary COCs. ",,2014-02-11 10:52:22,,,
145,399,2013-03-28,2,Y,Y,TPH-G,Y,Possible,Medium,Not Likely,Low,Not Likely,Low,Surface Water,High,Possible,,,,,Yes,Yes,Measurable,Yes,A current receptor to drinking water is the San Juan River located down gradient of the site.  It is unknown it NTUA drawls water from the river for drinking water.  The plume also has not been completely characterized in the down gradient direction.  Active remediation is not currently occurring but oxygen emitters were installed to assist in bioremediation of the site.  A vapor intrusion study was completed in a building onsite and indicated no impacts were found.  RBDO has indicated they would like to lease the building on the site.  ,,2014-02-11 10:52:22,,,
146,401,2013-03-26,3,N,Y,Benzene,N,Possible,Medium,Not Likely,Low,Not Likely,Low,,NA,NA,,,No,Yes,Yes,No,Measurable,No,"SVE and AS was implemented. Significant NAPL remaining in 2 MWs - free product has been observed in MW-7 since mid-1997 (0.97 ft max, 0.37 ft in February 2012), and in MW-5R  since 2012 (0.0833 ft when sampled for the first time in March 2012). Extent of LNAPL not fully delineated. GW impacts remain at site. The SVE system successfully treated the impacted soils in the vadose zone but soil impacts along the capillary fringe remain. 

As GW impacts are present at site and GW is a source of DW in the area, GW to drinking water is a complete exposure pathway (confirmed in 1994 when Benzene detected at 280 ug/L in older Painted Desert in water suppy well (no longer in service). Most recent monitoring event in 2012.",,2014-02-11 10:52:22,,,
147,403,2013-01-30,4,Y,Y,ERROR,Y,Not Likely,Low,Not Likely,Low,Not Likely,Low,,NA,NA,,,Yes,Yes,No,No,None,No,"Site active since 1993. High clay in soil makes cleanup difficult. SVE was performed for 2 years (1994), did not do much due to the clay. Since 2001 only annual sampling. Benzene and MTBE are primary COCs. Groundwater at 25'. Closest receptor will is at MW-30. ",,2014-02-11 10:52:22,,,
148,418,2013-03-28,2,Y,Y,Benzene,Y,Not Likely,Low,Possible,High,Not Likely,Medium,,NA,NA,,,No,Yes,Yes,Yes,None,No,"Limited soil excavation occurred during UST removal, but contaminated soil was left in place.  Recent GW sampling events indicated that benzene and DCA remain over EPA MLCs.  In addition, the furthest down gradient well has not been sampled since 2006.  The site was sampled regularly until 2006 under the assumption that natural attenuation was occurring, and limited sampling has been conducted twice since 2011.  The site is in an industrial area; therefore, future development is likely within the next 5 years.  The closest well is 1 mile up gradient of the site.
Location of closest receptor well: Latitude UTM East 674987, Longitude UTM North 3956391. ",,2014-02-11 10:52:22,,,
149,431,2013-11-26,4,Y,N,Benzene,N,Not Likely,High,Not Likely,Low,Not Likely,Medium,,NA,NA,,,,,,,None,No,"Not a 3 because (a) No NAPL was observed during soil investigations and tank removal, (b) Future land use (continued use as a gas station) is not impaired, and (c) future groundwater use (more than 200 feet deep) is not likely to be impacted. Not a 5 because site characterization is inadequate. No groundwater samples have been taken, nor do we know the direction of groundwater flow, and several soil samples surrounding the tank pit exceeded Navajo cleanup standards.",,2014-02-11 10:52:22,,,
150,432,2013-01-30,4,N,N,ERROR,N,Not Likely,Low,Not Likely,Low,Not Likely,Low,,NA,NA,,,,,No,No,None,No,DPE Cleanup was done. High MTBE and Benzene and remaining. Only 4 monitoring wells out of 12 wells sill have GW contamination remaining. Benzene and MTBE are primary COCs. Stable Plume. The site is currently a vacant lot. ,,2014-02-11 10:52:22,,,
151,434,2013-04-11,1,Y,Y,Benzene,N,Possible,High,Likely,Medium,Not Likely,Medium,Surface water,High,Possible,,,,,Yes,Yes,Measurable,No,"The site is not currently occupied but buildings still remain on site.  A childcare facility is located directly west of the site and residences are to the north of the site.  It is unknown where residences get water from or if there is a public well near the site.  The San Juan River is located less than a mile west of the site.  Soil removal occurred in the source area and confirmation soil samples were analyzed with a PID.  NAPL is present in 4 wells.  Groundwater is 6-11 ft bgs and flows to the west, but a preferential contaminate pathway is to the north.  The site is currently not fully characterized to the north.",,2014-02-11 10:52:22,,,
152,435,2013-01-30,5,N,N,ERROR,Y,Likely,Low,Not Likely,Low,Not Likely,Low,,NA,NA,,,No,Yes,No,No,None,No,2 releases.  Rebound of MTBE in 2011. Benzene and MTBE are primary COCs. Closest receptor well within 75'. NFA scheduled for mid 2013. ,,2014-02-11 10:52:22,,,
153,439,2013-01-30,4,,,ERROR,N,Not Likely,Low,Not Likely,Low,Not Likely,Low,,NA,NA,,,,,No,No,None,No,Benzene and MTBE are primary COCs. 4 out of 22 wells contaminated.  DPE unit in operation. ,,2014-02-11 10:52:22,,,
154,441,2013-04-10,3,Y,Y,Benzene,N,Not Likely,Low,Possible,Medium,Possible,Medium,,Low,Not Likely,,,,,Yes,No,Sheen,No,"Occasional NAPL, but not in a while. Private Party Site, Cleanup to commence in May/June 2013.",,2014-02-11 10:52:22,,,
155,449,2013-01-30,5,Y,N,ERROR,Y,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,,NA,NA,,,,,,,ERROR,,Soil contamination from long term 0 ft' fill. Benzene and MTBE are primary COCs. ,,2014-02-11 10:52:22,,,
156,455,2013-02-27,5,Y,N,TPH-G,Y,Likely,Low,Likely,ERROR,Possible,ERROR,surface water,High,NA,,,No,Yes,Yes,No,None,No,"Soil contamination found at 16’ bgs beneath 1 tank (4 tanks removed in 2000): TPH-GRO @1,300 ppm and TEX above NNEPA cleanup standards but below R9 ESLs. Groundwater not encountered (~ 40’ bgs). Potential exposure at receptor points: private well 260 feet to the NW; private residence 500’ west of the store; Puerco Wash within ¾ mile south. A 250-gallon UST containing waste oil may still be present on site.
Recalcitrant RP: based on several letters from BIA, NN, and EPA with no response.
",,2014-02-11 10:52:22,,,
157,470,2013-01-30,4,Y,Y,ERROR,N,Not Likely,Low,Not Likely,Low,Not Likely,Low,,NA,NA,,,,,,,Sheen,No,Active site with SVE; large plume arrested. Benzene and MTBE are primary COCs. ,,2014-02-11 10:52:22,ACF,2014-03-31 13:28:32,
158,471,2013-01-30,5,,,ERROR,,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,,NA,NA,,,,,,,ERROR,,NFA will be issued in May. ,,2014-02-11 10:52:22,,,
159,473,2013-04-09,1,Y,Y,ERROR,Y,Possible,High,Possible,High,Possible,High,,High,Possible,,,,,Yes,Yes,ERROR,Yes,"2 abandoned USTs in ground. Potential exposure at receptor points:  Home care services trailer on site. This is on private property.  
",,2014-02-11 10:52:22,,,
160,477,2013-04-10,1,Y,Y,Benzene,Y,Likely,Low,Not Likely,Low,Possible,Low,,Low,Not Likely,,,,,No,Yes,Measurable,Yes,"Migrating NAPL towards Hopi Springs that are used for drinking water source. High profile site with much publicity, especially after being included in Site Prioritization Study.",,2014-02-11 10:52:23,,,
161,478,2013-02-14,5,Y,,ERROR,Y,Not Likely,High,Not Likely,Medium,Not Likely,Medium,Surface water,High,Not Likely,,,,Yes,,,None,No,"Site assessment conducted but no active cleanup. Low to medium soil contamination. Vertical extent of soil contamination limited to 8-14 ft bgs, and is most concentrated at 13 ft level (near elevation of tank bottom). Lateral soil contamination appears to be contained by bedrock.  Confirmatory sampling to test the effectiveness of natural attenuation was requested but never done. GW not encountered in any of the soil borings; depth of GW unknown. 8 private water wells, no active public water supplies in 1 mile radius. Nearest well to the site is 750 ft SE of site on a slight hill (4940 ft).  This well is reported to be 229 ft bgs deep.  Water exiting the site travels along the surface to open space acreage east of the site and then into an ephemeral stream that travels nearly due south.  One apparent surface water course within 1/4 mile E SE of the site.  Free floating product was not observed in this water course. ",,2014-02-11 10:52:23,,,
162,486,2013-03-22,2,Y,,ERROR,Y,Likely,Medium,Possible,Medium,Possible,Medium,,NA,NA,,,,,,,ERROR,,"The 1994 UST removals by the Tribe’s contractor showed TEX concentrations above EPA’s SSLs below the former dispenser, and the ethylbenzene concentration was above EPA’s residential RSL. Two drinking water wells are reportedly within about 500 feet of the Site (closest one is 140 feet). Groundwater is reportedly less than 10 feet bgs. NNEPA is doing the site assessment/corrective action follow-up on the Site. This site should be considered a LUST site because the dispenser, which had a release to soil in 1994, could have served both the UST and AST (we have no proof otherwise).
",,2014-02-11 10:52:23,,,
163,493,2013-04-11,2,Y,Y,MtBE,Y,Possible,High,Not Likely,High,Not Likely,High,Surface water,High,Likely,,,,,Yes,Yes,Measurable,No,"Soil removal was conducted from the source area, but contaminated soil remains in place.  Confirmation soil samples during removal were done by PID readings.  The site is currently vacant, but a drainage ditch used for irrigation is on the western edge of the site and the San Juan River is 0.4 miles west of the site.  All onsite structures were destroyed in a fire.  Groundwater is 7-9 ft bgs and flows to the west with mounding in the south.  A separate LUST site is located just east of the site and it is believed that the plumes have been combined.  ",,2014-02-11 10:52:23,,,
164,495,2013-01-30,5,Y,,ERROR,Y,Not Likely,Low,Possible,High,Not Likely,Low,,NA,NA,,,,,,,None,No,"Benzene and MTBE are primary COCs but no receptors (water, air, exposure) near. ",,2014-02-11 10:52:23,RJAMISON,2017-11-02 16:49:19,
